################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   5.4005112633370322E-01   1.1646552925931319E+00   8.2490782007633423E-01   7.9817654662490939E-02
         1          2   3.4373468726633372E-01   8.0681438592811827E-01   5.5798559011744298E-01   5.9568139789567480E-02
         1          3   1.2808001450972825E-01   3.8331566178726878E-01   2.5508609184409264E-01   3.3725528344431994E-02
         1          4   3.5450524530118190E-02   1.6101900383754972E-01   9.0353431023550299E-02   1.6253990236946941E-02
         1          5   1.5922524741267469E-01   6.3650151424113222E-01   3.9284024555249086E-01   6.2311715965030781E-02
         1          6   6.9182724190482311E-02   4.9907577110453788E-01   2.5656248194768250E-01   5.8050583260227856E-02
         1          7   1.3111816333175368E-02   3.5326071390845604E-01   1.3438901095741926E-01   4.7168634985871240E-02
         1          8   8.3967906351164291E-05   1.5238467200459038E-01   2.9470932682113090E-02   1.9958488467972508E-02
         1          9   4.4627186630085814E-05   1.6487896139005657E-03   4.5921752298186608E-04   1.9397882891657528E-04
         1         10   2.2716563112859496E-03   1.4275091803946810E-02   6.5507183293825252E-03   1.5890603352436709E-03
         1         11   1.4019799526838609E-05   4.6790951535725060E-04   1.1974526385996796E-04   5.4218593772106395E-05
         1         12   5.8216458222489737E-05   1.0712137652324029E-03   3.3713182826035880E-04   1.3892832303346564E-04
