################################################################################
# Energy contributions calculated from NNP.
################################################################################
# Col  Name      Description
################################################################################
# 1    conf      Configuration index (starting with 1).
# 2    index     Atom index (starting with 1).
# 3    Z         Nuclear charge of atom.
# 4    Qref      Reference atomic charge.
# 5    Qnnp      NNP atomic charge.
# 6    Eref_atom Reference atomic energy contribution.
# 7    Ennp_atom Atomic energy contribution (physical units, no mean or offset energy added).
#############################################################################################################################
#        1          2   3                        4                        5                        6                        7
#     conf      index   Z                     Qref                     Qnnp                Eref_atom                Ennp_atom
#############################################################################################################################
         1          1  12   3.8788494400000001E-01   3.8291924061925653E-01   0.0000000000000000E+00  -3.5306648729971357E-04
         1          2   8  -3.5909487600000001E-01  -3.4428156299665341E-01   0.0000000000000000E+00   1.2011124569952153E-02
         1          3   8  -3.4594157599999997E-01  -3.5086580292126851E-01   0.0000000000000000E+00  -1.9164370232355760E-02
         1          4  12   3.2864151400000002E-01   3.2433687005490347E-01   0.0000000000000000E+00   1.5764732153250045E-03
         1          5  12   3.4539947399999998E-01   3.3204727049820898E-01   0.0000000000000000E+00  -7.0574941340381878E-03
         1          6   8  -3.4176807599999998E-01  -3.4688163791959031E-01   0.0000000000000000E+00  -1.2130721004984524E-02
         1          7   8  -3.0785905600000002E-01  -3.0572472683900559E-01   0.0000000000000000E+00  -5.2043518566661506E-03
         1          8  12   3.3011505400000002E-01   3.2528985564654112E-01   0.0000000000000000E+00  -3.1099378715128759E-04
         1          9  13   3.9917245400000001E-01   4.0611938023445521E-01   0.0000000000000000E+00   6.2427077930241742E-03
         1         10   8  -2.8949547599999997E-01  -2.8630283769104226E-01   0.0000000000000000E+00  -4.1663765274909420E-02
         1         11   8  -3.6598870600000000E-01  -3.5957655071713124E-01   0.0000000000000000E+00   1.7333844390902714E-02
         1         12  12   3.7450518399999999E-01   3.7753609731287419E-01   0.0000000000000000E+00  -4.7608150660540319E-03
         1         13  12   3.5809711399999999E-01   3.5591802844379500E-01   0.0000000000000000E+00   1.8768673338991643E-03
         1         14   8  -3.9844002600000000E-01  -4.0169249064342727E-01   0.0000000000000000E+00   1.6586029661319335E-02
         1         15   8  -3.4215310599999998E-01  -3.4691547806469936E-01   0.0000000000000000E+00  -7.4908802219773862E-03
         1         16  12   3.2952672399999999E-01   3.2914052387976833E-01   0.0000000000000000E+00  -2.4293460883379730E-03
         1         17  12   3.3684778399999998E-01   3.2730311340688478E-01   0.0000000000000000E+00  -2.7159565415452152E-03
         1         18   8  -3.4409367600000001E-01  -3.5093513486162087E-01   0.0000000000000000E+00  -1.7709489057617489E-02
         1         19   8  -3.4614451600000001E-01  -3.4459782389606863E-01   0.0000000000000000E+00  -8.5934922995346275E-03
         1         20  12   3.3498536400000001E-01   3.3395169100324523E-01   0.0000000000000000E+00   2.3067844539601326E-04
         1         21  12   3.1982162400000003E-01   3.2474904180868053E-01   0.0000000000000000E+00  -1.2615448958125074E-03
         1         22   8  -3.1404623599999998E-01  -3.0989233562802238E-01   0.0000000000000000E+00  -9.2697208880838378E-03
         1         23   8  -4.0522186599999999E-01  -3.9852445333057718E-01   0.0000000000000000E+00   2.3515380247387307E-02
         1         24  12   3.8989854400000001E-01   3.9163043876072223E-01   0.0000000000000000E+00  -2.4241154275224819E-03
         1         25  12   4.3559881400000000E-01   4.1777879320476413E-01   0.0000000000000000E+00  -1.5083617201388736E-03
         1         26   8  -3.9816017599999998E-01  -4.0097762724649699E-01   0.0000000000000000E+00   2.0020917566614532E-02
         1         27   8  -3.4569412599999999E-01  -3.4828423145469906E-01   0.0000000000000000E+00  -1.5744655008551794E-02
         1         28  12   3.2444578400000001E-01   3.2454737976948755E-01   0.0000000000000000E+00   1.6651170481623619E-03
         1         29  12   3.3699468399999999E-01   3.2875417706283000E-01   0.0000000000000000E+00  -3.2499004822435455E-03
         1         30   8  -3.4257456600000002E-01  -3.4883507746559250E-01   0.0000000000000000E+00  -1.2979299988982618E-02
         1         31   8  -3.4337754599999998E-01  -3.4040606525743328E-01   0.0000000000000000E+00  -1.2519496114410944E-03
         1         32  12   3.3130130400000002E-01   3.3235814987891393E-01   0.0000000000000000E+00   9.6107561683300181E-04
         1         33  12   3.2297365400000000E-01   3.2842388397732730E-01   0.0000000000000000E+00  -5.6536750896829750E-03
         1         34   8  -3.1847690600000000E-01  -3.1247489207792084E-01   0.0000000000000000E+00  -1.4913144387836502E-02
         1         35   8  -4.0505696600000002E-01  -3.9718514714947045E-01   0.0000000000000000E+00   2.5714411015726163E-02
         1         36  12   3.8473278399999999E-01   3.8725258795124762E-01   0.0000000000000000E+00   1.8897361835349714E-04
         1         37  12   3.7834282400000002E-01   3.7342003398233831E-01   0.0000000000000000E+00   4.7852101874933748E-03
         1         38   8  -3.9950044600000001E-01  -4.0112209845641089E-01   0.0000000000000000E+00   1.3588221738423001E-02
         1         39   8  -3.4229819600000000E-01  -3.4610575012682820E-01   0.0000000000000000E+00  -9.2188146071371657E-03
         1         40  12   3.3553648400000002E-01   3.3444687859953010E-01   0.0000000000000000E+00  -7.8076140914882745E-03
         1         41  12   3.3864572399999998E-01   3.2977286773217079E-01   0.0000000000000000E+00  -4.3471680620307280E-03
         1         42   8  -3.3886362599999997E-01  -3.4517785256341482E-01   0.0000000000000000E+00  -3.3040512191749027E-03
         1         43   8  -3.4666686600000002E-01  -3.4554638801648696E-01   0.0000000000000000E+00  -8.0211596776273708E-03
         1         44  12   3.3338522399999998E-01   3.3382590130835504E-01   0.0000000000000000E+00  -1.1662032972664018E-03
         1         45  12   3.2062906400000002E-01   3.2671030857881539E-01   0.0000000000000000E+00  -4.6766283051142624E-03
         1         46   8  -3.1752737599999997E-01  -3.1121445409967080E-01   0.0000000000000000E+00  -2.8795238707049198E-03
         1         47   8  -4.0424763600000002E-01  -3.9549490315911745E-01   0.0000000000000000E+00   2.8635270238185323E-02
         1         48  12   3.9453091400000001E-01   3.9618401154005384E-01   0.0000000000000000E+00  -5.4283660994366382E-03
         1         49  12   3.6383293400000000E-01   3.6065557836492707E-01   0.0000000000000000E+00   9.4997649318141232E-04
         1         50   8  -3.9964279600000002E-01  -4.0283363399652794E-01   0.0000000000000000E+00   1.8615171991549634E-02
         1         51   8  -3.4040861600000000E-01  -3.4540454100172940E-01   0.0000000000000000E+00  -6.2189378625835123E-03
         1         52  12   3.2910246399999998E-01   3.2682977765946147E-01   0.0000000000000000E+00  -1.1355184221426944E-03
         1         53  12   3.3820629400000002E-01   3.2614167936219646E-01   0.0000000000000000E+00  -1.8483125625634068E-03
         1         54   8  -3.4017292599999999E-01  -3.4704518542992951E-01   0.0000000000000000E+00  -9.1991455938509881E-03
         1         55   8  -3.0795973599999998E-01  -3.0651620021158088E-01   0.0000000000000000E+00  -1.3844885662055523E-02
         1         56  12   3.3673371400000002E-01   3.3142205106456285E-01   0.0000000000000000E+00  -7.4648248425541151E-03
         1         57  13   3.9695487400000001E-01   4.0981307620742680E-01   0.0000000000000000E+00   6.3273739933499343E-03
         1         58   8  -2.9557145600000001E-01  -2.9091958147245911E-01   0.0000000000000000E+00  -3.9492484431230712E-02
         1         59   8  -3.6865153600000000E-01  -3.6216384625985165E-01   0.0000000000000000E+00   2.1303997353301046E-02
         1         60  12   3.7318686400000001E-01   3.7810321218398363E-01   0.0000000000000000E+00  -3.3757320465966374E-03
         1         61  12   4.3835344399999998E-01   4.1791251306477228E-01   0.0000000000000000E+00  -8.5057538235293502E-04
         1         62   8  -3.9907663599999998E-01  -4.0228298247337763E-01   0.0000000000000000E+00   1.7957224932490357E-02
         1         63   8  -3.4351320600000002E-01  -3.4712093400918431E-01   0.0000000000000000E+00  -8.2800360257526406E-03
         1         64  12   3.3264691400000002E-01   3.3249607431034101E-01   0.0000000000000000E+00  -5.8723590946241910E-03
