################################################################################
# Atomic force comparison (ordered by atom index).
################################################################################
# Col  Name  Description
################################################################################
# 1    conf  Configuration index (starting with 1).
# 2    index Atom index (starting with 1).
# 3    fxRef Reference force in x direction.
# 4    fyRef Reference force in y direction.
# 5    fzRef Reference force in z direction.
# 6    fx    Force in x direction.
# 7    fy    Force in y direction.
# 8    fz    Force in z direction.
###########################################################################################################################################################################
#        1          2                        3                        4                        5                        6                        7                        8
#     conf      index                    fxRef                    fyRef                    fzRef                       fx                       fy                       fz
###########################################################################################################################################################################
         1          1   4.0412140453000003E-03   7.0265869262999998E-03  -8.4677419696000001E-03   6.3942313339620327E-03   7.3206074844131882E-03  -6.0565176078328136E-03
         1          2  -3.5357067955000001E-03  -4.5792491166000001E-03   9.7973038609999990E-04  -3.2306193528618293E-03  -6.9276422476217013E-03  -8.2060397144895214E-04
         1          3  -9.9524052387999998E-03   8.2613919708999996E-04   9.0438549576999996E-03  -1.0176680709961803E-02   1.2878786082081777E-03   1.0557393925095958E-02
         1          4  -4.1635240287999998E-03  -8.3031064753000001E-03  -7.5802494690000001E-03  -4.8158538034540517E-03  -1.0981459910903400E-02  -8.3390845236406014E-03
         1          5   8.7251795163000006E-03  -6.4186986345000005E-05  -2.4363991341999999E-02   8.6209668605630695E-03  -2.2053307298718980E-04  -2.5840364844514116E-02
         1          6  -4.0428635155999998E-04  -4.3146904728000000E-03   1.5444027343999999E-02  -5.1638783769050907E-04  -4.7995266676887291E-03   1.6245842665764884E-02
         1          7  -8.7729091933999997E-03   1.9519751481999999E-03   1.9968874099000000E-02  -9.0057731489624430E-03   6.5132828095130612E-04   2.2075128688563626E-02
         1          8   2.2963600667999999E-03   5.3318657122000002E-03  -1.5343107719000000E-02   2.3157150555108497E-03   5.4175213160863383E-03  -1.6009529101015569E-02
         1          9   6.7803750165999999E-05  -7.0094514898000001E-04   1.5053560097000001E-02  -1.2894929079331687E-03  -2.0281815521606874E-04   1.3582478438459895E-02
         1         10   3.6273019713999998E-03  -2.8183589324999999E-03  -7.9325270091000002E-03   3.3744150620910397E-03  -4.5940566421876546E-03  -6.4819867630420570E-03
         1         11  -5.8418150327999995E-04   2.0246535621000002E-03  -2.5173725173999999E-02  -3.1668661522976454E-04   2.1443179405676786E-03  -2.4738525509958781E-02
         1         12   1.3973418832000000E-03   7.8928841828999996E-05   1.5591933808999999E-02   1.3963236327604722E-03  -1.5462310454544121E-04   1.4654885156799259E-02
         1         13   1.0417032764999999E-03   1.3876195467000000E-03  -1.2083096942000000E-02   4.3061031345619757E-06   1.8026453060241716E-03  -9.7599062538725103E-03
         1         14  -3.7448860437999999E-03   5.0357737827999996E-03   5.7879501668000001E-03  -4.3312813035470835E-03   6.8967777611760490E-03   5.5793281315853448E-03
         1         15  -2.8868044843999999E-03   2.3195077530000002E-03   1.1176398238999999E-02  -3.2095446521978616E-03   1.9228614235522327E-03   1.2272990859988375E-02
         1         16  -7.9282995214999992E-03   7.7984136030000003E-03  -1.5464891041000000E-02  -9.0181673196953627E-03   8.3100623166869735E-03  -1.5393530826063146E-02
         1         17   2.2916383143999999E-03   4.1861975500000004E-03  -8.6622492722000007E-03   3.0542744473375798E-03   2.6195523397348243E-03  -8.0873398625815694E-03
         1         18  -3.3334995364000001E-03  -5.1017646428999997E-03   1.4470957486000000E-02  -3.0942090285027467E-03  -4.8204913098725596E-03   1.4948538524315318E-02
         1         19   9.1005095974999999E-04  -4.0730943898999996E-03   4.9154030300000004E-03   6.1810270977855346E-04  -3.7971103074195631E-03   6.5134601449803285E-03
         1         20   1.6059193804000001E-03   2.0542016438000001E-03  -1.6551022033000001E-02   1.7759790865310527E-03   1.7505392858426286E-04  -1.9203660772195152E-02
         1         21   2.0618641543999998E-03  -3.0958082827999998E-03   5.5585234541999998E-03   2.7172177615027910E-03  -3.4661479873400233E-03   3.9373661164827552E-03
         1         22   6.9455266915000001E-03  -1.4599515105000000E-02  -4.8605312468000001E-03   6.9233910316604174E-03  -1.3673267062983474E-02  -5.6887572122473716E-03
         1         23   7.6228232308000001E-04   7.0096828995000002E-03  -8.2712198058999993E-03   2.0656998950018007E-04   6.8489885948872743E-03  -6.7425466236517287E-03
         1         24  -1.8149964341000000E-03   3.0632250705000001E-03   1.2872167566000001E-02  -1.2920597065602430E-03   3.8468335328169009E-03   1.1846381822452973E-02
         1         25   5.0407268883000001E-03  -4.9856774588999996E-03   7.3154652172000001E-04   4.5704712373543632E-03  -5.0628800053040728E-03   4.4471052579860950E-03
         1         26  -9.0864151516000004E-03  -6.5665931399000003E-03   2.3483399976000001E-03  -9.8026687041476990E-03  -6.5050947134458427E-03  -9.0030439961554898E-04
         1         27  -1.6480077968999999E-03  -2.5662981317000001E-03   8.0363346320000001E-03  -8.7256375187318689E-04  -3.8319962497172081E-03   8.2521553077367724E-03
         1         28  -6.8689188539000001E-03   3.2051673130000001E-03  -1.0907852568000000E-02  -7.3146950123129540E-03   4.6584440110477862E-03  -1.1461117363893217E-02
         1         29   1.0337570946000000E-02  -2.4454976218000000E-03  -1.5847585774999999E-02   9.8271971714422781E-03  -1.7780978589010885E-03  -1.6271453830828092E-02
         1         30  -8.2941301304000001E-03   6.6795718730000000E-03   1.4777589093999999E-02  -8.3308583072271292E-03   6.9435549655595891E-03   1.4370508236091187E-02
         1         31  -4.7694216653000002E-03   8.0178829510999996E-03   7.6432220993000004E-03  -3.5926352695328637E-03   8.6702476073443353E-03   9.7450781474684497E-03
         1         32   1.3617006169999999E-02  -3.0759183426999999E-03  -9.3055525579000004E-03   1.3849396325822586E-02  -8.8800034756595801E-04  -1.1207903024503663E-02
         1         33   4.1066729168000001E-03   2.2768915629000001E-05   3.9804170446999998E-03   4.7375804458300481E-03   5.1649939896621544E-04   2.7084262174023087E-03
         1         34  -1.5460639298000000E-02   1.3193699226000000E-02  -5.8103963873000000E-03  -1.6000600728052532E-02   1.3067349318407835E-02  -5.7038327650617152E-03
