################################################################################
# Atomic force comparison (ordered by atom index).
################################################################################
# Col  Name  Description
################################################################################
# 1    conf  Configuration index (starting with 1).
# 2    index Atom index (starting with 1).
# 3    fxRef Reference force in x direction.
# 4    fyRef Reference force in y direction.
# 5    fzRef Reference force in z direction.
# 6    fx    Force in x direction.
# 7    fy    Force in y direction.
# 8    fz    Force in z direction.
###########################################################################################################################################################################
#        1          2                        3                        4                        5                        6                        7                        8
#     conf      index                    fxRef                    fyRef                    fzRef                       fx                       fy                       fz
###########################################################################################################################################################################
         1          1   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -3.0848483621290768E-02   9.9437229539220684E-03   2.0352999337438824E-02
         1          2   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.5753209472753004E-02  -8.1237628180204809E-03  -2.0608404213202990E-02
         1          3   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   8.1787276673429710E-03   1.8014717534816583E-04   2.6440476603640309E-03
         1          4   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -3.2672415145898345E-02   1.2041500311444986E-02  -1.8572895160292656E-03
         1          5   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.5963999960799249E-02  -1.3088993906111521E-02  -3.9444423243935513E-03
         1          6   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.5103202289331878E-02  -9.2789354753794961E-04   1.6136905570554479E-02
         1          7   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -2.0214969739033205E-02   1.6807648404055854E-03  -7.5111141444395750E-04
         1          8   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -1.6458402959242311E-02  -5.7981475984617377E-03  -1.6396064514211335E-02
         1          9   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   2.9295943813836588E-03  -7.9390824921095359E-04   1.3703484666740151E-02
         1         10   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   1.2240824229741747E-02   1.7344969704443759E-02  -1.6093273578742517E-02
         1         11   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -2.4413138020654052E-02  -5.9316238120533807E-03   1.4779052720039060E-02
         1         12   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00  -5.5621485152346096E-03  -6.5267750541684114E-03  -7.9659043941128650E-03
