################################################################################
# Energy contributions calculated from NNP.
################################################################################
# Col  Name      Description
################################################################################
# 1    conf      Configuration index (starting with 1).
# 2    index     Atom index (starting with 1).
# 3    Z         Nuclear charge of atom.
# 4    Qref      Reference atomic charge.
# 5    Qnnp      NNP atomic charge.
# 6    Eref_atom Reference atomic energy contribution.
# 7    Ennp_atom Atomic energy contribution (physical units, no mean or offset energy added).
#############################################################################################################################
#        1          2   3                        4                        5                        6                        7
#     conf      index   Z                     Qref                     Qnnp                Eref_atom                Ennp_atom
#############################################################################################################################
         1          1   6  -8.0236691666699996E-03  -2.3524823684152795E-03   0.0000000000000000E+00  -2.7250515638214623E-01
         1          2   6  -8.5542791666700004E-03  -8.4942086481964076E-03   0.0000000000000000E+00  -2.6177206845636780E-01
         1          3   6  -9.8619091666699993E-03  -1.0537654209871102E-02   0.0000000000000000E+00  -2.7088006119054531E-01
         1          4   6  -1.0058389166700000E-02  -7.1248303653208261E-03   0.0000000000000000E+00  -2.7432729767876585E-01
         1          5   6  -6.7201291666699999E-03   8.2658839443283238E-04   0.0000000000000000E+00  -2.6480583491973142E-01
         1          6   6  -4.1796691666700003E-03   8.1741828473709803E-04   0.0000000000000000E+00  -2.7001383025822279E-01
         1          7   6  -2.8382559166699999E-02  -2.8351566345695845E-02   0.0000000000000000E+00  -2.0397182296237129E-01
         1          8   6  -3.1433549166699999E-02  -3.2468734085716766E-02   0.0000000000000000E+00  -2.0480779326445372E-01
         1          9   6  -5.3990979166700002E-02  -6.0669724234771107E-02   0.0000000000000000E+00  -1.7486001433553769E-01
         1         10   6  -4.9556739166700003E-02  -5.6146955747858017E-02   0.0000000000000000E+00  -1.7132387729341647E-01
         1         11   1   1.0498083083300000E-01   1.0155744000109204E-01   0.0000000000000000E+00  -4.2118982678316602E-01
         1         12   1   1.0578104083300000E-01   1.0294470932558338E-01   0.0000000000000000E+00  -4.2137996820117252E-01
