################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   9.1739161189824411E-08   7.0593095050533450E-01   2.2372649929284196E-02   9.6379208796011293E-02
         1          2   2.6433999906765265E-01   2.4749666370750676E+00   1.0378805142792313E+00   1.9413782463770093E-01
         1          3   1.5504686427401054E-05   1.4168627312588329E+00   5.5254915214857578E-02   2.1495058826125538E-01
         1          4   1.4086411910634238E+00   4.7388215758712082E+00   3.1031877925923803E+00   3.5864448236496921E-01
         1          5   9.8043626772015909E-04   1.9535901883323099E+00   1.1429456309160095E-01   2.2901461288065855E-01
         1          6   2.2158364445227399E+00   6.0748308460582043E+00   3.8835182764170546E+00   3.9299243538518969E-01
         1          7   1.0255080523534783E+00   5.1401074554660049E+00   2.5810215644603796E+00   4.3835591238870431E-01
         1          8   4.8489829707261999E-03   3.9129781874325281E-01   4.7557455423079396E-02   2.7778419734655713E-02
         1          9   9.3223803365223998E-02   2.8346930075434797E+00   6.0185719975366336E-01   3.1949957606875956E-01
         1         10   6.7206749586119430E-01   4.4876923880381465E+00   2.1991872165248538E+00   4.1504796440380803E-01
         1         11   2.2128378766968923E-02   8.6593017344520318E-01   1.4060436434125115E-01   7.5838421599526348E-02
         1         12   8.4205124330445313E-01   7.0656885702864862E+00   2.9013712601439368E+00   7.3052821449417049E-01
         1         13   1.4518778507164800E+00   9.6462711741708382E+00   4.3715329035264965E+00   8.3811671947643118E-01
         1         14   2.4300884834352513E-06   5.3039215356450418E-02   2.8067394350178213E-04   1.6541693025921896E-03
         1         15   4.3805855934107564E-04   3.3431366727997386E-01   1.5056637491023487E-02   3.6381498406602590E-02
         1         16   1.8742403996648012E-02   5.3094282134884740E-01   1.9287359264197504E-01   5.3785992354357007E-02
         1         17   5.6391705067135155E-03   2.7103176024192799E-01   3.6199336036120536E-02   2.2235092628611220E-02
         1         18   5.8157340520125522E-01   3.0394483797974066E+00   1.5432926655352674E+00   2.9013849228704902E-01
         1         19   3.5474335876025032E-01   2.8914948266501281E+00   1.2453633098426364E+00   2.6070492382053573E-01
         1         20   1.3050150224953865E-03   2.0977615521049353E-01   1.6466279986318652E-02   1.6175233794254219E-02
         1         21   3.3625763520090814E-02   1.6019727512861448E+00   2.6707302954572526E-01   1.9158906783856428E-01
         1         22   3.5314748293148263E-01   2.5968432133168928E+00   1.2041087980295160E+00   2.3880745648555143E-01
         1         23   5.6279184570511148E-03   4.8263719913200909E-01   4.8674878532957294E-02   4.5579012837321450E-02
         1         24   3.5640890668898983E-01   3.9354254479681789E+00   1.3506519169134916E+00   4.3100694380807969E-01
         1         25   7.1435545388184229E-01   5.4083380133399706E+00   2.3405335217844168E+00   4.7481787957091687E-01
         1         26   6.0302894280955782E-07   2.4282702757490063E-02   1.0392381208153868E-04   6.9514343858439293E-04
         1         27   1.4152015883516988E-04   1.8793440136817721E-01   6.7319944252965166E-03   1.8860146728064606E-02
         1         28   7.6669273315039489E-03   2.8853650966579203E-01   9.6832241039761832E-02   2.8591400835791262E-02
         1         29   1.4586287100215936E-03   1.2827520308122028E-01   1.2535333774723276E-02   1.2196652689168296E-02
         1         30   2.4306078779227119E-01   1.5771292876622454E+00   7.3118666045976355E-01   1.6033491927751306E-01
