################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.5529535307974660E+00 a         1     0     1     1     1
  7.2419212968357530E-02 a         2     0     1     1     2
  6.6238167719007179E-01 a         3     0     1     1     3
  1.3187085002852068E+00 a         4     0     1     1     4
  8.0230438760649514E-01 a         5     0     1     1     5
  8.3955862269426929E-01 a         6     0     1     1     6
  6.0886672237242623E-01 a         7     0     1     1     7
  1.8038521037244075E+00 a         8     0     1     1     8
 -9.4212226737513360E-01 a         9     0     1     1     9
 -5.1556581063883433E-01 a        10     0     1     1    10
 -1.1787308470438386E-01 a        11     0     1     1    11
  2.7402309255936421E+00 a        12     0     1     1    12
 -1.4988157706430596E+00 a        13     0     1     1    13
 -1.4218948987030877E+00 a        14     0     1     1    14
 -3.1471248905197000E+00 a        15     0     1     1    15
 -2.7242744362012289E-01 a        16     0     1     1    16
 -1.4939110915197420E+00 a        17     0     1     1    17
 -4.5760625854044340E-01 a        18     0     1     1    18
  1.8320965746572428E+00 a        19     0     1     1    19
  1.4829292005742705E+00 a        20     0     1     1    20
 -4.7531481220841671E+00 a        21     0     1     1    21
  6.9284365000837844E-01 a        22     0     1     1    22
 -1.4360334184866708E+00 a        23     0     1     1    23
 -6.9988606086712224E-01 a        24     0     1     1    24
 -2.6821117310359570E+00 a        25     0     1     1    25
  1.2328185292695659E+00 a        26     0     2     1     1
  6.8539081540980901E-02 a        27     0     2     1     2
  1.1312525424757594E-01 a        28     0     2     1     3
  3.3791299053992763E-01 a        29     0     2     1     4
  1.3203780104475105E+00 a        30     0     2     1     5
 -1.4531712477250573E+00 a        31     0     2     1     6
  2.4379072742488564E-01 a        32     0     2     1     7
  7.2963026955779986E-01 a        33     0     2     1     8
 -1.2591734762557112E+00 a        34     0     2     1     9
 -4.7096176379988147E-01 a        35     0     2     1    10
  1.1052943930835461E-01 a        36     0     2     1    11
  1.2282514057948777E+00 a        37     0     2     1    12
 -5.8437787869506075E-01 a        38     0     2     1    13
  1.4166787422902487E+00 a        39     0     2     1    14
 -1.6938650584717402E-01 a        40     0     2     1    15
  2.3030826774815769E+00 a        41     0     2     1    16
 -1.4473769335578126E+00 a        42     0     2     1    17
  4.0195075881174241E-01 a        43     0     2     1    18
  1.1043558865793792E+00 a        44     0     2     1    19
 -3.4549061205961434E-01 a        45     0     2     1    20
  8.1879232157423720E-01 a        46     0     2     1    21
 -2.7007345535606064E-01 a        47     0     2     1    22
 -8.2869143511169474E-01 a        48     0     2     1    23
 -2.9469119089022022E-01 a        49     0     2     1    24
 -5.7206441642229700E-01 a        50     0     2     1    25
  7.7333844542414798E-01 a        51     0     3     1     1
 -2.8005034461966472E+00 a        52     0     3     1     2
