################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -6.2446602207005186E-01 a         1     0     1     1     1
  7.9109168478070069E-01 a         2     0     1     1     2
  5.0258947941284748E-01 a         3     0     1     1     3
  5.5154910097820120E-01 a         4     0     1     1     4
  1.4505158314343458E+00 a         5     0     1     1     5
 -3.6571470924977034E-01 a         6     0     1     1     6
  4.7092493582249750E-01 a         7     0     1     1     7
  1.7219501990786370E+00 a         8     0     1     1     8
 -1.3599868727171069E-01 a         9     0     1     1     9
  5.5171059902123576E-01 a        10     0     1     1    10
 -1.3239450297968971E+00 a        11     0     1     1    11
  7.9289101991721189E-01 a        12     0     1     1    12
 -2.4436241907430895E-01 a        13     0     1     1    13
  1.2669669007011655E+00 a        14     0     1     1    14
 -1.0859472353178850E+00 a        15     0     1     1    15
  5.7149297331656246E-01 a        16     0     1     1    16
  1.1787879403665555E+00 a        17     0     1     1    17
  5.1959050316647970E-01 a        18     0     1     1    18
 -5.2070371830737283E-01 a        19     0     1     1    19
 -8.6539404799579653E-02 a        20     0     1     1    20
 -1.1403926908826987E+00 a        21     0     1     1    21
  7.2846619332612425E-02 a        22     0     1     1    22
 -6.0675985144277489E-01 a        23     0     1     1    23
  1.6628179166765720E+00 a        24     0     1     1    24
  1.0538483108672489E+00 a        25     0     1     1    25
 -7.0622748176492056E-01 a        26     0     2     1     1
  1.0910592071347260E+00 a        27     0     2     1     2
  2.4631386883986663E+00 a        28     0     2     1     3
  1.1474600047546029E+00 a        29     0     2     1     4
 -2.7984407189871603E+00 a        30     0     2     1     5
  1.0533577807665364E-02 a        31     0     2     1     6
 -5.0292118189174440E-01 a        32     0     2     1     7
 -2.2761190415250261E+00 a        33     0     2     1     8
 -1.2187992237701142E+00 a        34     0     2     1     9
  3.3724765156968588E-02 a        35     0     2     1    10
 -3.9421452238268578E-01 a        36     0     2     1    11
  8.4824888999103987E-01 a        37     0     2     1    12
 -1.2466531728713620E-01 a        38     0     2     1    13
  1.2079681252116843E+00 a        39     0     2     1    14
 -9.0112129189102541E-01 a        40     0     2     1    15
  1.6824118679571578E+00 a        41     0     2     1    16
  3.3935207339432649E-01 a        42     0     2     1    17
 -6.0996462596068590E-01 a        43     0     2     1    18
  2.0533210855615880E-01 a        44     0     2     1    19
 -8.8645148744139757E-01 a        45     0     2     1    20
 -8.5393507862220064E-01 a        46     0     2     1    21
 -8.5526839185724302E-01 a        47     0     2     1    22
  1.2489032362439190E+00 a        48     0     2     1    23
  1.0938354906306260E+00 a        49     0     2     1    24
 -2.6473483803801245E-01 a        50     0     2     1    25
 -8.5878129366894407E-01 a        51     0     3     1     1
  1.0564533358250394E+00 a        52     0     3     1     2
  5.6697850343574663E-01 a        53     0     3     1     3
  2.1086070474971215E+00 a        54     0     3     1     4
  3.8166154557138393E-01 a        55     0     3     1     5
 -1.4247279770394652E-01 a        56     0     3     1     6
 -5.9572071020060458E-01 a        57     0     3     1     7
 -1.0694188993944764E-01 a        58     0     3     1     8
  1.5066623963754497E+00 a        59     0     3     1     9
  1.8089065761782133E-01 a        60     0     3     1    10
 -2.7214036058537823E+00 a        61     0     3     1    11
  5.9806847727363321E-01 a        62     0     3     1    12
 -6.1642316248623163E-01 a        63     0     3     1    13
  1.3696608481313977E+00 a        64     0     3     1    14
 -1.7104667782680838E+00 a        65     0     3     1    15
  3.4174228333518369E-01 a        66     0     3     1    16
  2.1950204328903058E+00 a        67     0     3     1    17
  1.4819471011296372E+00 a        68     0     3     1    18
  8.6419598086195182E-01 a        69     0     3     1    19
 -1.9807673916649222E+00 a        70     0     3     1    20
 -8.1754981466548049E-01 a        71     0     3     1    21
  8.5183964054601424E-01 a        72     0     3     1    22
 -1.1265351050299546E+00 a        73     0     3     1    23
  3.1023051337695745E-01 a        74     0     3     1    24
  2.7440424392777945E+00 a        75     0     3     1    25
  2.2960298979188901E-01 a        76     0     4     1     1
  4.7699142503296446E-02 a        77     0     4     1     2
  6.0155337022245625E-01 a        78     0     4     1     3
 -1.9439503692815557E-01 a        79     0     4     1     4
 -2.8605530154913746E-02 a        80     0     4     1     5
  5.5983316423300188E-03 a        81     0     4     1     6
  9.7519204826929984E-01 a        82     0     4     1     7
  2.9668852740436547E-01 a        83     0     4     1     8
  4.8725450035125151E-01 a        84     0     4     1     9
  2.1326287630079049E-01 a        85     0     4     1    10
 -7.3554692603307470E-01 a        86     0     4     1    11
  5.3315910230702435E-01 a        87     0     4     1    12
 -5.0172823432095809E-02 a        88     0     4     1    13
  1.0865253078708168E+00 a        89     0     4     1    14
 -1.0261853156045440E+00 a        90     0     4     1    15
  2.6512919821052433E-01 a        91     0     4     1    16
  1.0812812614858249E+00 a        92     0     4     1    17
  5.1028631925899315E-01 a        93     0     4     1    18
 -2.2599179332603903E-01 a        94     0     4     1    19
  7.5088913825415021E-02 a        95     0     4     1    20
 -1.2364446472765618E+00 a        96     0     4     1    21
  7.5326701143038222E-01 a        97     0     4     1    22
 -2.6515244091963569E-01 a        98     0     4     1    23
  1.6838686308480304E+00 a        99     0     4     1    24
  4.4492731774876376E-01 a       100     0     4     1    25
 -6.6099920232044096E-01 a       101     0     5     1     1
  1.0089031054636115E-01 a       102     0     5     1     2
  6.6342762904664385E-02 a       103     0     5     1     3
  4.5542810443153381E-01 a       104     0     5     1     4
