################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   2.0811328411603291E-01   2.6502965458022318E+00   5.4820779183620016E-01   1.9438655003491395E-01
         1          2   2.6433635267579064E-01   1.5146690311845015E+00   4.5479260296306578E-01   9.7280960332528199E-02
         1          3   1.7997590388914353E-01   2.2758763028581233E+00   4.6383027387611486E-01   1.6637393633826927E-01
         1          4   2.5164230865801712E-01   1.3306586507044289E+00   4.1434387767152581E-01   8.3423919577292033E-02
         1          5   1.3281966828124936E-01   1.6627981343419305E+00   3.2752602910447615E-01   1.2003375173852063E-01
         1          6   2.2597288579037783E-01   1.0274360903839950E+00   3.4684254930103392E-01   6.1168891244830069E-02
         1          7   8.2149386182782322E-02   1.0931441839643286E+00   2.0448958208237744E-01   7.6327545904223026E-02
         1          8   1.8494239959516390E-01   7.4164165589182818E-01   2.7989660958600449E-01   4.1113013365414681E-02
         1          9   1.6751248687704154E-01   6.3451358309364347E-01   2.7282862040313216E-01   3.2782751043787056E-02
         1         10   9.9814913304491840E-02   1.4923368301275222E+00   2.6862939200493952E-01   1.0428094014194154E-01
         1         11   1.0849664749548267E-01   4.2492696326932716E-01   2.1395460812841474E-01   1.9759157190422972E-02
         1         12   4.9512429901861006E-02   1.0351911873358328E+00   1.7159090193442056E-01   6.5760700745434983E-02
         1         13   4.5851290715271713E-02   2.8078525482049599E-01   1.5136333258526743E-01   1.7712883560853453E-02
         1         14   1.5572680775701220E-02   5.6549997368551852E-01   9.6280906120558410E-02   3.3622821342384389E-02
         1         15   2.0558245629162986E-03   2.3344123028135391E-01   6.2957467617677315E-02   1.6232452259873492E-02
         1         16   1.4251786751748164E-04   2.2677621553134111E-01   3.0805306618705043E-02   1.6825464758098242E-02
         1         17   8.7677506694763963E-09   1.8133523252440008E-02   1.6904054131874958E-03   1.4498718100987250E-03
         1         18   1.1825047322002258E-06   2.2644297834218174E-02   3.4901866652083455E-04   1.2372085569777791E-03
         1         19   1.2121533479425855E-06   1.7252396095482177E-02   7.5204485043056993E-04   1.0233732774886429E-03
         1         20   9.3893909497466312E-03   1.8871833869180935E-01   2.3601290358002125E-02   1.1268011187407586E-02
         1         21   5.0912749619490293E-04   4.7735409785710552E-02   2.9207054104726160E-03   2.6361672763745348E-03
         1         22   3.5709418954137420E-07   1.7920245508055817E-02   6.2824806746419914E-04   9.9517810480315790E-04
         1         23   7.3548336492137998E-03   1.5864992809160433E-01   1.9965515177632759E-02   8.9059457363348318E-03
         1         24   4.0555469146903359E-07   1.6584613512818498E-02   1.9113049770027145E-04   8.6857315901075756E-04
         1         25   1.7120177596911926E-04   1.3255281248816040E-02   1.0979500456395565E-03   6.6475873777848023E-04
         1         26   2.4322401900543343E-03   5.1545511160465539E-02   8.5844169964596640E-03   2.6804579087894337E-03
         1         27   4.7105173128093422E-05   5.0076469955970607E-03   9.1132439628238899E-04   2.9969891087298559E-04
         2          1   5.6622988327342849E-01   3.0147634063327788E+00   9.0958520592614012E-01   1.9095186874369857E-01
         2          2   1.3218655928873254E-02   1.1635302009851911E+00   1.3801198173921958E-01   9.1411833493487485E-02
         2          3   5.3975003894284335E-01   2.6399559955371741E+00   8.2868775534309214E-01   1.6288172484062952E-01
         2          4   8.7272333712139164E-03   9.7788447046439819E-01   1.0582206167666698E-01   7.5702626572108633E-02
         2          5   4.7776492746364946E-01   2.0231917173164033E+00   6.9368509860206673E-01   1.1755794249914943E-01
         2          6   3.4776242312125867E-03   6.7234361665195730E-01   5.9193112360643070E-02   5.0095702059349122E-02
         2          7   3.9068291166034574E-01   1.4497982392307129E+00   5.5979321917201608E-01   7.6739868380187357E-02
         2          8   8.7990047184996001E-04   3.8972735375533091E-01   2.5299574150808492E-02   2.7307035754050888E-02
         2          9   3.7766156969729747E-01   1.2292345546905405E+00   5.4565724080627731E-01   5.8371007436868252E-02
         2         10   4.3415602012824173E-03   1.1225891847759155E+00   1.0363127377056386E-01   8.7758953907225212E-02
         2         11   2.6442344770784837E-01   8.2111699815680450E-01   4.2790921625683404E-01   3.3342299973635116E-02
         2         12   1.3935375828897189E-03   1.0857170141924004E+00   7.8864434998351773E-02   8.3250529422228450E-02
         2         13   1.1448482726683375E-01   5.3607470039908600E-01   3.0272666517053037E-01   2.7157317425580321E-02
         2         14   1.5068679194630010E-04   1.0375459330533015E+00   4.9493713937866293E-02   7.5807310920218529E-02
         2         15   6.8556300948793419E-03   3.3798603795908300E-01   1.2591493523535371E-01   2.4074409175343241E-02
         2         16   2.2805731083975582E-07   9.4421042507398634E-01   1.7791151625124037E-02   6.1266323775209533E-02
         2         17   2.7212699981397850E-07   1.1324028652035913E-02   2.3221011453718719E-04   5.8780718631226301E-04
         2         18   1.9589943115997871E-04   2.1807749964542619E-01   1.0098166205242015E-02   1.3777410653208302E-02
         2         19   1.0742817109419558E-03   3.1848369378060223E-02   5.9810023462588593E-03   2.0652541092962017E-03
         2         20   3.4051730284575339E-04   1.1585003644294592E-01   3.7566613479653871E-03   7.0348789275473346E-03
         2         21   5.0259564912627230E-03   8.1604220512722495E-02   1.3514844421438774E-02   4.5277209011638838E-03
         2         22   5.6558642152248699E-07   2.2509783821801910E-02   2.7677535090990459E-04   1.2203932554202270E-03
         2         23   2.1708348421484859E-03   1.2529174851847125E-01   9.3713761666662631E-03   7.1747015213576024E-03
         2         24   2.0702350340735524E-05   1.0355923302213448E-01   3.0007389097479781E-03   6.0036304299016640E-03
         2         25   1.6923574905950110E-03   3.1357384977899992E-02   5.9452133141760198E-03   1.5431153498629406E-03
         2         26   7.2436096051361868E-04   3.5916824163405081E-02   3.7371537279232152E-03   1.8987944013853955E-03
