################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.5631224527208313E-01 a         1     0     1     1     1
 -8.0448320240673932E-01 a         2     0     1     1     2
  8.3550493540857684E-01 a         3     0     1     1     3
  5.8570801951208229E-02 a         4     0     1     1     4
 -3.1379245718367704E-01 a         5     0     1     1     5
 -1.8703973113879591E-01 a         6     0     1     1     6
 -5.7953676181459128E-02 a         7     0     1     1     7
 -1.2683318062705329E-01 a         8     0     1     1     8
  9.0256292793796100E-02 a         9     0     1     1     9
  2.7632599596725194E-02 a        10     0     1     1    10
  5.3446812970980961E-01 a        11     0     1     1    11
  5.1683206849276679E-02 a        12     0     1     1    12
 -4.2092159339042735E-02 a        13     0     1     1    13
 -3.0750990041803000E-01 a        14     0     1     1    14
  5.6386945392164922E-01 a        15     0     1     1    15
  3.6164534229941420E-01 a        16     0     2     1     1
 -1.8388422644393318E-01 a        17     0     2     1     2
  9.0136721049944768E-01 a        18     0     2     1     3
  5.8990375432744924E-01 a        19     0     2     1     4
  2.3680107572015385E-02 a        20     0     2     1     5
 -4.4854327163580571E-01 a        21     0     2     1     6
 -2.7176977447164824E-02 a        22     0     2     1     7
 -1.3625943877080113E-01 a        23     0     2     1     8
  1.6974173611630478E-01 a        24     0     2     1     9
  1.9340768718970747E-01 a        25     0     2     1    10
 -1.3902776402605749E-01 a        26     0     2     1    11
  2.5327249313832101E-01 a        27     0     2     1    12
  2.2244186212406888E-01 a        28     0     2     1    13
  4.4119976375294495E-01 a        29     0     2     1    14
  2.1825715288986700E-01 a        30     0     2     1    15
 -3.2673732903830710E-01 a        31     0     3     1     1
 -5.0393854486486667E-01 a        32     0     3     1     2
  1.0605147172342941E-01 a        33     0     3     1     3
 -2.1828563842184479E-01 a        34     0     3     1     4
 -3.8831897021582079E-01 a        35     0     3     1     5
  9.8768646610608773E-02 a        36     0     3     1     6
 -1.5389597442482683E-01 a        37     0     3     1     7
 -1.1182605242548900E-01 a        38     0     3     1     8
 -1.4950407488235035E-01 a        39     0     3     1     9
  1.4938748566844037E-01 a        40     0     3     1    10
  2.2031091763159996E-01 a        41     0     3     1    11
  2.4864776564200741E-01 a        42     0     3     1    12
  1.0369306817733541E-01 a        43     0     3     1    13
 -6.7761129460234729E-02 a        44     0     3     1    14
  2.0792043055358592E-01 a        45     0     3     1    15
  2.8113394087620119E-01 a        46     0     4     1     1
 -1.8254703020324389E-02 a        47     0     4     1     2
  7.3941237951308758E-01 a        48     0     4     1     3
 -1.3357600737228681E-01 a        49     0     4     1     4
 -5.7786853241055564E-02 a        50     0     4     1     5
 -2.6921283361745463E-01 a        51     0     4     1     6
 -2.1135503071647352E-01 a        52     0     4     1     7
 -9.6760156288648799E-02 a        53     0     4     1     8
 -9.4129369555837478E-02 a        54     0     4     1     9
 -4.7534121556506770E-02 a        55     0     4     1    10
 -4.1599801218544419E-01 a        56     0     4     1    11
  7.3948864409019641E-02 a        57     0     4     1    12
 -4.7332048264678150E-01 a        58     0     4     1    13
  5.4318386104504512E-01 a        59     0     4     1    14
  1.9019467892899283E-01 a        60     0     4     1    15
  1.0959195740243370E-01 a        61     0     5     1     1
 -8.2526237629110755E-01 a        62     0     5     1     2
  3.4216664521574008E-01 a        63     0     5     1     3
  3.1563504325259145E-01 a        64     0     5     1     4
 -1.1593165248094202E-01 a        65     0     5     1     5
 -3.1270466393123347E-01 a        66     0     5     1     6
 -1.6248420184562690E-01 a        67     0     5     1     7
  3.5984448336046576E-01 a        68     0     5     1     8
  8.7315417888880295E-02 a        69     0     5     1     9
  6.2770697604659220E-01 a        70     0     5     1    10
  3.0202211676583751E-01 a        71     0     5     1    11
  2.7370690560417671E-01 a        72     0     5     1    12
  7.0535654120878075E-02 a        73     0     5     1    13
  3.5801511433004515E-02 a        74     0     5     1    14
 -2.9551248060022539E-01 a        75     0     5     1    15
 -2.9162135820318719E-01 a        76     0     6     1     1
 -3.4431210951329833E-01 a        77     0     6     1     2
  3.0962129524391929E-01 a        78     0     6     1     3
  2.3637686698818694E-01 a        79     0     6     1     4
  3.7285698567923847E-01 a        80     0     6     1     5
  2.6553011970269497E-01 a        81     0     6     1     6
 -2.6935826608875879E-01 a        82     0     6     1     7
  1.2129886794275684E-01 a        83     0     6     1     8
 -9.2089388150925627E-02 a        84     0     6     1     9
 -3.1615060611380325E-01 a        85     0     6     1    10
 -1.6102687777385896E-01 a        86     0     6     1    11
  3.7371872998129205E-02 a        87     0     6     1    12
 -4.1629482389055389E-01 a        88     0     6     1    13
 -2.2513881890279086E-01 a        89     0     6     1    14
  2.3681272779664898E-02 a        90     0     6     1    15
 -4.1117208021801321E-01 a        91     0     7     1     1
 -8.0671472609837747E-01 a        92     0     7     1     2
  2.3095635389379490E-01 a        93     0     7     1     3
 -2.8988205023099317E-01 a        94     0     7     1     4
 -3.5717425155316646E-01 a        95     0     7     1     5
 -1.4764471132531282E-01 a        96     0     7     1     6
 -3.0541937631208127E-01 a        97     0     7     1     7
 -2.5070316540345766E-01 a        98     0     7     1     8
 -6.9367518432231456E-01 a        99     0     7     1     9
  8.1256810540164773E-02 a       100     0     7     1    10
 -2.3338001934742220E-01 a       101     0     7     1    11
  1.9250043569145320E-01 a       102     0     7     1    12
  5.5817852600700224E-01 a       103     0     7     1    13
  2.6132383992892766E-01 a       104     0     7     1    14
 -2.3765294209931331E-01 a       105     0     7     1    15
 -1.6788883499995105E-01 a       106     0     8     1     1
 -6.0842729437581733E-01 a       107     0     8     1     2
 -6.1482226326399866E-02 a       108     0     8     1     3
  3.1981078483811581E-01 a       109     0     8     1     4
 -1.3003036771791909E-02 a       110     0     8     1     5
  1.8522372096075373E-01 a       111     0     8     1     6
 -2.9187417494870971E-01 a       112     0     8     1     7
  3.0610846327712199E-01 a       113     0     8     1     8
  4.3938517931933069E-01 a       114     0     8     1     9
  1.5655783695745634E-01 a       115     0     8     1    10
 -2.6903566819045760E-01 a       116     0     8     1    11
 -1.9605587599409782E-01 a       117     0     8     1    12
 -5.3507527095750573E-01 a       118     0     8     1    13
  2.0634348079978507E-01 a       119     0     8     1    14
  2.3568300931111322E-01 a       120     0     8     1    15
 -2.6122731864372162E-01 a       121     0     9     1     1
 -4.9822559852530851E-01 a       122     0     9     1     2
 -4.4230757722044257E-03 a       123     0     9     1     3
 -9.5880161100123040E-02 a       124     0     9     1     4
  2.6438841336871205E-01 a       125     0     9     1     5
  2.9613790903471976E-01 a       126     0     9     1     6
  3.5410009888287068E-02 a       127     0     9     1     7
  2.2693734284745262E-01 a       128     0     9     1     8
 -5.5610615716073641E-01 a       129     0     9     1     9
  9.3302234024595906E-02 a       130     0     9     1    10
 -6.5628593555647499E-02 a       131     0     9     1    11
 -3.7345028664766261E-01 a       132     0     9     1    12
 -3.5451436430642824E-01 a       133     0     9     1    13
 -4.5811406879685573E-02 a       134     0     9     1    14
 -4.8491379455213604E-02 a       135     0     9     1    15
  1.9016739599690216E-01 a       136     0    10     1     1
 -8.7792789803220278E-02 a       137     0    10     1     2
  5.5242963598115646E-01 a       138     0    10     1     3
  1.9084540241075790E-01 a       139     0    10     1     4
  1.2675174688949861E-01 a       140     0    10     1     5
  3.2439443116690420E-02 a       141     0    10     1     6
  4.4181561054424535E-02 a       142     0    10     1     7
 -3.2588393741350430E-01 a       143     0    10     1     8
  1.8855998444621133E-01 a       144     0    10     1     9
 -1.5518203847728804E-01 a       145     0    10     1    10
 -1.5016410461728696E-01 a       146     0    10     1    11
  1.7628406765011595E-01 a       147     0    10     1    12
 -4.7982829335437394E-01 a       148     0    10     1    13
 -5.6418235192735244E-01 a       149     0    10     1    14
 -3.1448266210847992E-01 a       150     0    10     1    15
 -4.2244976375582100E-01 a       151     0    11     1     1
  3.3756640754985506E-01 a       152     0    11     1     2
 -3.6455569831181783E-02 a       153     0    11     1     3
  2.1748446440227404E-01 a       154     0    11     1     4
  2.8871265590230749E-01 a       155     0    11     1     5
  8.6392862050570299E-02 a       156     0    11     1     6
 -8.7417834548437601E-02 a       157     0    11     1     7
  1.4108660883700302E-01 a       158     0    11     1     8
 -1.1755386327347347E-01 a       159     0    11     1     9
  2.8755427109180998E-02 a       160     0    11     1    10
 -3.1638494361555836E-01 a       161     0    11     1    11
  2.3051182088286484E-01 a       162     0    11     1    12
  3.6862468834448311E-02 a       163     0    11     1    13
  5.6122941841994137E-02 a       164     0    11     1    14
  3.9980538442576996E-01 a       165     0    11     1    15
 -1.5808312579508527E-01 a       166     0    12     1     1
 -5.1722589306442668E-01 a       167     0    12     1     2
 -3.1549683616603597E-01 a       168     0    12     1     3
 -1.4978407257902004E-01 a       169     0    12     1     4
 -8.0944171661912145E-02 a       170     0    12     1     5
 -1.5491462313734516E-01 a       171     0    12     1     6
  1.6756538700485709E-02 a       172     0    12     1     7
  2.2078955339445816E-01 a       173     0    12     1     8
  4.7041637979743955E-01 a       174     0    12     1     9
  2.6471410510692778E-01 a       175     0    12     1    10
 -4.1067833346304561E-01 a       176     0    12     1    11
 -2.9058085262482939E-02 a       177     0    12     1    12
 -1.2275854976038034E-01 a       178     0    12     1    13
  4.5619515255680095E-02 a       179     0    12     1    14
 -5.7906373431719178E-02 a       180     0    12     1    15
  7.7637419277656355E-02 a       181     0    13     1     1
  9.7805412093251914E-02 a       182     0    13     1     2
  3.7397854040484936E-02 a       183     0    13     1     3
  4.3899682998293876E-01 a       184     0    13     1     4
 -5.0737201009236710E-01 a       185     0    13     1     5
 -5.0246671158212897E-01 a       186     0    13     1     6
 -3.4402458651683548E-01 a       187     0    13     1     7
  8.4063303422653640E-02 a       188     0    13     1     8
 -7.8966986892054525E-01 a       189     0    13     1     9
  1.5626599075068417E-01 a       190     0    13     1    10
 -2.6177156320992379E-01 a       191     0    13     1    11
  3.5241808242812678E-01 a       192     0    13     1    12
  2.5079959756064352E-01 a       193     0    13     1    13
 -4.4319446346871955E-01 a       194     0    13     1    14
  1.2282989207176252E-01 a       195     0    13     1    15
 -4.3631825310180367E-01 a       196     0    14     1     1
 -7.6460605745481158E-01 a       197     0    14     1     2
 -3.0338885328744991E-01 a       198     0    14     1     3
 -2.8130077540036152E-01 a       199     0    14     1     4
 -1.8520636617546164E-02 a       200     0    14     1     5
  7.8845021631497370E-02 a       201     0    14     1     6
  3.1876031050796827E-01 a       202     0    14     1     7
  7.6367908790538758E-02 a       203     0    14     1     8
  2.9231322837358814E-01 a       204     0    14     1     9
  1.6855729311265835E-01 a       205     0    14     1    10
 -3.5511355683592044E-01 a       206     0    14     1    11
 -3.5265807502406987E-02 a       207     0    14     1    12
  6.6718775503841990E-02 a       208     0    14     1    13
 -6.6599728812901687E-02 a       209     0    14     1    14
 -5.7144379387602440E-01 a       210     0    14     1    15
 -2.6680071473145162E-01 a       211     0    15     1     1
  9.8985984486609474E-02 a       212     0    15     1     2
 -3.2794583544657285E-01 a       213     0    15     1     3
  7.1634863574655239E-01 a       214     0    15     1     4
 -8.3301856436165819E-02 a       215     0    15     1     5
 -4.5364943338750102E-01 a       216     0    15     1     6
  3.9331003514850826E-01 a       217     0    15     1     7
  3.2435952624717164E-02 a       218     0    15     1     8
 -7.0943921149610822E-01 a       219     0    15     1     9
 -3.3208979672886746E-01 a       220     0    15     1    10
 -2.2941570412498880E-01 a       221     0    15     1    11
  8.6406158555556800E-01 a       222     0    15     1    12
 -2.9183662378859565E-01 a       223     0    15     1    13
 -2.5899781696490332E-01 a       224     0    15     1    14
 -2.2390563526780993E-02 a       225     0    15     1    15
 -2.1280215497553170E-01 a       226     0    16     1     1
