################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   4.4295491993825326E-01   5.6811244896097368E-01   5.0401267767324998E-01   3.4569291733995415E-02
         1          2   4.1658067791955689E-01   4.7525746751449627E-01   4.4469568352943761E-01   1.7395367038543327E-02
         1          3   3.8091251085173056E-01   4.8853837384992616E-01   4.3322154833714877E-01   3.0132227664871614E-02
         1          4   3.8676391807047039E-01   4.3800209298033660E-01   4.1139269300745074E-01   1.5139199055225089E-02
         1          5   2.7646076949218895E-01   3.5463279563886185E-01   3.1410982384473679E-01   2.2339142866582857E-02
         1          6   3.3418664853089197E-01   3.7418614840314929E-01   3.5348497183773858E-01   1.1740394063892856E-02
         1          7   1.7708430844720527E-01   2.2601182182257659E-01   2.0032428993369264E-01   1.4199629898708844E-02
         1          8   2.7708495375633135E-01   3.0728873293348280E-01   2.9171265979716010E-01   8.7658506647390593E-03
         1          9   2.7481904479897495E-01   3.0375776515670189E-01   2.8870099566849439E-01   8.3349056277634542E-03
         1         10   2.3446894392781636E-01   3.0315401861523289E-01   2.6677311166920625E-01   2.0071300309960009E-02
         1         11   2.1651902887413413E-01   2.3217118337794973E-01   2.2356681724460983E-01   4.5050404854816706E-03
         1         12   1.5231354921824866E-01   1.8760376798602260E-01   1.6810389827484229E-01   1.0166466962713025E-02
         1         13   1.5442702149631099E-01   1.5520705214404537E-01   1.5468018307164688E-01   1.5856733966924382E-04
         1         14   9.0341663712801543E-02   9.4336391065938968E-02   9.1744014145520233E-02   9.1375908932752443E-04
         1         15   6.1185388034359682E-02   6.6296279778643732E-02   6.3999643965016548E-02   1.4290625236431016E-03
         1         16   2.5450009411727613E-02   3.1843375788750440E-02   2.8899300343788736E-02   1.7035458952161027E-03
         1         17   1.8025914827748881E-03   3.5236318129193310E-03   2.6162828751934491E-03   4.9436027827099241E-04
         1         18   1.4627624484124380E-04   4.7692685214262059E-04   2.8708350752581883E-04   9.8252883594263695E-05
         1         19   4.1142052509894123E-04   1.0933169469934127E-03   7.1380911172339218E-04   1.9480600115934387E-04
         1         20   2.2567460631860874E-02   2.9813963873872619E-02   2.5961549662329369E-02   2.1393068658276137E-03
