################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.5400721472729532E-01 a         1     0     1     1     1
 -1.2438673831407230E+00 a         2     0     1     1     2
  6.3772958305643612E-01 a         3     0     1     1     3
 -2.2565211488476986E-01 a         4     0     1     1     4
 -6.1434913328766872E-03 a         5     0     1     1     5
  3.4563598082825664E-01 a         6     0     1     1     6
  1.7990208363908602E-01 a         7     0     1     1     7
  7.2207591139248761E-01 a         8     0     1     1     8
  2.3872107191972064E-01 a         9     0     1     1     9
  1.3285897474906609E+00 a        10     0     1     1    10
 -1.3806485062284032E-01 a        11     0     1     1    11
 -8.9462114691503017E-02 a        12     0     1     1    12
 -3.7653500463758904E-01 a        13     0     1     1    13
 -3.3604179754800778E-01 a        14     0     1     1    14
  1.6831768539383710E-01 a        15     0     1     1    15
  2.7690036849085731E-01 a        16     0     2     1     1
  5.8111741143989892E-01 a        17     0     2     1     2
  2.2506114017222273E-02 a        18     0     2     1     3
 -1.9648689728789900E-02 a        19     0     2     1     4
  3.1341462358272643E-01 a        20     0     2     1     5
  9.0651981698770274E-03 a        21     0     2     1     6
  5.3297632976674247E-01 a        22     0     2     1     7
 -7.0377360781109710E-01 a        23     0     2     1     8
  3.8147212894907651E-01 a        24     0     2     1     9
 -7.9458155850440623E-02 a        25     0     2     1    10
 -2.6192975630857507E-01 a        26     0     2     1    11
  4.0505317637336302E-01 a        27     0     2     1    12
  1.7498056330254119E-01 a        28     0     2     1    13
 -3.4605351276889273E-01 a        29     0     2     1    14
  5.6082840537111947E-02 a        30     0     2     1    15
 -2.3867866708903529E-01 a        31     0     3     1     1
 -1.0169687782764800E+00 a        32     0     3     1     2
 -3.0915150618084610E-02 a        33     0     3     1     3
 -1.5379088425791018E-01 a        34     0     3     1     4
 -3.3091220308780656E-01 a        35     0     3     1     5
  2.0550476375501464E-01 a        36     0     3     1     6
 -7.5065089225877984E-02 a        37     0     3     1     7
  9.0155938219937497E-03 a        38     0     3     1     8
  4.4298520633787708E-01 a        39     0     3     1     9
  7.3525240170993367E-01 a        40     0     3     1    10
  8.9980828476192293E-02 a        41     0     3     1    11
  1.1916646813271234E-01 a        42     0     3     1    12
 -4.3929552699239233E-02 a        43     0     3     1    13
 -1.6995742523517360E-01 a        44     0     3     1    14
 -1.4105366604952158E-01 a        45     0     3     1    15
  2.1382198115155140E-01 a        46     0     4     1     1
  1.4508304043153833E-01 a        47     0     4     1     2
 -2.1402233003923302E-01 a        48     0     4     1     3
  3.2570579629506136E-01 a        49     0     4     1     4
 -2.3369367560042992E-01 a        50     0     4     1     5
 -2.1677778559751448E-01 a        51     0     4     1     6
  1.0146246041700675E-01 a        52     0     4     1     7
 -3.9397793373945122E-01 a        53     0     4     1     8
  3.0183761045486202E-01 a        54     0     4     1     9
 -4.5952713321681132E-01 a        55     0     4     1    10
 -1.3973133575679902E-01 a        56     0     4     1    11
  5.2743124488043047E-01 a        57     0     4     1    12
  1.7013863575295388E-01 a        58     0     4     1    13
 -7.3493155902257162E-02 a        59     0     4     1    14
  3.9754147249429383E-02 a        60     0     4     1    15
 -2.6169366066066635E-01 a        61     0     5     1     1
 -5.9307731804195829E-01 a        62     0     5     1     2
  2.9749369203204340E-01 a        63     0     5     1     3
  7.8323365403505846E-02 a        64     0     5     1     4
 -7.1437013330989119E-02 a        65     0     5     1     5
  1.2222613474122609E-02 a        66     0     5     1     6
 -1.8605991555614637E-01 a        67     0     5     1     7
  3.1632832530506375E-02 a        68     0     5     1     8
 -1.4126945663705123E-01 a        69     0     5     1     9
  6.0387049559103512E-01 a        70     0     5     1    10
 -8.2620960924398398E-02 a        71     0     5     1    11
 -2.7648274498126200E-02 a        72     0     5     1    12
  3.8526111124070900E-01 a        73     0     5     1    13
 -7.7820391371142453E-02 a        74     0     5     1    14
  3.4295692880642065E-01 a        75     0     5     1    15
  5.7726303916786803E-01 a        76     0     6     1     1
  6.1276272514205414E-02 a        77     0     6     1     2
 -5.1017238135739806E-01 a        78     0     6     1     3
  1.3312299853326798E-03 a        79     0     6     1     4
  1.7179997240026035E-01 a        80     0     6     1     5
 -2.1341708052245617E-01 a        81     0     6     1     6
  3.9283543797463638E-01 a        82     0     6     1     7
 -9.7356852370242788E-02 a        83     0     6     1     8
  2.9257095783435078E-01 a        84     0     6     1     9
  4.9797079987689237E-02 a        85     0     6     1    10
 -7.1632530317886606E-02 a        86     0     6     1    11
  5.7070258697604001E-04 a        87     0     6     1    12
 -7.7001322384403728E-02 a        88     0     6     1    13
 -2.1430829010113089E-01 a        89     0     6     1    14
 -4.2039330020876321E-02 a        90     0     6     1    15
  6.7488807245879448E-03 a        91     0     7     1     1
  5.4686763030813525E-02 a        92     0     7     1     2
  5.4303913809313389E-02 a        93     0     7     1     3
 -5.5067420460348272E-04 a        94     0     7     1     4
  2.3680638748039387E-01 a        95     0     7     1     5
  1.0488052129080419E-01 a        96     0     7     1     6
 -1.5160492738240208E-01 a        97     0     7     1     7
 -1.4268690767117906E-01 a        98     0     7     1     8
  2.9513040077236929E-01 a        99     0     7     1     9
 -4.2673384064557326E-03 a       100     0     7     1    10
  5.5340404129759886E-02 a       101     0     7     1    11
 -4.1240547040314018E-01 a       102     0     7     1    12
  4.2197542187180459E-01 a       103     0     7     1    13
 -1.1598291834852295E-01 a       104     0     7     1    14
  3.2482035766923811E-01 a       105     0     7     1    15
