################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.1542988119428609E-03 a         1     0     1     1     1
 -1.9223717638064358E-01 a         2     0     1     1     2
  3.3128057699726665E-01 a         3     0     1     1     3
  1.3621013030953258E-01 a         4     0     1     1     4
  6.8201704517296749E-02 a         5     0     1     1     5
  1.6909121469655253E-01 a         6     0     1     1     6
 -1.3880447327804252E-01 a         7     0     1     1     7
  3.6379667552184358E-01 a         8     0     1     1     8
  1.2159420716477130E-01 a         9     0     1     1     9
  1.4823922156377620E-01 a        10     0     1     1    10
 -1.1340764803360827E-01 a        11     0     1     1    11
 -6.9999071093642937E-02 a        12     0     1     1    12
 -1.5079891826931974E-01 a        13     0     1     1    13
  1.4258069400779530E-01 a        14     0     1     1    14
  2.4898321544918420E-01 a        15     0     1     1    15
 -2.1832505820920967E-01 a        16     0     2     1     1
  2.7996380135091120E-01 a        17     0     2     1     2
  1.5566313851690758E-01 a        18     0     2     1     3
 -1.4808693364735923E-01 a        19     0     2     1     4
  3.7936520227327902E-01 a        20     0     2     1     5
  2.5231222578119727E-01 a        21     0     2     1     6
  8.2127232888733095E-02 a        22     0     2     1     7
 -2.8243306860814660E-01 a        23     0     2     1     8
  2.3498122109822667E-01 a        24     0     2     1     9
  1.4521626329552681E-01 a        25     0     2     1    10
 -3.1958156956597739E-01 a        26     0     2     1    11
 -1.1179397353672232E-01 a        27     0     2     1    12
 -3.0772214878303179E-02 a        28     0     2     1    13
 -1.2849303808872645E-01 a        29     0     2     1    14
  3.4975955560531480E-01 a        30     0     2     1    15
 -3.9215152687542394E-02 a        31     0     3     1     1
 -2.2921832243146406E-01 a        32     0     3     1     2
 -2.3359520955547813E-01 a        33     0     3     1     3
  7.5293506008697511E-02 a        34     0     3     1     4
 -2.2302605390911381E-01 a        35     0     3     1     5
  5.2730842567986033E-02 a        36     0     3     1     6
 -9.9993516471282906E-02 a        37     0     3     1     7
 -2.6693604855310354E-01 a        38     0     3     1     8
  3.9251944357079444E-01 a        39     0     3     1     9
 -1.1561648375533065E-01 a        40     0     3     1    10
  8.5218558539901179E-02 a        41     0     3     1    11
  1.1015644070801935E-01 a        42     0     3     1    12
  3.7599299649773280E-02 a        43     0     3     1    13
  1.8153212929101731E-01 a        44     0     3     1    14
 -1.2115864835904280E-01 a        45     0     3     1    15
 -2.4908808827226153E-01 a        46     0     4     1     1
 -2.0878374145442533E-01 a        47     0     4     1     2
 -4.8025876505719586E-02 a        48     0     4     1     3
  1.7393530541374780E-01 a        49     0     4     1     4
 -1.4618379453662991E-01 a        50     0     4     1     5
  8.2166354590097565E-02 a        51     0     4     1     6
 -3.0305759957507095E-01 a        52     0     4     1     7
 -1.7375480604958374E-02 a        53     0     4     1     8
  1.4172600656135126E-01 a        54     0     4     1     9
 -2.8938759504399808E-01 a        55     0     4     1    10
 -1.7973317872559591E-01 a        56     0     4     1    11
  1.1743427379917561E-01 a        57     0     4     1    12
 -4.5843275000989808E-02 a        58     0     4     1    13
  2.9132590092662333E-03 a        59     0     4     1    14
  3.4646009177218517E-01 a        60     0     4     1    15
 -1.6697552685008116E-01 a        61     0     5     1     1
 -2.5226025048125394E-01 a        62     0     5     1     2
  1.4833336805791922E-01 a        63     0     5     1     3
  9.7647211901164321E-02 a        64     0     5     1     4
 -8.9637179972207187E-02 a        65     0     5     1     5
 -7.6389517643711699E-02 a        66     0     5     1     6
  2.4837214008418745E-02 a        67     0     5     1     7
 -8.7854804890803898E-02 a        68     0     5     1     8
 -1.8204264067067957E-01 a        69     0     5     1     9
  3.8574594824054748E-01 a        70     0     5     1    10
 -7.9551481873798388E-02 a        71     0     5     1    11
 -7.6567658498809862E-03 a        72     0     5     1    12
  2.2394861103942493E-01 a        73     0     5     1    13
  1.3009247876212712E-01 a        74     0     5     1    14
  2.7701453203870741E-01 a        75     0     5     1    15
  2.1990747101906830E-01 a        76     0     6     1     1
 -3.4753450486104792E-01 a        77     0     6     1     2
 -2.9092712778320046E-01 a        78     0     6     1     3
 -1.7125795951094405E-01 a        79     0     6     1     4
  3.4282350981992255E-01 a        80     0     6     1     5
  1.7209717740256594E-01 a        81     0     6     1     6
  1.2377090424120610E-01 a        82     0     6     1     7
  2.1884404100708543E-01 a        83     0     6     1     8
  9.0315148680549018E-02 a        84     0     6     1     9
  9.4269290618874318E-02 a        85     0     6     1    10
 -8.6178227271499833E-02 a        86     0     6     1    11
 -2.0895572460559533E-01 a        87     0     6     1    12
 -2.9150487936259678E-01 a        88     0     6     1    13
 -3.6761569479658895E-01 a        89     0     6     1    14
  2.7941761897935502E-01 a        90     0     6     1    15
 -5.6153573296643519E-03 a        91     0     7     1     1
  3.7797712546023328E-02 a        92     0     7     1     2
 -1.5366987921804517E-01 a        93     0     7     1     3
 -1.3148047836179730E-01 a        94     0     7     1     4
 -4.5343211218933248E-02 a        95     0     7     1     5
  6.4919747421426810E-02 a        96     0     7     1     6
  4.9295249585619517E-02 a        97     0     7     1     7
 -1.3973844793065904E-01 a        98     0     7     1     8
  1.6932050801625895E-01 a        99     0     7     1     9
  3.4108038859754686E-01 a       100     0     7     1    10
  1.0405712166764121E-01 a       101     0     7     1    11
 -3.0345596331197677E-01 a       102     0     7     1    12
  5.5232600795220056E-02 a       103     0     7     1    13
  1.0602205527456365E-02 a       104     0     7     1    14
  1.7403914560358313E-01 a       105     0     7     1    15
 -2.4258056229080446E-01 a       106     0     8     1     1
 -2.7729012358558586E-01 a       107     0     8     1     2
 -2.9182871155898121E-01 a       108     0     8     1     3
  2.7604320052538595E-01 a       109     0     8     1     4
  2.6275499555517534E-01 a       110     0     8     1     5
  7.6127733444589493E-02 a       111     0     8     1     6
  2.2872006432035855E-01 a       112     0     8     1     7
  1.5225952885115988E-02 a       113     0     8     1     8
  1.4703343074328709E-01 a       114     0     8     1     9
 -2.0508301153782760E-01 a       115     0     8     1    10
  3.1226796805574630E-01 a       116     0     8     1    11
  2.4750352405799939E-02 a       117     0     8     1    12
  9.4752516064572356E-04 a       118     0     8     1    13
  6.3094950187207371E-02 a       119     0     8     1    14
 -2.0953660711298475E-01 a       120     0     8     1    15
  2.4459848667750231E-01 a       121     0     9     1     1
  1.2191408798574889E-01 a       122     0     9     1     2
 -2.7057956246092718E-01 a       123     0     9     1     3
 -3.5205497309673955E-01 a       124     0     9     1     4
 -2.8977958540000393E-01 a       125     0     9     1     5
 -1.0355797486322427E-01 a       126     0     9     1     6
  9.9092698933647028E-02 a       127     0     9     1     7
  2.0940985929062583E-01 a       128     0     9     1     8
 -2.9002764401421333E-01 a       129     0     9     1     9
  5.6509155712323858E-02 a       130     0     9     1    10
  2.4155426743145780E-01 a       131     0     9     1    11
 -3.2585323105975778E-01 a       132     0     9     1    12
  2.3705996619006092E-01 a       133     0     9     1    13
  2.6276609454254884E-01 a       134     0     9     1    14
  2.1775880055328595E-01 a       135     0     9     1    15
  2.1868786046876441E-02 a       136     0    10     1     1
  1.5620447301661008E-01 a       137     0    10     1     2
 -1.4869471164882334E-01 a       138     0    10     1     3
 -1.4175684186458568E-01 a       139     0    10     1     4
 -3.4175718461097182E-01 a       140     0    10     1     5
  3.7034662777680100E-01 a       141     0    10     1     6
 -6.5800972864969387E-02 a       142     0    10     1     7
 -1.6430031475603418E-01 a       143     0    10     1     8
  6.1922981821153737E-02 a       144     0    10     1     9
  2.2182992080043856E-01 a       145     0    10     1    10
 -7.8661350686192871E-02 a       146     0    10     1    11
 -2.1572271763161341E-01 a       147     0    10     1    12
  2.6458720161175781E-01 a       148     0    10     1    13
  1.2268893000455021E-01 a       149     0    10     1    14
 -3.6938015787217049E-01 a       150     0    10     1    15
  2.4963689700316613E-01 a       151     0    11     1     1
 -2.9716232521883984E-01 a       152     0    11     1     2
 -1.8481622310868015E-01 a       153     0    11     1     3
  3.4726751949052248E-01 a       154     0    11     1     4
  3.7517585117209656E-01 a       155     0    11     1     5
 -3.1790514112184626E-01 a       156     0    11     1     6
  1.6055743106911863E-01 a       157     0    11     1     7
  3.6007729426426455E-01 a       158     0    11     1     8
  6.5525755037104075E-02 a       159     0    11     1     9
  2.3926685915370260E-01 a       160     0    11     1    10
 -1.2150151867701603E-01 a       161     0    11     1    11
 -1.2230202702545453E-01 a       162     0    11     1    12
 -3.5959171083246416E-01 a       163     0    11     1    13
 -1.2108497152840915E-01 a       164     0    11     1    14
 -6.3819717861150385E-02 a       165     0    11     1    15
 -7.8531426152882611E-02 a       166     0    12     1     1
 -7.6753406913217484E-02 a       167     0    12     1     2
 -4.4782184548422074E-02 a       168     0    12     1     3
  3.3896240558904495E-01 a       169     0    12     1     4
  3.6246413351193280E-01 a       170     0    12     1     5
 -2.6137968728589894E-01 a       171     0    12     1     6
 -2.5276174546908359E-01 a       172     0    12     1     7
 -5.1429059264161081E-02 a       173     0    12     1     8
 -7.1539069838755395E-02 a       174     0    12     1     9
  3.9055493609222169E-02 a       175     0    12     1    10
 -1.2647879070251575E-01 a       176     0    12     1    11
 -3.5113951777375607E-01 a       177     0    12     1    12
  3.2262090274342425E-01 a       178     0    12     1    13
  2.8943316047975753E-01 a       179     0    12     1    14
  9.4192138893086155E-02 a       180     0    12     1    15
 -3.6763852340888559E-01 a       181     0    13     1     1
  4.0290000406304410E-01 a       182     0    13     1     2
 -1.0006005237660018E-01 a       183     0    13     1     3
  3.0474765680249805E-01 a       184     0    13     1     4
  2.8278008489385359E-01 a       185     0    13     1     5
 -1.5116403897707231E-01 a       186     0    13     1     6
  2.0631412133581853E-01 a       187     0    13     1     7
  1.3297489383613795E-01 a       188     0    13     1     8
 -2.7068039700805369E-01 a       189     0    13     1     9
  3.2906712488486284E-01 a       190     0    13     1    10
  3.8476309771534001E-01 a       191     0    13     1    11
 -3.2088234934049782E-02 a       192     0    13     1    12
  2.1003209568782338E-01 a       193     0    13     1    13
  8.1194499990813705E-03 a       194     0    13     1    14
  3.5241489850178598E-01 a       195     0    13     1    15
 -3.8934453501937617E-02 a       196     0    14     1     1
  2.2343790690701656E-01 a       197     0    14     1     2
  2.0927554142104110E-01 a       198     0    14     1     3
  1.2893068362486629E-01 a       199     0    14     1     4
 -6.6388014829554504E-02 a       200     0    14     1     5
  8.4082372805996897E-02 a       201     0    14     1     6
 -3.3690912065476641E-01 a       202     0    14     1     7
 -8.5750308215639018E-02 a       203     0    14     1     8
  2.4093401670917347E-01 a       204     0    14     1     9
 -1.1774108793080452E-01 a       205     0    14     1    10
  2.9907655470567435E-01 a       206     0    14     1    11
 -2.7645277028500259E-01 a       207     0    14     1    12
 -3.0800382250546484E-02 a       208     0    14     1    13
