################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.9310689800083218E+00 a         1     0     1     1     1
  2.7866368096319878E+00 a         2     0     1     1     2
 -3.5842826060470485E+00 a         3     0     1     1     3
  7.4923269988331151E+00 a         4     0     1     1     4
  2.6234434512770681E+00 a         5     0     1     1     5
 -1.0769124235595007E-01 a         6     0     1     1     6
  9.6750494602273278E+00 a         7     0     1     1     7
  7.1677326741947898E+00 a         8     0     1     1     8
 -1.0960777810809439E+00 a         9     0     1     1     9
  3.3255299692237563E+00 a        10     0     1     1    10
  1.4892390274078822E+00 a        11     0     1     1    11
  1.5929970879012606E+01 a        12     0     1     1    12
  6.3447295454234514E+00 a        13     0     1     1    13
  5.2538363883683052E+00 a        14     0     1     1    14
  4.5463335350223861E+00 a        15     0     1     1    15
  3.2973117632035418E+00 a        16     0     1     1    16
  8.4739619149354972E-01 a        17     0     1     1    17
  3.1336958533342929E+00 a        18     0     1     1    18
 -2.1443105460147787E+00 a        19     0     1     1    19
  1.0521902796227774E+01 a        20     0     1     1    20
  3.2899717323608328E+00 a        21     0     1     1    21
  4.2900887933404324E+00 a        22     0     1     1    22
  2.4788834909655058E+00 a        23     0     1     1    23
  7.6173663972384089E+00 a        24     0     1     1    24
 -6.6482142543046816E+00 a        25     0     1     1    25
 -8.8745138178507921E-01 a        26     0     2     1     1
  9.7604218730732661E+00 a        27     0     2     1     2
  2.7298884234386764E+00 a        28     0     2     1     3
 -7.6981945873697546E+00 a        29     0     2     1     4
  5.4305651905144448E+00 a        30     0     2     1     5
 -7.8768032499924789E+00 a        31     0     2     1     6
 -4.2580320612316367E+00 a        32     0     2     1     7
 -2.4757901349515915E+01 a        33     0     2     1     8
  2.5228608049927082E+01 a        34     0     2     1     9
 -7.4044369963942342E+00 a        35     0     2     1    10
  9.5636322909686537E+00 a        36     0     2     1    11
 -2.4964735300176706E+01 a        37     0     2     1    12
 -1.1156667119123343E+01 a        38     0     2     1    13
 -6.7443085247535706E+00 a        39     0     2     1    14
 -3.5374917942183641E+00 a        40     0     2     1    15
 -1.1477818894910682E+01 a        41     0     2     1    16
  2.2558675638271088E+00 a        42     0     2     1    17
 -7.5170940065718184E-01 a        43     0     2     1    18
 -1.2027958848679003E+01 a        44     0     2     1    19
 -1.6923676638106038E+01 a        45     0     2     1    20
 -5.1229713648098762E+00 a        46     0     2     1    21
  3.9361806854912262E+00 a        47     0     2     1    22
 -1.3034518380356937E+01 a        48     0     2     1    23
 -1.7712082514193239E+00 a        49     0     2     1    24
 -1.0730430828897239E+01 a        50     0     2     1    25
 -3.9696712987578384E+00 a        51     0     3     1     1
 -2.7340366992136484E+00 a        52     0     3     1     2
 -5.2546738752677982E+00 a        53     0     3     1     3
 -3.1559287543603212E+00 a        54     0     3     1     4
  1.6356367016997206E+00 a        55     0     3     1     5
  9.2625305429161724E+00 a        56     0     3     1     6
 -1.7519415602288536E+01 a        57     0     3     1     7
  3.8559051173055275E-01 a        58     0     3     1     8
 -6.5989717721575074E+00 a        59     0     3     1     9
 -4.7567708466850007E+00 a        60     0     3     1    10
 -5.9981122853597704E+00 a        61     0     3     1    11
 -8.2963083883037019E+00 a        62     0     3     1    12
 -3.8912798373485180E+00 a        63     0     3     1    13
 -5.9520438371596107E+00 a        64     0     3     1    14
 -7.4995693141312438E+00 a        65     0     3     1    15
 -6.4682248134108000E-01 a        66     0     3     1    16
 -1.0992102851094614E+01 a        67     0     3     1    17
 -1.4384304381792434E+00 a        68     0     3     1    18
  1.2075373989520518E+01 a        69     0     3     1    19
 -2.9478054763194117E+00 a        70     0     3     1    20
 -7.8313938763618003E+00 a        71     0     3     1    21
 -8.4508543614634029E+00 a        72     0     3     1    22
  1.7379704948755372E+00 a        73     0     3     1    23
 -1.3457217563894606E+01 a        74     0     3     1    24
  1.4540829584040816E+01 a        75     0     3     1    25
  4.9631865380799827E+00 a        76     0     4     1     1
 -1.6860691041773713E+01 a        77     0     4     1     2
  3.4427684034862547E+00 a        78     0     4     1     3
  7.2966780600111836E+00 a        79     0     4     1     4
 -2.0034288283501894E+01 a        80     0     4     1     5
