################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -4.4157283882761122E+00 a         1     0     1     1     1
 -8.0516738849609784E+00 a         2     0     1     1     2
 -4.2397228484975340E+00 a         3     0     1     1     3
  9.0171972549161268E+00 a         4     0     1     1     4
 -4.6388616539511176E+00 a         5     0     1     1     5
 -7.2045974969647801E+00 a         6     0     1     1     6
 -6.6368253568095698E-02 a         7     0     1     1     7
 -8.4919219860077391E+00 a         8     0     1     1     8
 -1.9944750332012602E+00 a         9     0     1     1     9
 -1.2163716665902846E+00 a        10     0     1     1    10
 -7.6625511666515065E+00 a        11     0     1     1    11
  2.9036338439846004E-01 a        12     0     1     1    12
 -4.4777188572196014E+00 a        13     0     1     1    13
 -3.2769985598129683E+00 a        14     0     1     1    14
 -1.6845587823417269E+01 a        15     0     1     1    15
 -2.6185355102639867E+00 a        16     0     1     1    16
  5.7900824663237778E+00 a        17     0     1     1    17
  8.7068290352310318E-01 a        18     0     1     1    18
 -2.3374163176279636E+00 a        19     0     1     1    19
  3.9281064625152453E+00 a        20     0     1     1    20
  8.7446941994945231E+00 a        21     0     1     1    21
 -1.8349715899626922E+00 a        22     0     1     1    22
  1.6234396697387146E+00 a        23     0     1     1    23
 -5.6731376433555702E+00 a        24     0     1     1    24
 -1.0056542187380812E+01 a        25     0     1     1    25
 -5.6709423591905084E-01 a        26     0     2     1     1
  1.7702258637913388E+00 a        27     0     2     1     2
  6.6200049950483670E+00 a        28     0     2     1     3
 -1.6000852744345980E+01 a        29     0     2     1     4
  2.5529474890348105E+00 a        30     0     2     1     5
  3.0394409679843397E+00 a        31     0     2     1     6
  2.7613142077412864E+00 a        32     0     2     1     7
  7.2596024919259090E+00 a        33     0     2     1     8
 -2.9515337742894121E+00 a        34     0     2     1     9
 -7.4157008148579999E+00 a        35     0     2     1    10
  1.4205798368995357E+01 a        36     0     2     1    11
  2.5736735505858856E+00 a        37     0     2     1    12
  1.8791843158050778E+01 a        38     0     2     1    13
  3.9438683980805527E+00 a        39     0     2     1    14
  1.8781594265117887E+00 a        40     0     2     1    15
 -9.2420571812216075E+00 a        41     0     2     1    16
 -1.6411235453935024E+01 a        42     0     2     1    17
 -9.1218551202722986E-01 a        43     0     2     1    18
 -1.6738400836416130E+00 a        44     0     2     1    19
 -7.2867169394929885E+00 a        45     0     2     1    20
 -9.2052202081216414E+00 a        46     0     2     1    21
 -1.6193441825443615E+00 a        47     0     2     1    22
 -3.0565340197421618E+00 a        48     0     2     1    23
  4.2794222071492447E+00 a        49     0     2     1    24
  1.0940067308798129E+01 a        50     0     2     1    25
  7.8314033353440671E+00 a        51     0     3     1     1
  2.0276712970474808E+01 a        52     0     3     1     2
  4.8436605037571845E-01 a        53     0     3     1     3
 -1.1039554934588653E+01 a        54     0     3     1     4
  8.5888822928502915E+00 a        55     0     3     1     5
  1.3796519669633636E+01 a        56     0     3     1     6
 -4.5446687456087922E+00 a        57     0     3     1     7
  6.5359104044454348E+00 a        58     0     3     1     8
 -2.5584484327274590E+00 a        59     0     3     1     9
  1.2366092649985571E+01 a        60     0     3     1    10
  7.9212485132140591E+00 a        61     0     3     1    11
 -2.3709211857849866E+00 a        62     0     3     1    12
 -1.2307012360084075E+00 a        63     0     3     1    13
  6.1753083183131690E+00 a        64     0     3     1    14
  2.6290496332737117E+01 a        65     0     3     1    15
  1.0018180470245071E+01 a        66     0     3     1    16
 -3.6776997116431391E+00 a        67     0     3     1    17
  1.9166896049829882E+00 a        68     0     3     1    18
  2.8898005513549316E+00 a        69     0     3     1    19
 -3.7138402302256508E+00 a        70     0     3     1    20
  1.5373244554219991E+00 a        71     0     3     1    21
  2.8016861849753623E+00 a        72     0     3     1    22
 -2.7356794592291633E+00 a        73     0     3     1    23
  1.9914233095189582E+00 a        74     0     3     1    24
  7.7160706393950695E+00 a        75     0     3     1    25
  1.2220657122923360E+00 a        76     0     4     1     1
 -6.2820802780105804E+00 a        77     0     4     1     2
 -1.1814554090081648E+01 a        78     0     4     1     3
  2.4296252009966299E+01 a        79     0     4     1     4
 -6.0503591269915447E+00 a        80     0     4     1     5
 -1.0757320452547525E+01 a        81     0     4     1     6
 -8.1434184206690119E-01 a        82     0     4     1     7
 -1.1011991996482314E+01 a        83     0     4     1     8
  8.0708629137439054E+00 a        84     0     4     1     9
  8.1243599631683558E+00 a        85     0     4     1    10
 -2.0531461606836977E+01 a        86     0     4     1    11
  4.6775170830088619E+00 a        87     0     4     1    12
 -1.8611382307838721E+01 a        88     0     4     1    13
 -7.4292134817839592E+00 a        89     0     4     1    14
  4.4218467083212811E+00 a        90     0     4     1    15
  1.4782047264814320E+01 a        91     0     4     1    16
  3.0584358618560863E+01 a        92     0     4     1    17
 -6.8993191479185505E+00 a        93     0     4     1    18
  3.8302831016547909E+00 a        94     0     4     1    19
  3.5605081594205714E+00 a        95     0     4     1    20
 -1.0733719107472849E+01 a        96     0     4     1    21
  4.4573738793890634E+00 a        97     0     4     1    22
  1.4609276319047449E+01 a        98     0     4     1    23
  3.4537737261234591E+00 a        99     0     4     1    24
 -1.4910142555571007E+01 a       100     0     4     1    25
 -4.2697262833978273E+00 a       101     0     5     1     1
 -2.5815979439992784E+01 a       102     0     5     1     2
  1.1298306453697789E+01 a       103     0     5     1     3
  4.3446699860855533E+00 a       104     0     5     1     4
 -3.7094366753275958E+00 a       105     0     5     1     5
 -6.3606541053340837E-01 a       106     0     5     1     6
  8.1731559097062547E+00 a       107     0     5     1     7
  5.9808526826862130E+00 a       108     0     5     1     8
  6.8426142895673072E+00 a       109     0     5     1     9
 -2.0716312985322489E+01 a       110     0     5     1    10
 -3.8349835390032667E+00 a       111     0     5     1    11
 -6.7828948725844940E-02 a       112     0     5     1    12
 -4.6020022425342860E-01 a       113     0     5     1    13
 -4.1897796963700431E+00 a       114     0     5     1    14
 -3.0113883384593880E+01 a       115     0     5     1    15
 -1.0115228271124113E+01 a       116     0     5     1    16
 -1.0349550408486687E+01 a       117     0     5     1    17
 -2.2545087883412953E+00 a       118     0     5     1    18
 -1.0902734027964856E+01 a       119     0     5     1    19
  6.9711771580391018E+00 a       120     0     5     1    20
 -1.2154306023025159E+00 a       121     0     5     1    21
 -3.0411787081587001E+00 a       122     0     5     1    22
 -9.3217058174421865E+00 a       123     0     5     1    23
 -4.4131331336364399E+00 a       124     0     5     1    24
  8.9747126235129340E+00 a       125     0     5     1    25
 -4.3699916584627525E+00 a       126     0     6     1     1
  7.2823749502818043E+00 a       127     0     6     1     2
  6.9891630714859634E+00 a       128     0     6     1     3
 -2.9670038700258350E+00 a       129     0     6     1     4
  4.8265092747502072E+00 a       130     0     6     1     5
  5.5722016612776608E+00 a       131     0     6     1     6
 -4.2398799123095117E+00 a       132     0     6     1     7
  1.0697385740474394E+01 a       133     0     6     1     8
 -2.5423174426528727E+00 a       134     0     6     1     9
 -6.2738579754915724E+00 a       135     0     6     1    10
  1.7809002413554811E+01 a       136     0     6     1    11
 -1.0929430614503190E+01 a       137     0     6     1    12
 -1.6972284564618121E+00 a       138     0     6     1    13
 -1.7255791551893120E+00 a       139     0     6     1    14
 -4.7729642842760767E-01 a       140     0     6     1    15
 -1.6895430348691896E+01 a       141     0     6     1    16
 -2.6599942141046245E+01 a       142     0     6     1    17
 -7.5644065805044347E+00 a       143     0     6     1    18
  5.9944866428577628E+00 a       144     0     6     1    19
  2.4758499647328391E+00 a       145     0     6     1    20
  9.0442431339485108E+00 a       146     0     6     1    21
 -3.6150412056001398E+00 a       147     0     6     1    22
 -1.8528236013847774E+01 a       148     0     6     1    23
 -5.1431389997305148E+00 a       149     0     6     1    24
  8.1117165466683456E+00 a       150     0     6     1    25
  3.1136625584801086E-01 a       151     0     7     1     1
  2.6909960632070685E+01 a       152     0     7     1     2
 -4.6985125233364631E+00 a       153     0     7     1     3
