################################################################################
# Energy contributions calculated from NNP.
################################################################################
# Col  Name      Description
################################################################################
# 1    conf      Configuration index (starting with 1).
# 2    index     Atom index (starting with 1).
# 3    Z         Nuclear charge of atom.
# 4    Qref      Reference atomic charge.
# 5    Qnnp      NNP atomic charge.
# 6    Eref_atom Reference atomic energy contribution.
# 7    Ennp_atom Atomic energy contribution (physical units, no mean or offset energy added).
#############################################################################################################################
#        1          2   3                        4                        5                        6                        7
#     conf      index   Z                     Qref                     Qnnp                Eref_atom                Ennp_atom
#############################################################################################################################
         1          1   6   0.0000000000000000E+00  -3.2458644274754651E-02   0.0000000000000000E+00  -2.0479710438970580E-01
         1          2   6   0.0000000000000000E+00  -5.6141778584216068E-02   0.0000000000000000E+00  -1.7130864053608713E-01
         1          3   1   0.0000000000000000E+00   1.0294145062705674E-01   0.0000000000000000E+00  -4.2142060824865357E-01
         1          4   6   0.0000000000000000E+00  -7.1556348953342435E-03   0.0000000000000000E+00  -2.7430064475745047E-01
         1          5   6   0.0000000000000000E+00   8.3432748292313285E-04   0.0000000000000000E+00  -2.7002047650869254E-01
         1          6   6   0.0000000000000000E+00  -2.3599719595358937E-03   0.0000000000000000E+00  -2.7250138971765969E-01
         1          7   6   0.0000000000000000E+00  -8.4907158646713859E-03   0.0000000000000000E+00  -2.6180345487358536E-01
         1          8   6   0.0000000000000000E+00  -1.0534113290044665E-02   0.0000000000000000E+00  -2.7086885868262611E-01
         1          9   6   0.0000000000000000E+00   8.1462340324302566E-04   0.0000000000000000E+00  -2.6482089673470777E-01
         1         10   6   0.0000000000000000E+00  -2.8345993789409479E-02   0.0000000000000000E+00  -2.0394673774174502E-01
         1         11   6   0.0000000000000000E+00  -6.0647343034107404E-02   0.0000000000000000E+00  -1.7483492203211570E-01
         1         12   1   0.0000000000000000E+00   1.0154379417885089E-01   0.0000000000000000E+00  -4.2123934102023231E-01
