################################################################################
# Energy contributions calculated from NNP.
################################################################################
# Col  Name      Description
################################################################################
# 1    conf      Configuration index (starting with 1).
# 2    index     Atom index (starting with 1).
# 3    Z         Nuclear charge of atom.
# 4    Qref      Reference atomic charge.
# 5    Qnnp      NNP atomic charge.
# 6    Eref_atom Reference atomic energy contribution.
# 7    Ennp_atom Atomic energy contribution (physical units, no mean or offset energy added).
#############################################################################################################################
#        1          2   3                        4                        5                        6                        7
#     conf      index   Z                     Qref                     Qnnp                Eref_atom                Ennp_atom
#############################################################################################################################
         1          1   6  -8.0236691666699996E-03  -5.4940777124785694E-04   0.0000000000000000E+00  -2.7252758438967251E-01
         1          2   6  -8.5542791666700004E-03   1.7904667668415885E-04   0.0000000000000000E+00  -2.6201120067716605E-01
         1          3   6  -9.8619091666699993E-03   4.6513304390162464E-04   0.0000000000000000E+00  -2.7103119771937922E-01
         1          4   6  -1.0058389166700000E-02  -1.5490420833643749E-04   0.0000000000000000E+00  -2.7443374161969575E-01
         1          5   6  -6.7201291666699999E-03  -7.4340409566865174E-04   0.0000000000000000E+00  -2.6477801879627783E-01
         1          6   6  -4.1796691666700003E-03  -4.7104636803528180E-04   0.0000000000000000E+00  -2.6999315020905884E-01
         1          7   6  -2.8382559166699999E-02   1.6513804305354068E-03   0.0000000000000000E+00  -2.0720891023683383E-01
         1          8   6  -3.1433549166699999E-02   1.8820684196788993E-03   0.0000000000000000E+00  -2.0898842130478207E-01
         1          9   6  -5.3990979166700002E-02   2.3219058330200496E-02   0.0000000000000000E+00  -1.7866769303892424E-01
         1         10   6  -4.9556739166700003E-02   2.3619055165260732E-02   0.0000000000000000E+00  -1.7512355454164297E-01
         1         11   1   1.0498083083300000E-01  -2.4351346706226538E-02   0.0000000000000000E+00  -4.3254848641240384E-01
         1         12   1   1.0578104083300000E-01  -2.4745632916746550E-02   0.0000000000000000E+00  -4.3286876975432331E-01
