################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.0615965509486389E+00 a         1     0     1     1     1
  8.5673677619780375E-01 a         2     0     1     1     2
 -2.0578812067045900E+00 a         3     0     1     1     3
 -1.9079290893362891E-01 a         4     0     1     1     4
  2.1931297710075319E+00 a         5     0     1     1     5
 -1.0718728887216178E+00 a         6     0     1     1     6
 -6.5700133979754516E-01 a         7     0     1     1     7
  1.4276606007404813E+00 a         8     0     1     1     8
 -3.2618900363071655E+00 a         9     0     1     1     9
  7.9535902296231964E-01 a        10     0     1     1    10
 -5.4007190820651214E+00 a        11     0     1     1    11
 -1.1507026233433577E+00 a        12     0     1     1    12
  2.3016974119671243E+00 a        13     0     1     1    13
  4.4143912978630642E+00 a        14     0     1     1    14
 -1.9729637257437407E+00 a        15     0     1     1    15
 -8.2636991646342173E-01 a        16     0     2     1     1
  1.5592003190811479E+00 a        17     0     2     1     2
 -1.3337547974568691E+00 a        18     0     2     1     3
  3.7011218674124220E-02 a        19     0     2     1     4
 -7.2589676541032999E-01 a        20     0     2     1     5
  5.4282206142477718E-01 a        21     0     2     1     6
  9.8866948058744264E-01 a        22     0     2     1     7
  3.9032408798180320E+00 a        23     0     2     1     8
  4.6275245621025463E-01 a        24     0     2     1     9
 -2.2967200020839848E-01 a        25     0     2     1    10
 -2.9827286313845101E-02 a        26     0     2     1    11
  3.1593717978322339E-01 a        27     0     2     1    12
  4.2578945999572804E-01 a        28     0     2     1    13
  9.4526637804176292E-02 a        29     0     2     1    14
 -1.4042663146580214E+00 a        30     0     2     1    15
 -1.1592055708996953E-01 a        31     0     3     1     1
  1.5110755814239869E+00 a        32     0     3     1     2
 -1.6397758409412864E+00 a        33     0     3     1     3
 -1.8880655795417645E-01 a        34     0     3     1     4
  5.2813641766091546E-01 a        35     0     3     1     5
 -1.6053042169641432E+00 a        36     0     3     1     6
 -1.3572317071820350E+00 a        37     0     3     1     7
 -7.6736656406749826E-01 a        38     0     3     1     8
 -3.0511569283675963E+00 a        39     0     3     1     9
