################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   4.4265075533537512E-01   2.4749666370750694E+00   1.1060722509726018E+00   1.7529945320684118E-01
         1          2   1.9388935120109099E+00   4.4097236813336176E+00   3.2978532722457570E+00   2.5128573402537990E-01
         1          3   1.0807838070518886E-02   4.1304458483662820E-01   7.1868741885005083E-02   3.4662740758690899E-02
         1          4   2.6547690535721169E+00   5.1765886817791573E+00   4.0454007565017012E+00   2.5579520863782829E-01
         1          5   1.4995320530771344E-01   1.3519360603219461E+00   5.0922021208534995E-01   1.2262469346514367E-01
         1          6   1.3478375671698186E+00   4.1418336720929823E+00   2.5639172172860367E+00   3.7353134785219438E-01
         1          7   8.1186515243907842E-01   2.4990660558808346E+00   1.5882886682336448E+00   1.6357025849311374E-01
         1          8   8.3560066574306779E-01   3.5190788505185737E+00   1.8937518336778314E+00   3.5586606866248682E-01
         1          9   1.3835259104473252E+00   2.6464501497863053E+00   2.2079115860694039E+00   1.3890110758612836E-01
         1         10   1.1951184603566023E+00   2.8927959575917903E+00   2.0316656202063745E+00   2.0737960708933709E-01
         1         11   9.8808644349834496E-01   1.6027978035707744E+00   1.3843071713511630E+00   7.8529797179971425E-02
         1         12   9.1981902848818131E-01   2.2238977642164559E+00   1.6225786253237706E+00   1.8739973313204333E-01
         1         13   2.2597919343915630E-02   1.2708403027630688E-01   5.1881770327387181E-02   8.3606264892797395E-03
         1         14   3.8408359796381125E-01   9.9411428648517852E-01   6.2027578566565089E-01   5.8321113787023079E-02
         1         15   1.4083722552013387E+00   4.0837798882115868E+00   2.3948910589466421E+00   2.7205794214050266E-01
         1         16   7.1017533056026858E-02   3.5924947585956063E-01   1.5467611295933245E-01   2.3262660654328696E-02
         1         17   2.2565953627627136E+00   4.5529270325456537E+00   3.2026845490445135E+00   2.2099610481145684E-01
         1         18   2.9798875096866855E+00   6.8397125214329391E+00   4.6222211152781112E+00   4.9994275841001823E-01
         1         19   8.3935452330094168E-02   4.9012718923180415E-01   2.1931677551585280E-01   3.8677705768792127E-02
         1         20   1.3046135311117131E+00   2.4200616155686863E+00   1.7341246117915960E+00   1.1785806355696596E-01
         1         21   8.0199454261870406E-01   1.9483510241268203E+00   1.2961643168731083E+00   1.4672710574320125E-01
         1         22   6.4374558536931794E-03   4.8182460226993802E-02   1.6707732409685424E-02   3.2034525707065878E-03
         1         23   1.5318897938282255E-01   4.5416402718924276E-01   2.6291575700052811E-01   2.8677843631321493E-02
         1         24   6.9418423813301466E-01   2.4541868250982004E+00   1.3137330249991466E+00   1.6387572931667668E-01
         1         25   2.0299364848972126E-02   1.3683512999502856E-01   4.9832084435863372E-02   8.9516084933796824E-03
         1         26   9.8701872413726255E-01   2.2586534755453709E+00   1.4780519754057804E+00   1.1871005779401544E-01
         1         27   1.5186918852877633E+00   3.9050329487971425E+00   2.4766215129303397E+00   2.9079756604312895E-01
         1         28   3.8161695126727853E-02   2.7674887655318292E-01   1.1058155022715112E-01   2.1905596415412825E-02
         1         29   5.8977740954298397E-01   1.2386293684496201E+00   8.2364153102433180E-01   6.5551076498813768E-02
         1         30   3.8193645094435219E-01   1.0506523465236675E+00   6.4620992439490277E-01   8.2156802905661991E-02
         1         31   1.0877216711266600E+00   2.8800857695995274E+00   1.8376742285101342E+00   1.7208854608735455E-01
         1         32   8.8783936606988565E+00   1.4736206648360312E+01   1.1698178703687816E+01   6.1086423843563575E-01
         1         33   1.3732816872509948E+01   2.4205696120591984E+01   1.8301681574699320E+01   1.4667109447685063E+00
         1         34   9.0278290856362930E-01   2.4756737855204465E+00   1.5308385269169829E+00   1.4436373406542297E-01
         1         35   8.9087476076510974E+00   1.4693677789914243E+01   1.1598835757597929E+01   6.1413283845889899E-01
         1         36   1.1456139379005354E+01   2.1316973822535566E+01   1.5642394988112523E+01   1.3052104326252827E+00
         1         37   2.5379941726465405E+00   4.3361767105514337E+00   3.3765899739621799E+00   1.8298023565504315E-01
         1         38   3.6421208177618460E+00   6.8311536891079561E+00   5.0762844334415771E+00   4.5568219422020401E-01
         1         39   1.3689487135523365E-01   3.6820433872931851E-01   2.2763176703809612E-01   2.1660654887416739E-02
         1         40   2.5649159161016786E+00   4.1963702184459795E+00   3.2443756016118601E+00   1.8134089138334111E-01
         1         41   2.0642465841299500E+00   4.1692860632438746E+00   2.9548001264619574E+00   2.6394004100571961E-01
         1         42   4.6512029522926740E-01   1.4664174976442483E+00   8.5498686781623590E-01   9.3059828249480767E-02
         1         43   4.6547662784275197E+00   8.4479388434646854E+00   6.4237386473137450E+00   3.8411325204761104E-01
         1         44   8.6415653134619532E+00   1.6278459810269940E+01   1.1787210979312956E+01   1.0179454392709681E+00
         1         45   3.8547816500338000E-01   1.2767023692244872E+00   7.1226405976144813E-01   7.8602173939313374E-02
         1         46   4.6789216668759375E+00   8.4098137810639617E+00   6.3515226749250546E+00   3.8255728791957827E-01
         1         47   6.9948460709494453E+00   1.3576561360549128E+01   9.8530015506444073E+00   8.9220167841463538E-01
         1         48   1.3368052908889996E-01   3.9480780749423111E-01   2.4318877739968350E-01   2.6424765019592393E-02
         1         49   1.3296050002218320E+00   2.5112834184004242E+00   1.8605136293226228E+00   1.1617142815775323E-01
         1         50   2.2651205823176861E+00   4.5657352835038028E+00   3.2381271278722017E+00   3.2239976604583942E-01
         1         51   5.8271222801219491E-02   1.8954030778131817E-01   1.0498686421401084E-01   1.1616221414215330E-02
         1         52   1.3485470042844463E+00   2.4053107174498130E+00   1.7699194452312146E+00   1.1270742957344337E-01
         1         53   1.1637151841314661E+00   2.5500691319681228E+00   1.7421774640240988E+00   1.7312511619868448E-01
         1         54   4.4790780968218247E-01   1.8123258976262868E+00   9.1548128537474582E-01   1.2057744180124463E-01
         1         55   5.6625365929518660E-02   2.3732586931975447E-01   1.1026918667512448E-01   1.6052748969046394E-02
         2          1   1.5743455957850613E-01   1.5073065774351941E+00   5.5303612548630132E-01   1.1899585890474287E-01
         2          2   1.0499049602999246E-02   8.6977355932082434E-01   1.8767905028057794E-01   8.0999273778781938E-02
         2          3   8.1374754443656305E-01   2.4261950387937841E+00   1.6489266361228783E+00   1.8141831271144424E-01
         2          4   1.6145285517255994E-01   2.5518950524850439E+00   1.1085810713423514E+00   3.0666977013499336E-01
         2          5   9.4883860757335603E-01   2.6710371110933706E+00   2.0227003782508501E+00   1.9067433597095923E-01
         2          6   9.6539811175376589E-01   4.8423104282718699E+00   2.8219530812454505E+00   4.7918479666939673E-01
         2          7   4.7529037518360068E-01   2.3097294285577390E+00   1.2819586086430184E+00   1.9684407624800027E-01
         2          8   1.7095723912637146E+00   5.1341988940591596E+00   3.4864385967612606E+00   3.8797019939122079E-01
         2          9   3.1233518617392186E-01   1.8219399362068016E+00   9.4687591683891648E-01   1.9153423627191457E-01
         2         10   3.5767426586678325E-01   1.6223983964512552E+00   1.0158328101031879E+00   2.0438269411930965E-01
         2         11   1.0137865774210515E+00   3.5680165380478712E+00   2.1790772630319624E+00   3.3886299872978104E-01
         2         12   3.0941620316795870E-01   1.2113971995541650E+00   8.1128931266188542E-01   1.3619945830873967E-01
         2         13   2.0707073331993908E-01   1.0337121848367778E+00   4.8189215108834055E-01   8.2852701405279283E-02
         2         14   8.2193625876920096E-01   2.6219750037393883E+00   1.6246945966895010E+00   1.6181008698586691E-01
         2         15   3.4456131789121569E-01   1.9177774581312250E+00   9.1804106293915821E-01   1.9508948177749674E-01
         2         16   2.4458465228606030E-01   9.2849994113117507E-01   4.7384793258920110E-01   6.6048360078919607E-02
         2         17   3.8379277734053305E+00   7.3005509674816178E+00   5.3924175775352499E+00   3.4350110848414023E-01
         2         18   1.3880228332655034E+00   4.3361502232155660E+00   2.5900317962172914E+00   3.7347009392110642E-01
         2         19   2.1484844584477185E-02   2.6334808335921994E-01   7.2660811029078703E-02   1.5611227962074608E-02
         2         20   2.3312476084988785E-02   2.9805602022674860E-01   8.8306912423691541E-02   1.9292008893662619E-02
         2         21   2.7195526816721900E-02   1.2294682924678357E-01   5.9508063803285792E-02   9.1362387893595305E-03
         2         22   1.8338777683487169E+00   3.1165354847033653E+00   2.3131465623530860E+00   1.2906733784622765E-01
         2         23   4.9520703398617671E-01   1.3739936187945998E+00   8.5886930842858833E-01   1.0719798991816548E-01
         2         24   8.3372459829371623E-02   5.9799519441710691E-01   2.3109776020291722E-01   4.7860816214886359E-02
         2         25   3.8387545763852293E-01   1.5190933343391366E+00   8.5913087479927619E-01   9.8683853404507374E-02
         2         26   1.3695758827157153E-01   9.8943867324686252E-01   4.3201869514899510E-01   1.0492395861599907E-01
         2         27   9.2344997100998055E-02   4.6313711150328485E-01   2.0414417289865988E-01   3.4759250455299269E-02
         2         28   1.9125391528191629E+00   4.2554336862028403E+00   2.9312236631302082E+00   2.2284144795806357E-01
         2         29   5.6703537659832792E-01   2.2331423792366145E+00   1.2254617118290669E+00   2.1291909229192083E-01
         2         30   8.7466581491831251E-03   1.5578055355040685E-01   3.7072425840003614E-02   9.2701812094135964E-03
         2         31   9.2178393180946533E-03   1.5904126501260279E-01   4.0348551352842446E-02   9.5003668218397400E-03
         2         32   9.2761896250624876E-01   1.7921935800038666E+00   1.2308347709940852E+00   8.0254390629725877E-02
         2         33   2.0159751859216588E-01   6.8263459163972073E-01   3.9620994276101978E-01   5.8856944009654792E-02
         2         34   1.8664138936449807E-02   2.0528233698508752E-01   5.8996171265576887E-02   1.2127819025198241E-02
         2         35   9.1202524005712503E-03   6.7278846278479063E-02   2.1113240418557132E-02   4.1014379356923755E-03
         2         36   3.2335303640640407E+00   6.2800805982849672E+00   4.5844950729868890E+00   2.9899493759159784E-01
         2         37   1.2157054366093822E+01   1.8705346938457929E+01   1.5194740546143654E+01   7.2484700079972553E-01
         2         38   7.9921665749592199E+00   1.7643832919265371E+01   1.2475514463185192E+01   1.2154982160899783E+00
         2         39   2.1807932118933904E+00   4.5852265968783925E+00   3.1833153239195777E+00   2.3238027423515445E-01
         2         40   1.2108995132489303E+01   1.8698532669729367E+01   1.5120860751112655E+01   7.2733912128396438E-01
         2         41   7.0165185028024153E+00   1.5401626639949257E+01   1.0792131828621983E+01   1.0398487914522918E+00
         2         42   7.8202016983210931E-01   1.8611702516693229E+00   1.2174201587607194E+00   1.1147820578875754E-01
         2         43   3.2709677848274334E+00   5.4223547723084513E+00   4.2602646606465866E+00   2.7314590833102631E-01
         2         44   2.2651344778022735E+00   5.0863609156322838E+00   3.5902774962451893E+00   3.5808456983868103E-01
         2         45   1.9453916371177205E-01   5.2428294654973473E-01   3.2666614703573060E-01   3.3752889916549095E-02
         2         46   3.3374664427470768E+00   5.1743679146252255E+00   4.0448520764617184E+00   1.9237711912273595E-01
         2         47   1.3929130654519679E+00   3.0394486810407773E+00   2.0655732163336640E+00   2.0369407259850125E-01
         2         48   1.9994637331940199E+00   4.1338816564289589E+00   2.9547223524158195E+00   2.2378987872487088E-01
         2         49   7.0024276367635920E+00   1.2030420415617256E+01   9.3380137489663113E+00   5.1318226612730578E-01
         2         50   4.2164884610310587E+00   1.0982260050282811E+01   7.2964881447285777E+00   8.6437104938712894E-01
         2         51   1.2626170541578807E+00   2.8532820982381413E+00   1.9301828785358952E+00   1.6090649059496773E-01
         2         52   6.9131495181976197E+00   1.1993764170970396E+01   9.2801906041296842E+00   5.1334742977278891E-01
         2         53   3.6648854802162818E+00   9.3657087980349765E+00   6.2138002856746217E+00   7.2113430819953039E-01
