################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.2195940469770823E-01 a         1     0     1     1     1
  1.4369141139186226E+00 a         2     0     1     1     2
 -1.6378193660601843E+00 a         3     0     1     1     3
 -1.3297725407586964E+00 a         4     0     1     1     4
  1.6275666838797385E+00 a         5     0     1     1     5
 -9.8150706987131409E-01 a         6     0     1     1     6
 -2.0314682816557492E+00 a         7     0     1     1     7
  1.2298159547152223E+00 a         8     0     1     1     8
  3.7734356010694037E-01 a         9     0     1     1     9
 -7.4798724498994540E-01 a        10     0     1     1    10
 -1.0264023972652625E+00 a        11     0     1     1    11
  2.1548149161547818E+00 a        12     0     1     1    12
 -4.4383386262545370E+00 a        13     0     1     1    13
 -2.4435473317133219E-01 a        14     0     1     1    14
 -6.1027926322828363E-01 a        15     0     1     1    15
  4.4428450832284844E-01 a        16     0     2     1     1
  2.5280321355901667E-02 a        17     0     2     1     2
 -5.1348956424873464E-02 a        18     0     2     1     3
 -6.7389386998728484E-02 a        19     0     2     1     4
  7.9017156493080665E-01 a        20     0     2     1     5
 -1.3027417422848386E+00 a        21     0     2     1     6
 -8.6714642372970363E-01 a        22     0     2     1     7
 -1.2330008219699118E-01 a        23     0     2     1     8
  1.3863371339510064E-01 a        24     0     2     1     9
  9.8662582047645675E-01 a        25     0     2     1    10
 -6.6860689167710663E-01 a        26     0     2     1    11
 -5.7702855477656523E-01 a        27     0     2     1    12
 -3.3785518275739794E+00 a        28     0     2     1    13
 -3.7273617992723512E-01 a        29     0     2     1    14
  3.4919879688918898E-01 a        30     0     2     1    15
 -1.1291234535760492E-02 a        31     0     3     1     1
 -1.7267433768383151E-02 a        32     0     3     1     2
  7.6271861145437436E-02 a        33     0     3     1     3
  1.1280578662037109E-02 a        34     0     3     1     4
 -5.7070445187209196E-01 a        35     0     3     1     5
 -1.7500160164081546E-01 a        36     0     3     1     6
 -1.7314591536609669E-01 a        37     0     3     1     7
  4.5384400542541042E-01 a        38     0     3     1     8
 -3.6132022310766843E-01 a        39     0     3     1     9
 -1.1481692001568665E-02 a        40     0     3     1    10
 -2.8007638457697592E-01 a        41     0     3     1    11
 -2.4661198714086346E-01 a        42     0     3     1    12
 -4.8738483506853686E-01 a        43     0     3     1    13
 -1.7515676237207672E-01 a        44     0     3     1    14
 -2.7698774645408064E-01 a        45     0     3     1    15
 -7.3353809816319518E-02 a        46     0     4     1     1
  1.3319982387588443E+00 a        47     0     4     1     2
 -1.6045032259616718E+00 a        48     0     4     1     3
 -5.6171405803716890E-01 a        49     0     4     1     4
  1.0965593065022521E+00 a        50     0     4     1     5
 -1.0946614607300647E+00 a        51     0     4     1     6
 -1.6401004311121448E+00 a        52     0     4     1     7
  1.3286018634786556E+00 a        53     0     4     1     8
  3.8768393465651180E-01 a        54     0     4     1     9
 -2.6203400815630551E-01 a        55     0     4     1    10
 -9.9315256776717176E-01 a        56     0     4     1    11
  2.0765210174191768E+00 a        57     0     4     1    12
 -3.2601414935951527E+00 a        58     0     4     1    13
  3.3661719012512709E-01 a        59     0     4     1    14
 -3.4690439886050933E-01 a        60     0     4     1    15
  1.0801949325794261E-01 a        61     0     5     1     1
  9.9574459631645529E-01 a        62     0     5     1     2
  5.9677868604416995E-01 a        63     0     5     1     3
  2.8083434307678717E-02 a        64     0     5     1     4
  4.5516971249445010E-01 a        65     0     5     1     5
 -2.4858434396087767E-01 a        66     0     5     1     6
 -1.4111007551481292E+00 a        67     0     5     1     7
  8.7935967312987118E-01 a        68     0     5     1     8
  2.5379534300966070E-02 a        69     0     5     1     9
 -1.6865288679807194E-01 a        70     0     5     1    10
  1.6900947245591671E-01 a        71     0     5     1    11
 -3.6631509091499853E-01 a        72     0     5     1    12
 -1.5318610188006129E-01 a        73     0     5     1    13
  2.7208044546092586E-01 a        74     0     5     1    14
 -2.1406128497868634E-01 a        75     0     5     1    15
 -2.0876430953046560E-02 a        76     0     6     1     1
  1.0360013590498653E+00 a        77     0     6     1     2
 -9.1955922367587628E-01 a        78     0     6     1     3
 -5.6544656635037334E-02 a        79     0     6     1     4
  1.2570662058319002E+00 a        80     0     6     1     5
 -8.7822301111835510E-01 a        81     0     6     1     6
 -4.3854015368843574E-01 a        82     0     6     1     7
  8.0518526533178814E-01 a        83     0     6     1     8
  1.2750198092385745E-01 a        84     0     6     1     9
  6.8080010766177212E-01 a        85     0     6     1    10
 -7.6732820842038707E-01 a        86     0     6     1    11
  1.3185028701965675E-02 a        87     0     6     1    12
 -2.9797724074685603E+00 a        88     0     6     1    13
  2.8765420698501742E-01 a        89     0     6     1    14
 -9.9630990918800011E-02 a        90     0     6     1    15
 -1.3678443164406540E-01 a        91     0     7     1     1
  3.6952959917324402E-01 a        92     0     7     1     2
  9.5917209695912731E-01 a        93     0     7     1     3
 -3.1064618189050580E-01 a        94     0     7     1     4
 -1.3351658890978493E+00 a        95     0     7     1     5
 -6.6429157666661395E-02 a        96     0     7     1     6
 -4.2135846037524660E-01 a        97     0     7     1     7
  1.3251881906946574E+00 a        98     0     7     1     8
 -4.1762645703678358E-01 a        99     0     7     1     9
  2.5471091167544743E-02 a       100     0     7     1    10
 -2.4306900062040132E-01 a       101     0     7     1    11
 -8.6493425050629702E-01 a       102     0     7     1    12
 -9.6146197653955112E-01 a       103     0     7     1    13
  5.9138910728860494E-01 a       104     0     7     1    14
 -4.3853022427641825E-01 a       105     0     7     1    15
 -1.7125452160558560E-01 a       106     0     8     1     1
  1.7602900200943337E+00 a       107     0     8     1     2
 -1.8377549326650342E+00 a       108     0     8     1     3
 -1.7411912261005139E-02 a       109     0     8     1     4
  1.1885751868338341E+00 a       110     0     8     1     5
 -4.7577940246726230E-01 a       111     0     8     1     6
 -8.8162288286793544E-01 a       112     0     8     1     7
  1.3869903502398091E+00 a       113     0     8     1     8
  5.5851569624236271E-02 a       114     0     8     1     9
 -2.9610973687500663E-01 a       115     0     8     1    10
 -3.6361800881956341E-01 a       116     0     8     1    11
  2.2753641108453313E+00 a       117     0     8     1    12
 -2.1793951321744127E+00 a       118     0     8     1    13
  4.6132414585983200E-01 a       119     0     8     1    14
 -3.6707361598434163E-01 a       120     0     8     1    15
  4.2350801957440017E-02 a       121     0     9     1     1
  5.4744348088401629E-01 a       122     0     9     1     2
  2.9237296966635623E-01 a       123     0     9     1     3
 -2.5498444335751802E-01 a       124     0     9     1     4
  9.3921713330789650E-02 a       125     0     9     1     5
 -2.4872605398730062E-02 a       126     0     9     1     6
 -9.8931122212066658E-01 a       127     0     9     1     7
  9.0952182960898054E-01 a       128     0     9     1     8
  1.0280236067931811E-01 a       129     0     9     1     9
 -4.3285518708471377E-01 a       130     0     9     1    10
  2.3502207692583843E-01 a       131     0     9     1    11
  7.4115280798888235E-03 a       132     0     9     1    12
 -1.6548157062458191E-01 a       133     0     9     1    13
  4.7053316433090103E-01 a       134     0     9     1    14
 -3.9388903905233102E-01 a       135     0     9     1    15
 -1.4566569036714461E-01 a       136     0    10     1     1
  5.1904074571873027E-01 a       137     0    10     1     2
 -3.7526765146227048E-01 a       138     0    10     1     3
 -4.0248485689048201E-04 a       139     0    10     1     4
  3.2767831784657969E-01 a       140     0    10     1     5
 -2.4915540572585885E-02 a       141     0    10     1     6
  1.6348278987263345E-01 a       142     0    10     1     7
  3.3311887583775968E-01 a       143     0    10     1     8
  1.8458384340784600E-02 a       144     0    10     1     9
  1.0690792635129208E-01 a       145     0    10     1    10
 -2.4424355033825398E-01 a       146     0    10     1    11
 -1.0833086795076555E-01 a       147     0    10     1    12
 -6.0597116934692707E-01 a       148     0    10     1    13
 -1.6857563191395867E-02 a       149     0    10     1    14
 -8.1229823058380446E-02 a       150     0    10     1    15
 -1.3014716900813578E-01 a       151     0    11     1     1
  1.5788515332498140E-01 a       152     0    11     1     2
  3.6956241704366960E-01 a       153     0    11     1     3
 -2.5706797755244493E-01 a       154     0    11     1     4
 -4.7508889885942984E-01 a       155     0    11     1     5
  7.3134728553087960E-02 a       156     0    11     1     6
 -1.8753389922770116E-02 a       157     0    11     1     7
  4.1256928541488619E-01 a       158     0    11     1     8
 -3.4738337264645980E-02 a       159     0    11     1     9
 -2.2206204683747656E-02 a       160     0    11     1    10
 -4.6869052430939431E-02 a       161     0    11     1    11
 -6.4332767965286752E-01 a       162     0    11     1    12
 -2.5063956402559640E-01 a       163     0    11     1    13
  1.5877825977881210E-01 a       164     0    11     1    14
 -8.1255681074342653E-02 a       165     0    11     1    15
 -5.7035480333411279E-04 a       166     0    12     1     1
  3.0062148582730036E-01 a       167     0    12     1     2
 -6.2396053244525473E-01 a       168     0    12     1     3
  1.2450425623021880E-01 a       169     0    12     1     4
  4.3198508227738314E-01 a       170     0    12     1     5
 -1.0348210316263992E-01 a       171     0    12     1     6
 -2.9012599242814280E-01 a       172     0    12     1     7
  5.7451268156150370E-01 a       173     0    12     1     8
 -1.2127142241981392E-01 a       174     0    12     1     9
 -2.9327981574243106E-01 a       175     0    12     1    10
  1.7997055053812214E-01 a       176     0    12     1    11
  1.1551419901088014E+00 a       177     0    12     1    12
 -3.5427677855365841E-01 a       178     0    12     1    13
  1.4854018663813093E-01 a       179     0    12     1    14
 -2.7077701554090644E-01 a       180     0    12     1    15
  1.6142880612796579E-02 a       181     0    13     1     1
  2.1610902862373913E+00 a       182     0    13     1     2
  3.5244937194418262E+00 a       183     0    13     1     3
 -3.1229377609013914E-01 a       184     0    13     1     4
 -1.4429223773178679E+00 a       185     0    13     1     5
 -5.4341162254611641E-01 a       186     0    13     1     6
  1.0878213665710434E+00 a       187     0    13     1     7
  1.3431167757250539E+00 a       188     0    13     1     8
 -2.2965687256843479E+00 a       189     0    13     1     9
 -1.0475268249007126E+00 a       190     0    13     1    10
  1.2090795236312256E-01 a       191     0    13     1    11
  2.4977964180224901E+00 a       192     0    13     1    12
  1.0642817172096495E+00 a       193     0    13     1    13
  2.9300523096966651E+00 a       194     0    13     1    14
 -1.9092251510729643E+00 a       195     0    13     1    15
  1.3331095716061236E+00 a       196     0    14     1     1
  9.8157847038325585E-01 a       197     0    14     1     2
 -9.8030059994666829E-01 a       198     0    14     1     3
 -1.8936914156599471E+00 a       199     0    14     1     4
  6.4940825122059875E-01 a       200     0    14     1     5
  2.3804908019690605E+00 a       201     0    14     1     6
  3.3867228983828572E+00 a       202     0    14     1     7
  1.3184968773802347E-02 a       203     0    14     1     8
  3.8828660615630622E-01 a       204     0    14     1     9
  1.3077095983444761E-01 a       205     0    14     1    10
  4.9416106632222609E+00 a       206     0    14     1    11
  1.4658386265897718E+00 a       207     0    14     1    12
 -2.8682665499342774E-01 a       208     0    14     1    13
  2.5444200814300446E+00 a       209     0    14     1    14
 -1.0237744232304609E+00 a       210     0    14     1    15
  1.4568191114686702E+00 a       211     0    15     1     1
  6.5934778659541482E-01 a       212     0    15     1     2
 -9.3299314069977624E-01 a       213     0    15     1     3
  7.3859658229238534E-01 a       214     0    15     1     4
  1.4195424089313806E+00 a       215     0    15     1     5
  3.2088697924960335E-01 a       216     0    15     1     6
  3.1470696694760476E+00 a       217     0    15     1     7
  3.1615133765274903E+00 a       218     0    15     1     8
  1.6797424258346343E-02 a       219     0    15     1     9
 -2.6713978941792891E+00 a       220     0    15     1    10
  1.6614528889372950E+00 a       221     0    15     1    11
  1.1150557676653344E-01 a       222     0    15     1    12
  7.9866030549690126E-01 a       223     0    15     1    13
 -5.3052247484841575E-01 a       224     0    15     1    14
 -1.3797028184992992E+00 a       225     0    15     1    15
  7.1256087633309306E-01 a       226     0    16     1     1
 -9.2353123627355616E-01 a       227     0    16     1     2
 -3.3354469379402443E+00 a       228     0    16     1     3
  2.5265702987026066E+00 a       229     0    16     1     4
  4.5997655586536235E+00 a       230     0    16     1     5
  3.2105784180705195E+00 a       231     0    16     1     6
  1.9433092154051881E+00 a       232     0    16     1     7
 -2.2110403508288403E+00 a       233     0    16     1     8
  1.6178137514208993E-01 a       234     0    16     1     9
 -2.8231815523929177E-01 a       235     0    16     1    10
 -1.8644391709881265E+00 a       236     0    16     1    11
 -1.6037761461295508E+00 a       237     0    16     1    12
 -6.1926981603243636E-01 a       238     0    16     1    13
 -3.7931463142831077E+00 a       239     0    16     1    14
  2.7263312288674485E-01 a       240     0    16     1    15
  2.0702260230231668E+00 a       241     0    17     1     1
 -6.4437166365971956E+00 a       242     0    17     1     2
 -1.4233423257294220E+00 a       243     0    17     1     3
  3.1861605950954313E+00 a       244     0    17     1     4
  1.1082546766597240E-01 a       245     0    17     1     5
 -7.1583683212790543E+00 a       246     0    17     1     6
  4.4408638487752633E-01 a       247     0    17     1     7
 -1.5592003335493263E+00 a       248     0    17     1     8
  4.4310972659562464E-01 a       249     0    17     1     9
 -5.1570552575055451E-01 a       250     0    17     1    10
 -8.2456940263099234E+00 a       251     0    17     1    11
  2.6399973725177932E+00 a       252     0    17     1    12
  1.6054533777916353E+00 a       253     0    17     1    13
 -1.8850792975034543E+00 a       254     0    17     1    14
 -7.8842318535928946E-01 a       255     0    17     1    15
  4.3606201098212090E+00 a       256     0    18     1     1
  1.2398298402132832E+00 a       257     0    18     1     2
  4.3236074686453074E+00 a       258     0    18     1     3
 -1.0326669700468356E+00 a       259     0    18     1     4
  4.8566989110696185E-01 a       260     0    18     1     5
  1.2207950506711909E+00 a       261     0    18     1     6
  4.3833593646724980E+00 a       262     0    18     1     7
 -4.4645294214691225E+00 a       263     0    18     1     8
 -8.9178088191894278E-01 a       264     0    18     1     9
  2.6958896651776052E+00 a       265     0    18     1    10
  1.3756791875428059E-01 a       266     0    18     1    11
  7.2531899512359577E-01 a       267     0    18     1    12
  3.5437191721529732E-01 a       268     0    18     1    13
 -1.1208477182087651E+00 a       269     0    18     1    14
  7.0045780736390750E-01 a       270     0    18     1    15
 -8.3475021339101418E-01 a       271     0    19     1     1
  1.3344598779548518E+00 a       272     0    19     1     2
 -4.9160158486055583E-01 a       273     0    19     1     3
 -2.2581528643823531E-01 a       274     0    19     1     4
 -2.3651500993960170E-01 a       275     0    19     1     5
 -4.8612911735194209E-01 a       276     0    19     1     6
 -7.1314218068389046E-01 a       277     0    19     1     7
 -3.8063453299729511E-01 a       278     0    19     1     8
 -3.8099034049343519E-02 a       279     0    19     1     9
  1.7248661969857089E+00 a       280     0    19     1    10
 -7.2131092549315312E-01 a       281     0    19     1    11
 -3.3305846100765790E-01 a       282     0    19     1    12
  5.7192914757644475E-01 a       283     0    19     1    13
  5.9072296724588483E-02 a       284     0    19     1    14
  4.8661933921507403E-02 a       285     0    19     1    15
  2.5559467544489040E-01 a       286     0    20     1     1
  1.1038630377094683E+00 a       287     0    20     1     2
  4.9296569966450852E+00 a       288     0    20     1     3
 -6.6589496194801687E-02 a       289     0    20     1     4
 -1.4641313632451782E+00 a       290     0    20     1     5
  3.5293598278202243E-01 a       291     0    20     1     6
  5.0778852150675235E-01 a       292     0    20     1     7
 -3.7816027096547999E-01 a       293     0    20     1     8
 -1.2196023033901815E+00 a       294     0    20     1     9
  1.4349506602261490E+00 a       295     0    20     1    10
  4.0539951219071106E+00 a       296     0    20     1    11
  3.4610202837464259E+00 a       297     0    20     1    12
  1.8602787165248011E-01 a       298     0    20     1    13
 -1.6661896250455950E+00 a       299     0    20     1    14
  1.5610120115521990E+00 a       300     0    20     1    15
  6.6461095627034372E-01 a       301     0    21     1     1
 -9.9387893953556050E-01 a       302     0    21     1     2
  3.5645601758209272E-01 a       303     0    21     1     3
  1.5691890509947299E+00 a       304     0    21     1     4
 -2.2044337769755154E-01 a       305     0    21     1     5
 -3.7774861854390913E+00 a       306     0    21     1     6
 -1.2936923372119451E+00 a       307     0    21     1     7
  2.4825373637207723E-01 a       308     0    21     1     8
 -9.6579245884176901E-01 a       309     0    21     1     9
 -1.6145683050092996E+00 a       310     0    21     1    10
  1.1872170076435373E+00 a       311     0    21     1    11
  4.9468439280282723E+00 a       312     0    21     1    12
 -7.4807344146413357E-01 a       313     0    21     1    13
  1.8737097081791094E+00 a       314     0    21     1    14
  1.4360369263648505E+00 a       315     0    21     1    15
 -2.9262629190273548E-01 a       316     0    22     1     1
 -2.0883195312449430E+00 a       317     0    22     1     2
 -2.8064443358979219E+00 a       318     0    22     1     3
 -3.0064092813119841E-01 a       319     0    22     1     4
  5.8692309536312148E-01 a       320     0    22     1     5
  2.4085837449317968E-01 a       321     0    22     1     6
 -1.5074669949803052E+00 a       322     0    22     1     7
 -1.3121203853402015E+00 a       323     0    22     1     8
  2.3898752409527941E+00 a       324     0    22     1     9
  1.1804866753364793E+00 a       325     0    22     1    10
  2.0418284942773277E-01 a       326     0    22     1    11
 -2.0250770472771751E+00 a       327     0    22     1    12
 -1.1644639069301694E+00 a       328     0    22     1    13
 -2.2887846749432330E+00 a       329     0    22     1    14
  1.8186499642086349E+00 a       330     0    22     1    15
 -1.1069186381081002E+00 a       331     0    23     1     1
 -9.6699726877325953E-01 a       332     0    23     1     2
  2.1486072750922172E+00 a       333     0    23     1     3
  1.4851115453386388E+00 a       334     0    23     1     4
 -8.0748430499088164E-01 a       335     0    23     1     5
 -1.4461950179045646E+00 a       336     0    23     1     6
 -3.6987464161031656E+00 a       337     0    23     1     7
  7.4162636565031903E-01 a       338     0    23     1     8
 -2.0297879642650762E-01 a       339     0    23     1     9
 -9.1851006049866690E-01 a       340     0    23     1    10
 -4.6930452812204448E+00 a       341     0    23     1    11
 -1.2902052079105197E+00 a       342     0    23     1    12
  1.3759754913786815E-01 a       343     0    23     1    13
 -3.3612472851490467E+00 a       344     0    23     1    14
  1.0401016952998057E+00 a       345     0    23     1    15
 -2.9185010670746339E+00 a       346     0    24     1     1
 -2.6926323086790488E-01 a       347     0    24     1     2
  3.1732080090295745E-01 a       348     0    24     1     3
  3.0700817172211714E-01 a       349     0    24     1     4
 -2.0683459936175144E+00 a       350     0    24     1     5
 -1.8660485713968955E+00 a       351     0    24     1     6
 -2.8411470284601874E+00 a       352     0    24     1     7
 -7.7282133708731193E-01 a       353     0    24     1     8
  7.3243123869992166E-01 a       354     0    24     1     9
  1.4826402371496470E+00 a       355     0    24     1    10
 -2.7303002043746485E+00 a       356     0    24     1    11
 -1.7657843840100427E+00 a       357     0    24     1    12
 -6.4771751511611381E-02 a       358     0    24     1    13
 -1.4269871302444530E+00 a       359     0    24     1    14
  6.5187632849181532E-01 a       360     0    24     1    15
 -4.9724574645833221E-02 a       361     0    25     1     1
  1.4062429012912974E+00 a       362     0    25     1     2
  3.0267226907855957E+00 a       363     0    25     1     3
 -1.1823316176331826E+00 a       364     0    25     1     4
 -2.5653908613005370E+00 a       365     0    25     1     5
 -1.6104902003785309E+00 a       366     0    25     1     6
  3.2447478085488056E-02 a       367     0    25     1     7
