################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   9.0599751834064512E-06   1.0532468503252377E-04   3.6847021293483606E-05   1.7835227890378858E-05
         1          2   9.7407364273681052E-01   1.3707738052511558E+00   1.1369440745957258E+00   7.8204475954228067E-02
         1          3   7.1848939224232239E-04   4.4674859070114722E-03   2.0895924503338856E-03   7.3120307120467013E-04
         1          4   3.0839567122259082E+00   3.7813435073058135E+00   3.4528586198914484E+00   1.4064243940314194E-01
         1          5   2.2189388498896456E-02   7.9061298236177566E-02   4.6882111087211208E-02   1.1334173255596679E-02
         1          6   3.8952165155842438E+00   4.3441311727516858E+00   4.1103871329683823E+00   1.0081266947910023E-01
         1          7   2.6712677530189782E-01   5.9473970044295299E-01   4.2213464431656117E-01   6.6280004153616373E-02
         1          8   1.7488245369534008E+00   2.9970797892758485E+00   2.4245345856012999E+00   3.3547211267555982E-01
         1          9   1.2449429394722318E+00   1.9865309035277523E+00   1.5467135618608816E+00   1.4014804188095897E-01
         1         10   1.1223156151012470E+00   2.5212331659045919E+00   1.7587293340594636E+00   3.2461918457849698E-01
         1         11   2.1481809886285510E+00   2.6220186753539645E+00   2.3310995299236956E+00   8.8131868940220931E-02
         1         12   1.7776050347753956E+00   2.3809724095942570E+00   2.0364639196570282E+00   1.3155538475628997E-01
         1         13   1.3332847701336610E+00   1.5746629195008022E+00   1.4563536842862850E+00   4.2017894226904072E-02
         1         14   1.2858206220015138E+00   2.0264861435690955E+00   1.6934105509660398E+00   1.7102915724852555E-01
         1         15   2.9294864910145735E-01   4.4946746329067233E-01   3.8841663360361012E-01   2.7956119240284072E-02
         1         16   5.7872135122682178E-01   9.8756180790304116E-01   8.3451027680267253E-01   1.0555635785949544E-01
         1         17   3.8741023011801198E-02   7.2203189636501464E-02   5.8498155834018059E-02   7.5296916290786700E-03
         1         18   2.0277259701907649E-01   3.0112576816621817E-01   2.5147215506855941E-01   2.3499268876717772E-02
         1         19   3.7801436874671336E-02   7.0536882716121713E-02   4.9634849414845854E-02   6.1773772857441848E-03
         1         20   5.0064324676730110E-01   7.4508315795400359E-01   6.0180452708486698E-01   5.1996620314567893E-02
         1         21   2.1149505846062664E+00   3.0086297694152004E+00   2.4747104151629071E+00   1.7292530958618688E-01
         1         22   1.1394588610202373E-01   2.1081557230804215E-01   1.4831150247830030E-01   1.8362267327821737E-02
         1         23   2.7720108269028820E+00   3.8299737046031495E+00   3.2180772088958483E+00   2.3336401126515627E-01
         1         24   3.6286754324115282E+00   5.7694079721003524E+00   4.5677164220944100E+00   4.0055418877074411E-01
         1         25   4.7719054215943416E-05   1.2246818750522671E-04   7.4309480650870812E-05   1.4049426561453186E-05
         1         26   4.4333857694921347E-03   1.0168132968853614E-02   6.4777145172573158E-03   1.0560078551356503E-03
         1         27   1.8935344189773007E-01   2.9276868067133349E-01   2.3061829866368203E-01   1.9869300862039235E-02
         1         28   2.7495263408916264E-02   5.1213942108460010E-02   3.6085221024876463E-02   4.5471765030753852E-03
         1         29   1.5310085616939009E+00   2.1188212216180502E+00   1.7827060035919868E+00   1.2407502507441381E-01
         1         30   9.1939368654489029E-01   1.5687613774310878E+00   1.2194589135682272E+00   1.1985456906857926E-01
         1         31   1.1384194008436653E-02   2.3126249430002573E-02   1.5575425703929386E-02   2.2146366574977774E-03
         1         32   2.0448065764191037E-01   3.1629369745824260E-01   2.5154663060838428E-01   2.3850462668791081E-02
         1         33   1.1626342355721448E+00   1.6596585560150436E+00   1.3609763259982417E+00   9.7025354891779811E-02
