################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.4892912926746951E+00 a         1     0     1     1     1
  1.3786206112635062E+01 a         2     0     1     1     2
  5.6935313569430752E+00 a         3     0     1     1     3
 -8.9265479837094954E+00 a         4     0     1     1     4
  3.9445105420916344E+00 a         5     0     1     1     5
 -6.0852827471830535E+00 a         6     0     1     1     6
 -5.0021844069602128E+00 a         7     0     1     1     7
 -1.3014792773009494E+00 a         8     0     1     1     8
 -3.2783764688039492E+00 a         9     0     1     1     9
 -2.9070028724163777E+00 a        10     0     1     1    10
 -6.2298040928764005E+00 a        11     0     1     1    11
 -4.0669141239251578E+00 a        12     0     1     1    12
 -1.0743453391806076E+01 a        13     0     1     1    13
 -6.3243960696439752E+00 a        14     0     1     1    14
 -4.8128745937781163E+00 a        15     0     1     1    15
  4.1935640172663682E+00 a        16     0     1     1    16
 -9.1937662981065351E+00 a        17     0     1     1    17
  4.1217718130973182E+00 a        18     0     1     1    18
  3.4695366930742546E+00 a        19     0     1     1    19
  3.9296052289662371E+00 a        20     0     1     1    20
 -5.2397703048574362E+00 a        21     0     1     1    21
  1.8239998764649912E+00 a        22     0     1     1    22
 -3.4201379933282072E+00 a        23     0     1     1    23
  4.3150620390257100E+00 a        24     0     1     1    24
 -1.6968527725388069E-01 a        25     0     1     1    25
 -3.2546655458682348E+00 a        26     0     1     1    26
 -7.0567352851674094E+00 a        27     0     1     1    27
 -2.4322180077260529E+00 a        28     0     1     1    28
 -3.0097777128248078E+00 a        29     0     1     1    29
  3.0092611618221414E+00 a        30     0     1     1    30
  5.4050226263714668E-02 a        31     0     2     1     1
 -3.9566521169796331E+00 a        32     0     2     1     2
 -2.5929974799720101E+00 a        33     0     2     1     3
 -8.2748055115294648E+00 a        34     0     2     1     4
 -1.5281057523532721E-01 a        35     0     2     1     5
 -9.4878826507577880E+00 a        36     0     2     1     6
 -8.3001657733812029E-01 a        37     0     2     1     7
 -2.7292698728039180E+00 a        38     0     2     1     8
  6.0948317967327599E+00 a        39     0     2     1     9
 -8.8447883302337651E+00 a        40     0     2     1    10
 -7.1673150173484128E+00 a        41     0     2     1    11
 -3.6694592471602645E+00 a        42     0     2     1    12
 -8.3647530422359928E+00 a        43     0     2     1    13
 -6.8528642150937360E+00 a        44     0     2     1    14
 -5.2730219181465880E+00 a        45     0     2     1    15
  2.0385488482607759E+01 a        46     0     2     1    16
 -1.9474079278160563E+00 a        47     0     2     1    17
  1.2470227393921414E+00 a        48     0     2     1    18
 -5.2915411198338349E+00 a        49     0     2     1    19
  2.8066354839834600E+00 a        50     0     2     1    20
