################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.7383304992527409E+00 a         1     0     1     1     1
 -1.2621905738510548E+00 a         2     0     1     1     2
 -3.3755889009176978E+00 a         3     0     1     1     3
 -5.9860937814953550E+00 a         4     0     1     1     4
 -4.3640807985117025E+00 a         5     0     1     1     5
 -2.4479937808931078E+00 a         6     0     1     1     6
  4.1920894805128917E-01 a         7     0     1     1     7
  9.6391601838587571E-01 a         8     0     1     1     8
  2.9854181934749375E+00 a         9     0     1     1     9
  1.0342802096221779E+00 a        10     0     1     1    10
  1.5333657099734965E+00 a        11     0     1     1    11
 -7.2097266357622503E-01 a        12     0     1     1    12
 -1.6660805257695439E+00 a        13     0     1     1    13
 -2.4552056422253328E+00 a        14     0     1     1    14
  1.7994760339369671E+00 a        15     0     1     1    15
  5.9783587475887146E-01 a        16     0     1     1    16
 -2.8574947541284695E-01 a        17     0     1     1    17
  5.7972823073903157E-01 a        18     0     1     1    18
  1.2620399224595726E+00 a        19     0     1     1    19
  1.3897110359343479E+00 a        20     0     1     1    20
 -5.0851854756441117E-01 a        21     0     1     1    21
 -4.3547849098627820E+00 a        22     0     1     1    22
 -1.8668384881409912E+00 a        23     0     1     1    23
  9.9767109922395347E-02 a        24     0     1     1    24
 -5.1685445048373762E+00 a        25     0     1     1    25
 -4.0057065605423183E+00 a        26     0     2     1     1
  1.0520717198969416E+01 a        27     0     2     1     2
  1.1844023063168900E+00 a        28     0     2     1     3
  4.8266400620021095E+00 a        29     0     2     1     4
  1.0976327036895519E+01 a        30     0     2     1     5
 -3.9537279878730291E-01 a        31     0     2     1     6
 -5.0922779107523590E+00 a        32     0     2     1     7
 -2.9647166156941922E+00 a        33     0     2     1     8
 -3.1326402726014124E+00 a        34     0     2     1     9
  9.3811502902760715E+00 a        35     0     2     1    10
  5.9560300850156955E-02 a        36     0     2     1    11
  9.1790945522035490E-03 a        37     0     2     1    12
  2.0733373983892234E+00 a        38     0     2     1    13
  9.1113824230948524E+00 a        39     0     2     1    14
 -5.5145221687287549E+00 a        40     0     2     1    15
  8.1082651612312695E+00 a        41     0     2     1    16
  6.7345022665751024E+00 a        42     0     2     1    17
 -1.3523462536343229E+00 a        43     0     2     1    18
 -2.0326025570753696E+00 a        44     0     2     1    19
 -1.5849574486832081E+00 a        45     0     2     1    20
  2.2428993802275443E-01 a        46     0     2     1    21
  2.3483524170660739E+00 a        47     0     2     1    22
 -4.7436590029319570E+00 a        48     0     2     1    23
  1.2858004874248607E+00 a        49     0     2     1    24
  3.1661362692164280E-01 a        50     0     2     1    25
 -2.1541321502446769E+00 a        51     0     3     1     1
