################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.1697495595969407E+00 a         1     0     1     1     1
 -3.6698733385174749E+00 a         2     0     1     1     2
 -2.7618742921732444E+01 a         3     0     1     1     3
  5.6385655464465438E+00 a         4     0     1     1     4
  6.6552362998554928E+00 a         5     0     1     1     5
 -8.6811718844364414E+00 a         6     0     1     1     6
  4.9217156963090432E+00 a         7     0     1     1     7
 -7.9801135158011549E-01 a         8     0     1     1     8
 -1.9125102590905214E+00 a         9     0     1     1     9
  8.6811209997195409E+00 a        10     0     1     1    10
  1.5324812732052255E+00 a        11     0     1     1    11
 -3.0465651002167654E-01 a        12     0     1     1    12
 -6.8972611589896204E-01 a        13     0     1     1    13
  1.3389756685960588E+01 a        14     0     1     1    14
  2.9931379991461449E-01 a        15     0     1     1    15
  5.9523411091219369E+00 a        16     0     1     1    16
 -4.1349645544673272E+00 a        17     0     1     1    17
 -6.7028651496791172E+00 a        18     0     1     1    18
 -9.7792323168697379E+00 a        19     0     1     1    19
 -2.5735909159575980E+00 a        20     0     1     1    20
 -5.1681860291918849E+00 a        21     0     1     1    21
 -5.0623431085542885E+00 a        22     0     1     1    22
  7.9782617850621680E+00 a        23     0     1     1    23
 -8.6866709540450646E+00 a        24     0     1     1    24
 -9.9535031749897058E+00 a        25     0     1     1    25
 -1.9455386834957047E+00 a        26     0     2     1     1
 -2.5918942174754189E+00 a        27     0     2     1     2
  1.1822517686651599E+01 a        28     0     2     1     3
  1.8709205874842080E+01 a        29     0     2     1     4
  1.2236033610648279E+01 a        30     0     2     1     5
