################################################################################
# Energy contributions calculated from NNP.
################################################################################
# Col  Name      Description
################################################################################
# 1    index     Atom index.
# 2    e         Element of atom.
# 3    charge    Atomic charge (not used).
# 4    Ennp_atom Atomic energy contribution (physical units, no mean or offset energy added).
################################################################################
#        1  2                3                4
#    index  e           charge        Ennp_atom
###############################################
         0  O   0.00000000E+00   1.50471509E-02
         1  H   0.00000000E+00  -5.17782251E-03
         2  H   0.00000000E+00  -5.37306961E-03
         3  O   0.00000000E+00   1.18646850E-02
         4  H   0.00000000E+00  -9.02703820E-03
         5  H   0.00000000E+00  -9.26819320E-03
         6  O   0.00000000E+00   3.52556039E-03
         7  H   0.00000000E+00  -5.24560125E-03
         8  H   0.00000000E+00  -2.91197824E-03
         9  O   0.00000000E+00  -8.37043427E-03
        10  H   0.00000000E+00   1.91877983E-03
        11  H   0.00000000E+00  -7.71241442E-03
        12  O   0.00000000E+00   1.46716398E-02
        13  H   0.00000000E+00  -9.08290324E-03
        14  H   0.00000000E+00  -1.04491522E-02
        15  O   0.00000000E+00   2.22678746E-02
        16  H   0.00000000E+00  -8.57154746E-03
        17  H   0.00000000E+00  -6.65274797E-03
        18  O   0.00000000E+00   1.93061803E-02
        19  H   0.00000000E+00  -5.55916060E-03
        20  H   0.00000000E+00  -8.34916720E-03
        21  O   0.00000000E+00   1.15023765E-03
        22  H   0.00000000E+00  -1.22158771E-02
        23  H   0.00000000E+00  -8.68404873E-03
        24  O   0.00000000E+00   2.16373977E-02
        25  H   0.00000000E+00  -1.30944791E-02
        26  H   0.00000000E+00  -8.27768306E-03
        27  O   0.00000000E+00  -1.33442345E-03
        28  H   0.00000000E+00  -2.91358551E-03
        29  H   0.00000000E+00  -2.76300265E-03
        30  O   0.00000000E+00   8.46273704E-03
        31  H   0.00000000E+00  -1.04085509E-02
        32  H   0.00000000E+00  -1.07436599E-02
        33  O   0.00000000E+00   9.84645396E-03
        34  H   0.00000000E+00  -8.18541146E-03
        35  H   0.00000000E+00  -2.22335990E-03
        36  O   0.00000000E+00   2.57558794E-02
        37  H   0.00000000E+00  -1.21430342E-02
        38  H   0.00000000E+00  -8.07670981E-03
        39  O   0.00000000E+00   8.17388516E-03
        40  H   0.00000000E+00  -3.66687431E-03
        41  H   0.00000000E+00  -9.86761456E-03
        42  O   0.00000000E+00   1.25296515E-02
        43  H   0.00000000E+00  -3.91009503E-03
        44  H   0.00000000E+00  -8.29966491E-03
        45  O   0.00000000E+00   2.32285841E-03
        46  H   0.00000000E+00  -7.11188194E-03
        47  H   0.00000000E+00  -4.19306516E-03
        48  O   0.00000000E+00   1.01673110E-03
        49  H   0.00000000E+00  -4.77455855E-03
        50  H   0.00000000E+00  -1.00982715E-02
        51  O   0.00000000E+00   1.17042818E-02
        52  H   0.00000000E+00  -9.24963238E-03
        53  H   0.00000000E+00  -6.93202849E-03
        54  O   0.00000000E+00   5.47714860E-03
