################################################################################
# Atomic force comparison (ordered by atom index).
################################################################################
# Col  Name   Description
################################################################################
# 1    fx     Force in x direction.
# 2    fy     Force in y direction.
# 3    fz     Force in z direction.
# 4    fxRef  Reference force in x direction.
# 5    fyRef  Reference force in y direction.
# 6    fzRef  Reference force in z direction.
# 7    fxDiff Difference between reference and NNP force in x dir.
# 8    fyDiff Difference between reference and NNP force in y dir.
# 9    fzDiff Difference between reference and NNP force in z dir.
########################################################################################################################################################
#              1                2                3                4                5                6                7                8                9
#             fx               fy               fz            fxRef            fyRef            fzRef           fxDiff           fyDiff           fzDiff
########################################################################################################################################################
 -2.89660301E-02   2.72095998E-03   3.97370214E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   2.89660301E-02  -2.72095998E-03  -3.97370214E-03
  7.98774238E-03   3.32976047E-03  -1.01638330E-02   0.00000000E+00   0.00000000E+00   0.00000000E+00  -7.98774238E-03  -3.32976047E-03   1.01638330E-02
  1.18069028E-02  -9.49625097E-03   6.63343658E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00  -1.18069028E-02   9.49625097E-03  -6.63343658E-03
  1.58114603E-03   1.50108414E-03  -1.91253456E-02   0.00000000E+00   0.00000000E+00   0.00000000E+00  -1.58114603E-03  -1.50108414E-03   1.91253456E-02
 -5.59046661E-03   8.94407619E-03  -2.23070103E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   5.59046661E-03  -8.94407619E-03   2.23070103E-03
  3.01737375E-04  -1.01259575E-02   1.38573559E-02   0.00000000E+00   0.00000000E+00   0.00000000E+00  -3.01737375E-04   1.01259575E-02  -1.38573559E-02
 -7.80967126E-04  -1.67088140E-03  -4.69678066E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   7.80967126E-04   1.67088140E-03   4.69678066E-03
  2.24274610E-03  -5.08242407E-03   2.83147010E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00  -2.24274610E-03   5.08242407E-03  -2.83147010E-03
  1.43702093E-03   6.00233905E-03   6.12526798E-04   0.00000000E+00   0.00000000E+00   0.00000000E+00  -1.43702093E-03  -6.00233905E-03  -6.12526798E-04
 -2.34704279E-03  -3.63775225E-02  -2.51160718E-02   0.00000000E+00   0.00000000E+00   0.00000000E+00   2.34704279E-03   3.63775225E-02   2.51160718E-02
 -5.40416012E-03   2.60317761E-02   1.36993832E-02   0.00000000E+00   0.00000000E+00   0.00000000E+00   5.40416012E-03  -2.60317761E-02  -1.36993832E-02
  2.23180592E-02   1.15764132E-02   1.18816498E-02   0.00000000E+00   0.00000000E+00   0.00000000E+00  -2.23180592E-02  -1.15764132E-02  -1.18816498E-02
 -3.72110476E-03  -3.05350380E-02  -6.94183042E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   3.72110476E-03   3.05350380E-02   6.94183042E-03
 -1.39535531E-03   3.00144161E-02   2.74800415E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   1.39535531E-03  -3.00144161E-02  -2.74800415E-03
 -1.04113988E-03   2.78821511E-04   4.41910314E-03   0.00000000E+00   0.00000000E+00   0.00000000E+00   1.04113988E-03  -2.78821511E-04  -4.41910314E-03
 -3.36659879E-03  -6.85772887E-03  -2.88767842E-02   0.00000000E+00   0.00000000E+00   0.00000000E+00   3.36659879E-03   6.85772887E-03   2.88767842E-02
 -3.99916640E-03   2.40985859E-03   1.99008676E-02   0.00000000E+00   0.00000000E+00   0.00000000E+00   3.99916640E-03  -2.40985859E-03  -1.99008676E-02
