################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.6120136373547203E+00 a         1     0     1     1     1
 -7.4405479095534073E+00 a         2     0     1     1     2
  8.0263113562552189E+00 a         3     0     1     1     3
 -4.9199045768948713E+00 a         4     0     1     1     4
  8.2989380372564658E-03 a         5     0     1     1     5
  1.9398132811671321E+01 a         6     0     1     1     6
  7.4804403151191323E+00 a         7     0     1     1     7
  7.2396414080562286E+00 a         8     0     1     1     8
  5.5710443221576886E+00 a         9     0     1     1     9
  5.3951900119305396E+00 a        10     0     1     1    10
  7.6450027249305235E+00 a        11     0     1     1    11
  1.4415671832096564E+01 a        12     0     1     1    12
  1.2586577179586614E+01 a        13     0     1     1    13
 -5.9196501347887995E+00 a        14     0     1     1    14
 -4.6794864525304734E+00 a        15     0     1     1    15
 -1.7936018728061991E+00 a        16     0     1     1    16
  1.1091637341141700E+01 a        17     0     1     1    17
  2.0807936405381575E+01 a        18     0     1     1    18
  1.9687641189344184E+01 a        19     0     1     1    19
  9.0986984217941753E+00 a        20     0     1     1    20
 -2.6645075968556934E+01 a        21     0     1     1    21
 -4.3904673695278484E+00 a        22     0     1     1    22
  1.5096235697589646E+00 a        23     0     1     1    23
 -4.6406756803394869E+00 a        24     0     1     1    24
  7.0561463432914158E+00 a        25     0     1     1    25
 -5.6409406825510935E+00 a        26     0     2     1     1
  1.9081850519961986E+01 a        27     0     2     1     2
 -1.3100489796082874E+01 a        28     0     2     1     3
  2.9293967772263483E+00 a        29     0     2     1     4
 -5.6709044112928240E+00 a        30     0     2     1     5
 -2.5901259948541224E+01 a        31     0     2     1     6
  5.2516699127062374E+00 a        32     0     2     1     7
 -3.8013905187902712E+00 a        33     0     2     1     8
  1.6350505732290202E+01 a        34     0     2     1     9
 -2.5737338756973149E-01 a        35     0     2     1    10
  1.2965734180644038E+01 a        36     0     2     1    11
 -1.6877967343688354E+01 a        37     0     2     1    12
  9.7521442530841256E+00 a        38     0     2     1    13
 -2.4799502256383956E+00 a        39     0     2     1    14
  2.1162920247446987E+01 a        40     0     2     1    15
  7.3366676328992790E+00 a        41     0     2     1    16
 -1.6793169672087188E+01 a        42     0     2     1    17
 -6.3561144727764480E+00 a        43     0     2     1    18
 -9.3769269730506029E+00 a        44     0     2     1    19
 -3.2950739413347043E+00 a        45     0     2     1    20
  1.3279676340677429E-01 a        46     0     2     1    21
  7.7876534888088775E+00 a        47     0     2     1    22
 -3.9898733398299173E+00 a        48     0     2     1    23
 -1.1506722597896777E+01 a        49     0     2     1    24
  3.5977133189567239E+00 a        50     0     2     1    25
  9.1608019935434246E+00 a        51     0     3     1     1
 -1.8489265810043793E+01 a        52     0     3     1     2
 -6.8738503732784331E+00 a        53     0     3     1     3
  4.2505184792361792E+00 a        54     0     3     1     4
  3.0721556614813297E+00 a        55     0     3     1     5
 -1.5424705942641786E+01 a        56     0     3     1     6
 -2.4128114851993988E+01 a        57     0     3     1     7
 -5.9511091552767059E+00 a        58     0     3     1     8
 -1.7990488842640019E+01 a        59     0     3     1     9
 -9.8847359951258831E+00 a        60     0     3     1    10
 -1.3964820870763672E+01 a        61     0     3     1    11
 -8.5251753909027936E+00 a        62     0     3     1    12
 -2.2399049063325826E+01 a        63     0     3     1    13
  1.4605730001435656E+01 a        64     0     3     1    14
 -2.5991761863278029E+00 a        65     0     3     1    15
  1.4514636358480212E+01 a        66     0     3     1    16
 -9.6810556676570130E+00 a        67     0     3     1    17
 -7.9186176005608448E+00 a        68     0     3     1    18
 -1.0791534551045823E+01 a        69     0     3     1    19
 -7.8744730355015813E+00 a        70     0     3     1    20
  2.9418869606372610E+01 a        71     0     3     1    21
 -5.3283440491818246E-01 a        72     0     3     1    22
  9.1259489977334898E+00 a        73     0     3     1    23
  1.0742254629904469E+01 a        74     0     3     1    24
 -1.3674213611888106E+01 a        75     0     3     1    25
  9.6277207996294205E+00 a        76     0     4     1     1
  2.3415055949373005E+00 a        77     0     4     1     2
  1.3582265761540985E+01 a        78     0     4     1     3
 -5.1483104406798574E+00 a        79     0     4     1     4
  1.6538018943189459E+00 a        80     0     4     1     5
  3.7684206674155540E+01 a        81     0     4     1     6
  2.7895737401841076E+00 a        82     0     4     1     7
  6.7149082397342141E+00 a        83     0     4     1     8
 -2.8877139807698878E+01 a        84     0     4     1     9
  4.9459147223951211E-01 a        85     0     4     1    10
 -2.3711330815119886E+01 a        86     0     4     1    11
  1.8811122634741796E+01 a        87     0     4     1    12
 -2.5145105607743627E+01 a        88     0     4     1    13
  2.1278905767819318E+00 a        89     0     4     1    14
 -4.2895124165827873E+01 a        90     0     4     1    15
 -1.7144047803311153E+01 a        91     0     4     1    16
  1.6319747425928565E+01 a        92     0     4     1    17
  9.0659648726686708E+00 a        93     0     4     1    18
 -1.2551599040266661E+01 a        94     0     4     1    19
  3.3228616502496693E+00 a        95     0     4     1    20
  9.8981999001344967E+00 a        96     0     4     1    21
 -9.8500740259891284E+00 a        97     0     4     1    22
  7.7382351648716829E-01 a        98     0     4     1    23
