################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.0882016636170768E+00   9.6166419119419100E+00   2.2691752247542198E+00   6.7883526611658851E-01
         1          2   7.3274438904180605E-01   5.0028559321574226E+00   1.3272332317543585E+00   3.3936750181780473E-01
         1          3   7.6010783783215707E-01   7.1427942966219833E+00   1.6470726712825299E+00   5.0771115927384247E-01
         1          4   5.4842285884800812E-01   3.7661771168267748E+00   1.0163698211361722E+00   2.5362958053787693E-01
         1          5   4.0080665126604670E-01   4.1469832401668647E+00   9.0925040981537886E-01   2.9758019277508418E-01
         1          6   3.6209352253798222E-01   2.2678239402766063E+00   6.4931154122889645E-01   1.4835420345383105E-01
         1          7   1.8919103878435906E-01   2.2292652677252813E+00   4.5693857051003844E-01   1.5976079618578098E-01
         1          8   2.6704178695764291E-01   1.3208742362468950E+00   4.2395636902644862E-01   8.0492394978464013E-02
         1          9   2.4513099752055154E-01   9.4751160662053036E-01   3.6244199023263701E-01   5.2993540556106881E-02
         1         10   2.2248910067848979E-01   2.7596216013647377E+00   5.3891576898130733E-01   2.0137334230483903E-01
         1         11   1.4743601726548086E-01   5.5599270746969276E-01   2.6773972195910822E-01   2.6188094566404644E-02
         1         12   9.9110926426029297E-02   1.7265405335201476E+00   2.9553976311554875E-01   1.1619768775752870E-01
         1         13   6.5093699123904183E-02   3.4521757733971209E-01   1.8521249136783141E-01   1.9741155185936082E-02
         1         14   3.1653527247864993E-02   9.1293170125596168E-01   1.5025164684953513E-01   5.3480187368038543E-02
         1         15   2.9202821602466629E-03   2.6453981776124164E-01   7.6525296616004670E-02   1.8780956137549890E-02
         1         16   3.2145385719803426E-04   2.8696425565429251E-01   4.5792284631233637E-02   2.3263495133569036E-02
         1         17   2.4693757528509687E-04   1.3848731138266307E-01   1.7693289653297618E-02   9.7460303038080891E-03
