################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.3579533059871329E+00 a         1     0     1     1     1
 -1.0270142525820705E+00 a         2     0     1     1     2
  7.6059182570761896E-01 a         3     0     1     1     3
  2.2236470657725857E-01 a         4     0     1     1     4
 -3.8566398157431792E-02 a         5     0     1     1     5
  2.9862291948442882E-01 a         6     0     1     1     6
  3.1318545547641169E-01 a         7     0     1     1     7
 -1.5988297714557185E+00 a         8     0     1     1     8
  1.2724570711276795E-01 a         9     0     1     1     9
  2.6381738234998131E-01 a        10     0     1     1    10
 -2.6763137941599534E-02 a        11     0     1     1    11
 -1.0234955022594629E-01 a        12     0     1     1    12
 -3.7565966844004972E-01 a        13     0     1     1    13
  1.3778496063099630E+00 a        14     0     1     1    14
 -7.9164887427893016E-01 a        15     0     1     1    15
  1.0380076236714839E+00 a        16     0     1     1    16
  1.4905037331079694E+00 a        17     0     1     1    17
  8.0314864288343546E-01 a        18     0     1     1    18
  8.0579523528468722E-01 a        19     0     1     1    19
 -1.2151222957934904E+00 a        20     0     1     1    20
 -7.3546966764841537E-01 a        21     0     1     1    21
 -1.2491799699253334E+00 a        22     0     1     1    22
  1.8013916923568937E-01 a        23     0     1     1    23
 -7.1908594492107791E-02 a        24     0     1     1    24
 -2.4144386249506156E-01 a        25     0     1     1    25
  1.9580363382997734E+00 a        26     0     2     1     1
 -1.7054276333917524E+00 a        27     0     2     1     2
 -6.2947609519212011E-01 a        28     0     2     1     3
  2.5657381959095421E-01 a        29     0     2     1     4
  3.5478089717920808E-01 a        30     0     2     1     5
 -1.1532661899873311E+00 a        31     0     2     1     6
 -4.8321860879869222E-01 a        32     0     2     1     7
  1.3346786647673037E+00 a        33     0     2     1     8
  2.3902986109278632E-01 a        34     0     2     1     9
  6.0734785190989092E-02 a        35     0     2     1    10
  7.9212947574471193E-01 a        36     0     2     1    11
 -1.5039838199368552E-01 a        37     0     2     1    12
  7.0897572159410574E-02 a        38     0     2     1    13
 -1.3746834517347228E+00 a        39     0     2     1    14
  4.0995913074676182E-01 a        40     0     2     1    15
 -7.9209759488593479E-01 a        41     0     2     1    16
 -3.4334827872267626E-01 a        42     0     2     1    17
 -6.8117205329419173E-01 a        43     0     2     1    18
 -1.6184267295701815E+00 a        44     0     2     1    19
 -1.9878901960054121E-01 a        45     0     2     1    20
  1.2702693383560040E-01 a        46     0     2     1    21
 -2.4744823207720310E-01 a        47     0     2     1    22
  2.3915158603540110E-01 a        48     0     2     1    23
