################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.8539920696065272E-03 a         1     0     1     1     1
  1.4179202637119184E-01 a         2     0     1     1     2
 -8.4701795101902719E-02 a         3     0     1     1     3
  4.2786441591945618E-01 a         4     0     1     1     4
  2.9875491363892337E-01 a         5     0     1     1     5
 -4.3040317475651450E-02 a         6     0     1     1     6
 -9.3585085791213107E-02 a         7     0     1     1     7
  1.0443745127814134E-01 a         8     0     1     1     8
  3.1120740732567770E-01 a         9     0     1     1     9
  3.4447534280048148E-01 a        10     0     1     1    10
  2.5230860481679046E-01 a        11     0     1     1    11
 -3.0050874116651893E-01 a        12     0     1     1    12
  3.4354423264210993E-01 a        13     0     1     1    13
  2.8887290273884036E-01 a        14     0     1     1    14
 -2.6331513711801402E-01 a        15     0     1     1    15
 -2.5298145746485301E-01 a        16     0     1     1    16
 -9.8020561573758005E-02 a        17     0     1     1    17
  3.8941624788720375E-01 a        18     0     1     1    18
 -2.1172211598632174E-01 a        19     0     1     1    19
 -1.6583082623500564E-01 a        20     0     1     1    20
 -2.1773053646246107E-01 a        21     0     1     1    21
  2.8814918779133853E-02 a        22     0     1     1    22
 -8.6708237008355116E-02 a        23     0     1     1    23
 -3.8539466668201672E-01 a        24     0     1     1    24
 -2.4835874791249604E-01 a        25     0     1     1    25
  2.6352326780434476E-01 a        26     0     2     1     1
 -2.1331197434023635E-01 a        27     0     2     1     2
 -2.6464885511616004E-01 a        28     0     2     1     3
  4.5575388719498733E-01 a        29     0     2     1     4
  3.1881715267007904E-01 a        30     0     2     1     5
 -2.3253177359157898E-01 a        31     0     2     1     6
  1.4753879123451752E-01 a        32     0     2     1     7
  3.5802040734673507E-01 a        33     0     2     1     8
 -9.4959421005989794E-02 a        34     0     2     1     9
 -2.5386966735921795E-01 a        35     0     2     1    10
 -2.9911926539147349E-01 a        36     0     2     1    11
  4.0062446869435758E-01 a        37     0     2     1    12
  2.3329962665324777E-01 a        38     0     2     1    13
 -9.1218384895913773E-02 a        39     0     2     1    14
 -1.2392802596055631E-01 a        40     0     2     1    15
 -3.8708320139018321E-01 a        41     0     2     1    16
 -2.8189815904678545E-01 a        42     0     2     1    17
  4.3868793908807835E-01 a        43     0     2     1    18
  3.4133367778285645E-01 a        44     0     2     1    19
  1.8470149482930123E-01 a        45     0     2     1    20
 -2.1875811222426636E-01 a        46     0     2     1    21
  1.2225326828409362E-01 a        47     0     2     1    22
 -2.6366345702559496E-01 a        48     0     2     1    23
 -4.2404523369582509E-01 a        49     0     2     1    24
