################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.2954992273782937E+01 a         1     0     1     1     1
 -5.2236189524627905E+00 a         2     0     1     1     2
  1.1677968684356064E+00 a         3     0     1     1     3
 -1.0916033055763569E+01 a         4     0     1     1     4
  1.1428726163996391E+01 a         5     0     1     1     5
 -1.0454937716837598E+00 a         6     0     1     1     6
  1.4858335121969658E+01 a         7     0     1     1     7
  8.1986616368276213E+00 a         8     0     1     1     8
 -1.8068068686741828E+01 a         9     0     1     1     9
  1.2032297275996338E+00 a        10     0     1     1    10
 -3.8971761814798320E+00 a        11     0     1     1    11
 -6.3696422187422042E-01 a        12     0     1     1    12
 -2.7573254709452888E-01 a        13     0     1     1    13
 -3.9039261619991890E+00 a        14     0     1     1    14
 -3.2852487856344244E+00 a        15     0     1     1    15
 -1.3607727478080609E+00 a        16     0     1     1    16
  7.3333369226592735E+00 a        17     0     1     1    17
  8.6803623296954342E+00 a        18     0     1     1    18
 -9.1486301924914173E+00 a        19     0     1     1    19
  3.6308554811256259E+00 a        20     0     1     1    20
  8.2883395903638295E+00 a        21     0     1     1    21
  1.7628840129316497E+01 a        22     0     1     1    22
 -2.8864621566080895E-01 a        23     0     1     1    23
 -1.9973997223901494E+00 a        24     0     1     1    24
  7.4458145121417045E+00 a        25     0     1     1    25
 -1.1721277135657067E+01 a        26     0     2     1     1
 -5.9449765603906597E+00 a        27     0     2     1     2
  1.0455013175977623E+01 a        28     0     2     1     3
  5.6555947366287507E+00 a        29     0     2     1     4
 -9.3222513853921480E+00 a        30     0     2     1     5
  6.2451172267755757E+00 a        31     0     2     1     6
 -2.0035281637856560E+01 a        32     0     2     1     7
 -4.0610989723632285E+00 a        33     0     2     1     8
  3.4499418508931941E+00 a        34     0     2     1     9
 -2.4256505244372693E+01 a        35     0     2     1    10
  2.5981842841135791E+01 a        36     0     2     1    11
 -6.3844140829434153E+00 a        37     0     2     1    12
  6.7186059234968116E+00 a        38     0     2     1    13
 -2.4646747961330910E+00 a        39     0     2     1    14
  5.6747461009748248E+00 a        40     0     2     1    15
  3.5973210966161639E+00 a        41     0     2     1    16
  1.4069476610572709E+01 a        42     0     2     1    17
 -2.0001567024784091E+01 a        43     0     2     1    18
  1.2202958864837422E+01 a        44     0     2     1    19
  4.3636458712715838E+00 a        45     0     2     1    20
  6.1093328046668178E+00 a        46     0     2     1    21
  7.3680321775092752E+00 a        47     0     2     1    22
 -5.6000254466273991E-01 a        48     0     2     1    23
  4.7304970246006839E+00 a        49     0     2     1    24
 -1.8414876765959910E+01 a        50     0     2     1    25
 -1.0245074404866378E+01 a        51     0     3     1     1
  1.2315081960648252E+01 a        52     0     3     1     2
  1.9550590739907409E-01 a        53     0     3     1     3
