################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1  -6.7875929931854343E-16   7.9605096442185153E-01   3.2483502480465935E-02   4.8086687970131381E-02
         1          2   3.3240152480088880E-02   4.8174026127549929E+00   6.8369766630070894E-01   2.7266787945848042E-01
         1          3   4.8267749172006597E-01   8.5355326467099495E+00   1.4098796853719366E+00   6.5333624470041596E-01
         1          4   9.8282218900252838E-01   1.4960426155518396E+01   3.1684403627379076E+00   1.1652412061141961E+00
         1          5   7.2094431809719006E-01   1.0061172366127400E+01   2.0816372395506524E+00   7.5842427710305726E-01
         1          6   1.9323979862056357E+00   2.2074389397281649E+01   4.9866572737243411E+00   1.6160881780712570E+00
         1          7   3.7125760118238498E+00   3.5237538234960226E+01   8.3494504775536136E+00   2.5148731554350774E+00
         1          8   6.0482081299735304E+00   4.9424399973318693E+01   1.2004861964900389E+01   3.4694433155831041E+00
         1          9   0.0000000000000000E+00   8.8071896681798789E-01   3.5207579094972286E-01   8.0759978191338705E-02
         1         10   2.6838024058271687E-01   1.3795592670379331E+00   7.2210472299373496E-01   5.9319513727699794E-02
         1         11   6.3271922670632419E-01   1.9490263089128816E+00   9.7354040923834906E-01   1.1251090161833123E-01
         1         12   9.9111475073490551E-01   7.0866442428598049E+00   1.8713666199665255E+00   4.9420878814427893E-01
         1         13   8.7279958649499012E-01   5.5683617857135213E+00   1.5693747507797382E+00   3.7523602951927382E-01
         1         14   1.3348924656799623E+00   1.1545044334303295E+01   2.9849228354884052E+00   8.1214912601247902E-01
         1         15   2.3416489603169768E+00   1.8128042323356446E+01   4.6729052937771440E+00   1.2610558256580706E+00
         1         16   3.5990475707839162E+00   2.5207921942769381E+01   6.5022960668764069E+00   1.7362357970741524E+00
         1         17  -3.3314912655189124E-18   8.8230638993502114E-03   4.1385308142608586E-06   7.1472309122003883E-05
         1         18   2.1251708032406811E-02   7.9680731892060863E-01   1.6408260030031069E-01   4.1550481213227089E-02
         1         19   7.9331864108304190E-04   1.3015044484262769E-01   1.2110509593175018E-02   6.2596212548786554E-03
         1         20   1.4419766999109182E-01   2.9959477755945616E+00   3.8870582473906468E-01   1.6219258561182223E-01
         1         21   3.2003713564384526E-03   7.2047158309390869E-01   3.3283544665426920E-02   3.6549286634831771E-02
         1         22   3.6846900453598397E-01   9.5253780218201296E+00   9.4941529138900316E-01   5.9926665203550733E-01
         1         23   2.3690391651450078E-07   1.3470163336421619E+00   4.4346691267074079E-02   8.3310099665922024E-02
