################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.4985143612719372E+00 a         1     0     1     1     1
  6.6296814993624658E+00 a         2     0     1     1     2
 -3.5449241114217993E+00 a         3     0     1     1     3
 -9.3652827437929653E-01 a         4     0     1     1     4
  2.8507584813498390E+00 a         5     0     1     1     5
 -1.1004643487543703E+01 a         6     0     1     1     6
 -2.9379097923976469E+00 a         7     0     1     1     7
  1.2083511465929710E+01 a         8     0     1     1     8
 -1.5000855871629911E+01 a         9     0     1     1     9
 -1.4739777039550013E+00 a        10     0     1     1    10
 -4.0672254634759097E+00 a        11     0     1     1    11
 -6.7416317696303962E-01 a        12     0     1     1    12
 -1.4792418228938132E+01 a        13     0     1     1    13
 -1.3909318318956847E+00 a        14     0     1     1    14
 -4.6097978338056773E+00 a        15     0     1     1    15
  6.1121270644399432E+00 a        16     0     1     1    16
 -7.4295161191466157E+00 a        17     0     1     1    17
 -2.9615450021574024E+00 a        18     0     1     1    18
  2.5832673959317543E+00 a        19     0     1     1    19
  1.0837620619149920E+01 a        20     0     1     1    20
  3.2291534742958086E+00 a        21     0     1     1    21
 -2.0983214813908710E+00 a        22     0     1     1    22
 -4.9176233014635953E+00 a        23     0     1     1    23
 -1.6310503321931900E+00 a        24     0     1     1    24
 -5.8129666465319323E+00 a        25     0     1     1    25
 -9.4262063976672437E+00 a        26     0     2     1     1
 -8.4320706708824389E+00 a        27     0     2     1     2
  6.1641494571711730E-01 a        28     0     2     1     3
 -1.4842440592246153E-01 a        29     0     2     1     4
 -7.3756579792405068E+00 a        30     0     2     1     5
  4.6291917478406646E+00 a        31     0     2     1     6
 -3.8130615096495855E+00 a        32     0     2     1     7
 -1.0617990230791497E+01 a        33     0     2     1     8
  1.3002328222190027E+01 a        34     0     2     1     9
 -3.1570685974905910E+00 a        35     0     2     1    10
  2.9247507012436702E+00 a        36     0     2     1    11
  5.6931325642826263E+00 a        37     0     2     1    12
  1.3355953914715986E+01 a        38     0     2     1    13
  1.9691741707260424E+00 a        39     0     2     1    14
  4.8161178193035603E+00 a        40     0     2     1    15
  2.8499949990237883E+00 a        41     0     2     1    16
  9.6476401086924319E+00 a        42     0     2     1    17
  7.4224478459090202E+00 a        43     0     2     1    18
 -6.7812867391575438E+00 a        44     0     2     1    19
 -9.9099903370192894E+00 a        45     0     2     1    20
  4.4820323132481805E+00 a        46     0     2     1    21
