################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   6.0482081299735286E+00   4.9424399973318700E+01   1.2004861964900426E+01   3.4694433155829425E+00
         1          2   3.5990475707839158E+00   2.5207921942769381E+01   6.5022960668764060E+00   1.7362357970741045E+00
         1          3   3.7125760118238498E+00   3.5237538234960248E+01   8.3494504775535798E+00   2.5148731554352359E+00
         1          4   2.3416489603169759E+00   1.8128042323356443E+01   4.6729052937771502E+00   1.2610558256581534E+00
         1          5   1.9323979862056351E+00   2.2074389397281646E+01   4.9866572737243136E+00   1.6160881780713188E+00
         1          6   1.3348924656799621E+00   1.1545044334303293E+01   2.9849228354884207E+00   8.1214912601244760E-01
         1          7   7.2094431809718973E-01   1.0061172366127400E+01   2.0816372395506488E+00   7.5842427710304283E-01
         1          8   8.7279958649499023E-01   5.5683617857135221E+00   1.5693747507797413E+00   3.7523602951925605E-01
         1          9   9.9111475073490540E-01   7.0866442428598067E+00   1.8713666199665173E+00   4.9420878814429753E-01
         1         10   9.8282218900252827E-01   1.4960426155518395E+01   3.1684403627379134E+00   1.1652412061141553E+00
         1         11   6.3271922670632419E-01   1.9490263089128819E+00   9.7354040923834928E-01   1.1251090161831805E-01
         1         12   4.8267749172006602E-01   8.5355326467099495E+00   1.4098796853719480E+00   6.5333624470038920E-01
         1         13   2.6838024058271692E-01   1.3795592670379315E+00   7.2210472299373674E-01   5.9319513727681662E-02
         1         14   3.3240152480088749E-02   4.8174026127549929E+00   6.8369766630071116E-01   2.7266787945847282E-01
         1         15   0.0000000000000000E+00   8.8071896681798789E-01   3.5207579094972324E-01   8.0759978191335596E-02
         1         16  -7.5005354397636135E-16   7.9605096442185153E-01   3.2483502480465554E-02   4.8086687970131596E-02
