################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.6712073988555960E+00 a         1     0     1     1     1
  1.3843914095732158E+01 a         2     0     1     1     2
  7.3610523164350354E+00 a         3     0     1     1     3
  6.0462749711423580E-01 a         4     0     1     1     4
  8.5862173926860166E+00 a         5     0     1     1     5
 -7.0661115618455659E+00 a         6     0     1     1     6
 -3.7519950258512522E+00 a         7     0     1     1     7
 -4.1289976812849494E+00 a         8     0     1     1     8
  1.5073967779376292E+00 a         9     0     1     1     9
 -1.6704359808341145E+00 a        10     0     1     1    10
 -4.0126564772588553E+00 a        11     0     1     1    11
 -2.5516428824576076E-01 a        12     0     1     1    12
 -2.4168472610410578E+00 a        13     0     1     1    13
  1.6451487938851703E+00 a        14     0     1     1    14
  4.8189459243392427E+00 a        15     0     1     1    15
  3.7689738989464860E-01 a        16     0     1     1    16
  6.4156554061903268E+00 a        17     0     1     1    17
  1.8302184579134648E+00 a        18     0     1     1    18
 -1.1734927307553851E+00 a        19     0     1     1    19
  5.1399364914671375E-01 a        20     0     1     1    20
 -2.2218038630608347E-01 a        21     0     1     1    21
  7.5390282115812957E+00 a        22     0     1     1    22
 -4.1816447440260456E+00 a        23     0     1     1    23
  4.5256445613668337E+00 a        24     0     1     1    24
  1.2957807075102780E+01 a        25     0     1     1    25
 -1.9611438486950150E+00 a        26     0     2     1     1
 -1.2133713517888834E+01 a        27     0     2     1     2
 -8.3746144983713418E+00 a        28     0     2     1     3
  1.7762346119509034E+00 a        29     0     2     1     4
 -7.6196502189862967E+00 a        30     0     2     1     5
  3.8975954632490235E+00 a        31     0     2     1     6
  1.6553196226578186E+00 a        32     0     2     1     7
  8.7239347438858150E+00 a        33     0     2     1     8
  1.8449046480216316E-01 a        34     0     2     1     9
  1.5055528125677016E+00 a        35     0     2     1    10
  2.0740063079295430E+00 a        36     0     2     1    11
  7.7007413000016034E-01 a        37     0     2     1    12
  2.1852718483044229E+00 a        38     0     2     1    13
  2.5008432100643237E-02 a        39     0     2     1    14
 -4.9427083612489300E+00 a        40     0     2     1    15
  6.5645280743664336E-01 a        41     0     2     1    16
 -5.0553801805520413E+00 a        42     0     2     1    17
 -1.8263632806483519E+00 a        43     0     2     1    18
  4.8557305790015857E+00 a        44     0     2     1    19
 -2.8857174032867472E+00 a        45     0     2     1    20
 -1.1002182329794692E+00 a        46     0     2     1    21
 -8.5996979564860148E+00 a        47     0     2     1    22
  2.3888991382325186E+00 a        48     0     2     1    23
 -2.8448349148657055E+00 a        49     0     2     1    24
 -1.1952222050691855E+01 a        50     0     2     1    25
 -2.5389534998918095E-01 a        51     0     3     1     1
 -2.5442220680212286E+00 a        52     0     3     1     2
 -5.6861876424267743E+00 a        53     0     3     1     3
 -7.6965288969065238E-01 a        54     0     3     1     4
 -2.4696408115145050E+00 a        55     0     3     1     5
  1.4441755263238385E+00 a        56     0     3     1     6
 -9.6013145274299450E-01 a        57     0     3     1     7
 -5.2447678299747125E+00 a        58     0     3     1     8
  6.3634429006949089E+00 a        59     0     3     1     9
 -4.3393478124401295E+00 a        60     0     3     1    10
  6.5903330694183095E+00 a        61     0     3     1    11
  2.4848866233624103E-01 a        62     0     3     1    12
  4.9492666332669977E-01 a        63     0     3     1    13
  4.6120645664691851E-01 a        64     0     3     1    14
 -8.7424405480794523E+00 a        65     0     3     1    15
  5.4599777567259187E+00 a        66     0     3     1    16
 -7.6484567151624558E+00 a        67     0     3     1    17
  3.3411444435514035E+00 a        68     0     3     1    18
  8.1420382415316261E+00 a        69     0     3     1    19
  7.0703306218155202E+00 a        70     0     3     1    20
  1.4870442794805024E+01 a        71     0     3     1    21
 -4.3390995028582244E+00 a        72     0     3     1    22
 -5.8421102266950620E-01 a        73     0     3     1    23
  3.0843605343112697E+00 a        74     0     3     1    24
 -6.4272672292381712E+00 a        75     0     3     1    25
 -2.3749837970852141E+00 a        76     0     4     1     1
 -9.6404498472197198E-01 a        77     0     4     1     2
