################################################################################
# Sensitivity analysis for element  S.
################################################################################
# Col  Name          Description
################################################################################
# 1    index         Symmetry function index.
# 2    sens_msa_norm Mean square average sensitivity (normalized, sum = 100%).
# 3    sens_max_norm Maximum sensitivity (normalized, sum = 100%).
# 4    sens_msa_phys Mean square average sensitivity (physical energy units).
# 5    sens_max_phys Maximum sensitivity (physical energy units).
# 6    sens_msa_int  Mean square average sensitivity (internal units).
# 7    sens_max_int  Maximum sensitivity (internal units).
################################################################################################################
#        1                2                3                4                5                6                7
#    index    sens_msa_norm    sens_max_norm    sens_msa_phys    sens_max_phys     sens_msa_int     sens_max_int
################################################################################################################
         1   9.81569663E-01   7.37626688E-01   5.66182497E-01   6.77473179E-01   4.18357041E+00   5.00590668E+00
         2   3.62998646E-01   3.52247492E-01   2.09382469E-01   3.23521683E-01   1.54714479E+00   2.39052911E+00
         3   1.16651749E-01   2.08665575E-01   6.72862874E-02   1.91648882E-01   4.97184074E-01   1.41610981E+00
         4   8.16030741E-01   5.96580920E-01   4.70697435E-01   5.47929703E-01   3.47802320E+00   4.04869896E+00
         5   7.05657313E-02   8.32055308E-02   4.07032567E-02   7.64201138E-02   3.00759810E-01   5.64674691E-01
         6   1.48293403E-01   1.29581022E-01   8.55376166E-02   1.19013680E-01   6.32044691E-01   8.79402158E-01
         7   7.35879316E-02   7.22362729E-02   4.24465022E-02   6.63453997E-02   3.13640799E-01   4.90231776E-01
         8   1.99541040E-01   4.34623440E-01   1.15097938E-01   3.99179867E-01   8.50468408E-01   2.94957383E+00
         9   1.32469988E+00   2.59350064E+00   7.64104592E-01   2.38200048E+00   5.64603353E+00   1.76008032E+01
        10   2.54753549E+00   1.84829045E+00   1.46945251E+00   1.69756223E+00   1.08579090E+01   1.25434310E+01
        11   4.42623615E-01   7.02659995E-01   2.55311215E-01   6.45358022E-01   1.88651619E+00   4.76860506E+00
        12   3.32872668E+00   3.48669150E+00   1.92005403E+00   3.20235155E+00   1.41874418E+01   2.36624468E+01
        13   2.18156345E+00   1.98921512E+00   1.25835495E+00   1.82699449E+00   9.29809124E+00   1.34998169E+01
        14   1.44793302E-01   2.78530771E-01   8.35187115E-02   2.55816567E-01   6.17126830E-01   1.89025027E+00
        15   9.07274816E-01   1.21086111E+00   5.23328237E-01   1.11211530E+00   3.86691665E+00   8.21751413E+00
        16   6.61636241E-01   4.93394736E-01   3.81640624E-01   4.53158360E-01   2.81997488E+00   3.34842549E+00
        17   6.48477025E-01   5.68646071E-01   3.74050213E-01   5.22272943E-01   2.76388869E+00   3.85911899E+00
        18   2.46833873E+00   2.39282078E+00   1.42377076E+00   2.19768608E+00   1.05203627E+01   1.62388885E+01
        19   1.90796684E+00   1.51828232E+00   1.10054076E+00   1.39446629E+00   8.13198889E+00   1.03038295E+01
        20   4.86123909E-01   9.00956720E-01   2.80402766E-01   8.27483635E-01   2.07191978E+00   6.11434664E+00
        21   3.57997239E+00   4.94363400E+00   2.06497591E+00   4.54048029E+00   1.52582818E+01   3.35499933E+01
        22   2.33993178E+00   1.71686740E+00   1.34970392E+00   1.57685674E+00   9.97307653E+00   1.16515280E+01
        23   2.65230862E-01   5.72370316E-01   1.52988705E-01   5.25693476E-01   1.13044650E+00   3.88439360E+00
        24   3.32098154E+00   4.38227456E+00   1.91558652E+00   4.02489975E+00   1.41544310E+01   2.97403250E+01
        25   2.64873088E+00   1.91847008E+00   1.52782336E+00   1.76201871E+00   1.12892162E+01   1.30197054E+01
        26   3.29975943E-01   4.63500507E-01   1.90334533E-01   4.25702007E-01   1.40639798E+00   3.14554818E+00
        27   7.70981509E-01   1.04193096E+00   4.44712436E-01   9.56961420E-01   3.28601784E+00   7.07106895E+00
        28   5.35904062E-01   4.01247556E-01   3.09116624E-01   3.68525789E-01   2.28408890E+00   2.72306825E+00
        29   9.00897862E-01   7.77078600E-01   5.19649924E-01   7.13707784E-01   3.83973729E+00   5.27364724E+00
        30   2.35682170E+00   2.55170535E+00   1.35944625E+00   2.34361360E+00   1.00450634E+01   1.73171593E+01
        31   1.58857419E+00   1.27949049E+00   9.16310819E-01   1.17514795E+00   6.77069822E+00   8.68326772E+00
        32   2.40512468E+00   2.67482192E+00   1.38730805E+00   2.45669000E+00   1.02509367E+01   1.81526904E+01
        33   8.39809975E-01   6.82684514E-01   4.84413615E-01   6.27011543E-01   3.57937321E+00   4.63304138E+00
        34   4.51544977E+00   4.32457072E+00   2.60457176E+00   3.97190166E+00   1.92454013E+01   2.93487177E+01
        35   1.45413474E-01   3.19147957E-01   8.38764347E-02   2.93121418E-01   6.19770078E-01   2.16589898E+00
        36   4.81892730E-01   3.38069510E-01   2.77962166E-01   3.10499917E-01   2.05388598E+00   2.29431018E+00
        37   1.65079863E+00   1.33608018E+00   9.52202705E-01   1.22712275E+00   7.03590641E+00   9.06731388E+00
        38   5.78733586E-01   4.80623362E-01   3.33821265E-01   4.41428493E-01   2.46663359E+00   3.26175251E+00
        39   1.56671898E+00   1.67894718E+00   9.03704440E-01   1.54202892E+00   6.67754862E+00   1.13941822E+01
        40   7.26532563E-01   1.31639676E+00   4.19073690E-01   1.20904451E+00   3.09657098E+00   8.93373227E+00
        41   3.69327884E+00   3.15983605E+00   2.13033258E+00   2.90215120E+00   1.57412078E+01   2.14442409E+01
        42   1.13249701E+00   1.21336646E+00   6.53239410E-01   1.11441634E+00   4.82684130E+00   8.23451669E+00
        43   3.58135746E-01   8.09050367E-01   2.06577484E-01   7.43072252E-01   1.52641852E+00   5.49062378E+00
        44   6.49743044E+00   4.99646295E+00   3.74780470E+00   4.58900103E+00   2.76928462E+01   3.39085172E+01
        45   8.71684750E-01   8.59556054E-01   5.02799411E-01   7.89459196E-01   3.71522742E+00   5.83338084E+00
        46   9.47079774E-01   8.27713236E-01   5.46288268E-01   7.60213163E-01   4.03657026E+00   5.61727942E+00
        47   6.75493768E-01   7.20893167E-01   3.89633831E-01   6.62104277E-01   2.87903737E+00   4.89234456E+00
        48   2.84744824E-01   4.21061173E-01   1.64244619E-01   3.86723604E-01   1.21361740E+00   2.85753345E+00
        49   8.77731019E-01   1.37445471E+00   5.06286980E-01   1.26236783E+00   3.74099736E+00   9.32774279E+00
        50   1.88631124E+00   1.58179068E+00   1.08804953E+00   1.45279554E+00   8.03969008E+00   1.07348292E+01
        51   1.64507114E+00   1.74918524E+00   9.48899013E-01   1.60653906E+00   7.01149515E+00   1.18708531E+01
        52   1.06382594E+00   1.63643346E+00   6.13629018E-01   1.50298220E+00   4.53415677E+00   1.11056627E+01
        53   4.27322635E+00   3.51547487E+00   2.46485406E+00   3.22878764E+00   1.82130153E+01   2.38577852E+01
        54   9.63177857E-01   1.06660364E+00   5.55573858E-01   9.79622036E-01   4.10518227E+00   7.23851017E+00
        55   7.20037468E-01   1.49862829E+00   4.15327233E-01   1.37641505E+00   3.06888809E+00   1.01704473E+01
        56   7.68574001E+00   5.91525053E+00   4.43323753E+00   5.43286143E+00   3.27575675E+01   4.01438731E+01
        57   9.78630742E-01   9.24876467E-01   5.64487288E-01   8.49452725E-01   4.17104437E+00   6.27667810E+00
        58   1.19862805E+00   1.04078167E+00   6.91384675E-01   9.55905852E-01   5.10869990E+00   7.06326927E+00
        59   7.09156506E-01   7.19134817E-01   4.09050948E-01   6.60489321E-01   3.02251209E+00   4.88041151E+00
        60   7.16530648E-01   6.76836513E-01   4.13304452E-01   6.21640447E-01   3.05394159E+00   4.59335390E+00
