################################################################################
# Sensitivity analysis for element Cu.
################################################################################
# Col  Name          Description
################################################################################
# 1    index         Symmetry function index.
# 2    sens_msa_norm Mean square average sensitivity (normalized, sum = 100%).
# 3    sens_max_norm Maximum sensitivity (normalized, sum = 100%).
# 4    sens_msa_phys Mean square average sensitivity (physical energy units).
# 5    sens_max_phys Maximum sensitivity (physical energy units).
# 6    sens_msa_int  Mean square average sensitivity (internal units).
# 7    sens_max_int  Maximum sensitivity (internal units).
################################################################################################################
#        1                2                3                4                5                6                7
#    index    sens_msa_norm    sens_max_norm    sens_msa_phys    sens_max_phys     sens_msa_int     sens_max_int
################################################################################################################
         1   7.15586842E-01   5.68992975E-01   1.42118801E-01   2.21728152E-01   1.05012785E+00   1.63836808E+00
         2   1.68501905E+00   1.42394692E+00   3.34652446E-01   5.54891067E-01   2.47277526E+00   4.10013708E+00
         3   1.36669323E+00   9.92829531E-01   2.71431491E-01   3.86890992E-01   2.00563027E+00   2.85877030E+00
         4   6.29829900E-01   5.40656580E-01   1.25087082E-01   2.10685877E-01   9.24279041E-01   1.55677578E+00
         5   6.33578067E-01   4.10256860E-01   1.25831485E-01   1.59871034E-01   9.29779497E-01   1.18130061E+00
         6   6.29482685E-01   6.35540616E-01   1.25018124E-01   2.47660783E-01   9.23769502E-01   1.82998650E+00
         7   3.13728117E-01   2.50628315E-01   6.23078307E-02   9.76661497E-02   4.60397836E-01   7.21663449E-01
         8   1.55525386E-01   2.66441981E-01   3.08880490E-02   1.03828502E-01   2.28234409E-01   7.67197589E-01
         9   5.66458457E-02   8.50637797E-02   1.12501226E-02   3.31480975E-02   8.31281080E-02   2.44934099E-01
        10   2.92981788E+00   2.76613270E+00   5.81875155E-01   1.07792102E+00   4.29952478E+00   7.96484970E+00
        11   1.37103349E+00   1.42829021E+00   2.72293485E-01   5.56583582E-01   2.01199962E+00   4.11264321E+00
        12   4.42573431E-01   6.10001585E-01   8.78970959E-02   2.37708601E-01   6.49479084E-01   1.75644898E+00
        13   1.55385108E+00   1.83323640E+00   3.08601890E-01   7.14385125E-01   2.28028550E+00   5.27865217E+00
        14   1.70698193E+00   2.77337645E+00   3.39014375E-01   1.08074381E+00   2.50500592E+00   7.98570749E+00
        15   1.02766915E+00   1.23161776E+00   2.04099767E-01   4.79943237E-01   1.50811046E+00   3.54634121E+00
        16   1.00472883E+00   1.05269488E+00   1.99543714E-01   4.10219636E-01   1.47444540E+00   3.03114762E+00
        17   2.44789736E-01   2.48116212E-01   4.86163547E-02   9.66872203E-02   3.59230361E-01   7.14430056E-01
        18   2.02341026E+00   1.95619876E+00   4.01858478E-01   7.62301741E-01   2.96936632E+00   5.63271210E+00
        19   8.84413300E-01   1.71267753E+00   1.75648503E-01   6.67405116E-01   1.29788166E+00   4.93151291E+00
        20   1.43242789E+00   1.27275022E+00   2.84486692E-01   4.95971946E-01   2.10209626E+00   3.66477870E+00
        21   5.68647267E+00   4.59647101E+00   1.12935933E+00   1.79117681E+00   8.34493171E+00   1.32351571E+01
        22   2.74225677E+00   1.99282623E+00   5.44624665E-01   7.76574923E-01   4.02427776E+00   5.73817786E+00
        23   6.71146919E-01   8.00476565E-01   1.33292830E-01   3.11933885E-01   9.84912007E-01   2.30490588E+00
        24   8.32760204E-01   1.55333382E+00   1.65389963E-01   6.05311228E-01   1.22208044E+00   4.47269591E+00
        25   1.09957602E+00   1.61957255E+00   2.18380797E-01   6.31123482E-01   1.61363420E+00   4.66342484E+00
        26   7.12071265E-01   1.00737131E+00   1.41420591E-01   3.92557708E-01   1.04496872E+00   2.90064214E+00
        27   1.43058583E+00   1.18633085E+00   2.84120850E-01   4.62295595E-01   2.09939302E+00   3.41594129E+00
