################################################################################
# Sensitivity analysis for element  H generated by ../nnp-dataset.
################################################################################
# Col  Name          Description
################################################################################
# 1    index         Symmetry function index.
# 2    sens_msa_norm Mean square average sensitivity (normalized, sum = 100%).
# 3    sens_max_norm Maximum sensitivity (normalized, sum = 100%).
# 4    sens_msa_phys Mean square average sensitivity (physical energy units).
# 5    sens_max_phys Maximum sensitivity (physical energy units).
# 6    sens_msa_int  Mean square average sensitivity (internal units).
# 7    sens_max_int  Maximum sensitivity (internal units).
################################################################################################################
#        1                2                3                4                5                6                7
#    index    sens_msa_norm    sens_max_norm    sens_msa_phys    sens_max_phys     sens_msa_int     sens_max_int
################################################################################################################
         1   4.00438594E+00   4.94221554E+00   2.56272440E-01   8.35358426E-01   6.21864250E+01   2.02705973E+02
         2   5.10357644E+00   4.96440373E+00   3.26618364E-01   8.39108787E-01   7.92563900E+01   2.03616026E+02
         3   8.44248403E+00   1.08371761E+01   5.40301562E-01   1.83175466E+00   1.31108217E+02   4.44488975E+02
         4   1.37923012E+01   1.05065520E+01   8.82678825E-01   1.77587090E+00   2.14188621E+02   4.30928362E+02
         5   7.66953085E+00   1.14672438E+01   4.90834153E-01   1.93825192E+00   1.19104580E+02   4.70331331E+02
         6   1.48403316E+01   1.05012854E+01   9.49750611E-01   1.77498070E+00   2.30464092E+02   4.30712349E+02
         7   7.02574778E+00   1.08564344E+01   4.49633365E-01   1.83500979E+00   1.09106900E+02   4.45278857E+02
         8   7.94054796E+00   5.94756915E+00   5.08178689E-01   1.00528841E+00   1.23313361E+02   2.43940755E+02
         9   4.55529675E+00   2.94229190E+00   2.91529595E-01   4.97321153E-01   7.07418376E+01   1.20678699E+02
        10   3.42270029E+00   5.51606469E+00   2.19045758E-01   9.32353331E-01   5.31530921E+01   2.26242512E+02
        11   3.20365526E+00   1.72955171E+00   2.05027328E-01   2.92337633E-01   4.97514152E+01   7.09379141E+01
        12   5.25612480E-01   8.05000530E-01   3.36381144E-02   1.36065287E-01   8.16254016E+00   3.30172600E+01
        13   1.75588739E+00   9.22168994E-01   1.12373171E-01   1.55869697E-01   2.72681907E+01   3.78229483E+01
        14   3.16509456E-01   6.76869607E-01   2.02559523E-02   1.14407946E-01   4.91525838E+00   2.77619442E+01
        15   1.08444216E+00   1.19072761E+00   6.94020610E-02   2.01262841E-01   1.68409294E+01   4.88379342E+01
        16   1.79501552E-01   2.64224149E-01   1.14877290E-02   4.46605105E-02   2.78758341E+00   1.08372071E+01
        17   6.17309047E-01   5.39596912E-01   3.95065056E-02   9.12054165E-02   9.58654919E+00   2.21316768E+01
        18   1.98946745E+00   1.72379079E+00   1.27321813E-01   2.91363893E-01   3.08955905E+01   7.07016287E+01
        19   7.16427809E-01   5.28688030E-01   4.58499019E-02   8.93615418E-02   1.11258218E+01   2.16842468E+01
        20   1.30288536E+00   2.41748546E+00   8.33819753E-02   4.08615698E-01   2.02332602E+01   9.91536566E+01
        21   1.49600433E+00   1.77630182E+00   9.57411909E-02   3.00239576E-01   2.32323164E+01   7.28553796E+01
        22   6.56574889E-01   8.32979586E-01   4.20194385E-02   1.40794449E-01   1.01963312E+01   3.41648266E+01
        23   4.23225159E+00   3.54358907E+00   2.70855371E-01   5.98955462E-01   6.57250825E+01   1.45341025E+02
        24   1.55885657E+00   1.23888998E+00   9.97636050E-02   2.09403490E-01   2.42083852E+01   5.08133236E+01
        25   2.13381000E+00   1.50969377E+00   1.36559438E-01   2.55176126E-01   3.31371695E+01   6.19203962E+01
        26   7.62564895E-01   1.10838769E+00   4.88025802E-02   1.87345328E-01   1.18423113E+01   4.54607458E+01
        27   6.71336907E-01   7.10817604E-01   4.29641772E-02   1.20146009E-01   1.04255791E+01   2.91543282E+01
