################################################################################
# Sensitivity analysis for element  O generated by ../nnp-dataset.
################################################################################
# Col  Name          Description
################################################################################
# 1    index         Symmetry function index.
# 2    sens_msa_norm Mean square average sensitivity (normalized, sum = 100%).
# 3    sens_max_norm Maximum sensitivity (normalized, sum = 100%).
# 4    sens_msa_phys Mean square average sensitivity (physical energy units).
# 5    sens_max_phys Maximum sensitivity (physical energy units).
# 6    sens_msa_int  Mean square average sensitivity (internal units).
# 7    sens_max_int  Maximum sensitivity (internal units).
################################################################################################################
#        1                2                3                4                5                6                7
#    index    sens_msa_norm    sens_max_norm    sens_msa_phys    sens_max_phys     sens_msa_int     sens_max_int
################################################################################################################
         1   1.27773854E+00   2.46853630E+00   1.73692506E-01   6.82976628E-01   4.21477862E+01   1.65729389E+02
         2   4.18119606E+00   3.22360053E+00   5.68381087E-01   8.91882296E-01   1.37921924E+02   2.16421913E+02
         3   2.88429186E+00   6.43646670E+00   3.92083252E-01   1.78079469E+00   9.51419348E+01   4.32123156E+02
         4   7.45528076E+00   5.84511235E+00   1.01345178E+00   1.61718308E+00   2.45921657E+02   3.92421575E+02
         5   6.19173555E+00   9.39533182E+00   8.41688679E-01   2.59943192E+00   2.04242056E+02   6.30771606E+02
         6   6.91478551E+00   6.23506983E+00   9.39978239E-01   1.72507367E+00   2.28092753E+02   4.18602034E+02
         7   3.23628957E+00   6.07530710E+00   4.39932919E-01   1.68087168E+00   1.06753015E+02   4.07876091E+02
         8   1.52121118E+01   1.03753880E+01   2.06789553E+00   2.87058673E+00   5.01790324E+02   6.96569349E+02
         9   2.21372424E+00   2.90119695E+00   3.00928006E-01   8.02682023E-01   7.30224323E+01   1.94776799E+02
        10   3.04184603E+00   2.78762359E+00   4.13500761E-01   7.71259374E-01   1.00339054E+02   1.87151858E+02
        11   1.16810633E+00   9.67015423E-01   1.58789384E-01   2.67546778E-01   3.85314322E+01   6.49222277E+01
        12   1.76802428E+00   1.77888411E+00   2.40340694E-01   4.92168687E-01   5.83204678E+01   1.19428415E+02
        13   5.37340835E-01   9.35233200E-01   7.30447374E-02   2.58753504E-01   1.77248521E+01   6.27884740E+01
        14   7.03946037E-01   7.06148615E-01   9.56926221E-02   1.95372051E-01   2.32205308E+01   4.74084902E+01
        15   4.37770113E-01   5.36104899E-01   5.95093484E-02   1.48325595E-01   1.44403887E+01   3.59923156E+01
        16   6.62293782E-01   6.56345202E-01   9.00305212E-02   1.81592806E-01   2.18465796E+01   4.40648532E+01
        17   5.17362776E+00   4.04672176E+00   7.03289711E-01   1.11961748E+00   1.70658511E+02   2.71683559E+02
        18   1.46769838E+00   1.27021710E+00   1.99515160E-01   3.51434408E-01   4.84138464E+01   8.52781886E+01
        19   4.58917362E+00   4.70949202E+00   6.23840512E-01   1.30298792E+00   1.51379568E+02   3.16179769E+02
        20   3.02475550E+00   2.84350314E+00   4.11177518E-01   7.86719720E-01   9.97753014E+01   1.90903427E+02
        21   2.41214619E+00   1.72882443E+00   3.27900978E-01   4.78318541E-01   7.95676258E+01   1.16067573E+02
        22   8.34960160E-01   1.21568497E+00   1.13502346E-01   3.36346857E-01   2.75421936E+01   8.16170815E+01
        23   7.30110157E-01   1.09863389E+00   9.92493054E-02   3.03962015E-01   2.40835866E+01   7.37586574E+01
        24   2.16128741E+00   3.02832966E+00   2.93799876E-01   8.37856175E-01   7.12927384E+01   2.03312070E+02
        25   5.46876721E+00   3.54090960E+00   7.43410213E-01   9.79673056E-01   1.80394051E+02   2.37724997E+02
        26   3.31745338E+00   2.49051300E+00   4.50966119E-01   6.89056981E-01   1.09430303E+02   1.67204832E+02
        27   5.40885516E+00   5.73864694E+00   7.35265923E-01   1.58772700E+00   1.78417778E+02   3.85273838E+02
        28   5.03324944E+00   4.89194178E+00   6.84207042E-01   1.35346679E+00   1.66027958E+02   3.28428844E+02
        29   1.76523039E+00   1.46048686E+00   2.39960899E-01   4.04076858E-01   5.82283078E+01   9.80522731E+01
        30   7.26203949E-01   6.12730214E-01   9.87183056E-02   1.69525729E-01   2.39547355E+01   4.11366867E+01
