################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.5913246362740890E-01   2.7498027860021046E-01   2.3411070974364162E-01   4.1533231436381934E-02
         1          2   3.8208348960582011E-01   6.1596767565978183E-01   5.4365345214195337E-01   6.2168750346181266E-02
         1          3   0.0000000000000000E+00   2.0337444777209396E-01   1.8576859898018071E-02   4.4625560493899021E-02
         1          4   0.0000000000000000E+00   1.5164101051381235E-01   1.3203343352844459E-03   1.0211157463807744E-02
         1          5   1.5391381116917166E-01   2.6630566279985779E-01   2.2663568141082335E-01   4.0209778156836393E-02
         1          6   1.4886636102567033E-01   2.5790477787348365E-01   2.1939940663111937E-01   3.8928536384299980E-02
         1          7   1.4398449479386538E-01   2.4976898364574004E-01   2.1239425702337048E-01   3.7688158517680648E-02
         1          8   0.0000000000000000E+00   1.9406211706928167E-01   1.7648911217202110E-02   4.2520645795885346E-02
         1          9   1.3926277851637014E-01   2.4188991274332780E-01   2.0561284802157034E-01   3.6487340018409600E-02
         1         10   3.5659033473577800E-01   5.7617043647213184E-01   5.0797436473966617E-01   5.7976950050853085E-02
         1         11   0.0000000000000000E+00   1.4539600862621604E-01   1.2080612335982977E-03   9.5956010246851711E-03
         1         12   1.3469595662418768E-01   2.3425946197908221E-01   1.9904803107952371E-01   3.5324818033081816E-02
         1         13   0.0000000000000000E+00   1.8809201699275113E-01   1.7058393333331711E-02   4.1172309442739349E-02
         1         14   3.3865933443703955E-01   5.4816761897885724E-01   4.8287365211335448E-01   5.5044887285242698E-02
         1         15   0.0000000000000000E+00   1.7947947129709610E-01   1.6212369520148557E-02   3.9228848324466881E-02
         1         16   0.0000000000000000E+00   1.3940819342211608E-01   1.1079029290115836E-03   9.0238606983715688E-03
         1         17   3.2167867130268979E-01   5.2163502844899057E-01   4.5909660848294337E-01   5.2279563377814288E-02
         1         18   0.0000000000000000E+00   1.7126129487398756E-01   1.5411368048689429E-02   3.7376367464040744E-02
         1         19   0.0000000000000000E+00   1.3226899923747690E-01   9.9733208701786565E-04   8.3646228125886356E-03
         1         20   3.0041860250661334E-01   4.8838867529404617E-01   4.2931449331560534E-01   4.8831457141969466E-02
         1         21   0.0000000000000000E+00   1.6341942908701504E-01   1.4652596905168125E-02   3.5610690618752175E-02
         1         22   2.8062447123113465E-01   4.5739845518552941E-01   4.0156881040680370E-01   4.5633685713583956E-02
         1         23   0.0000000000000000E+00   1.2549540833880571E-01   9.0060796845390961E-04   7.7606786257876439E-03
         1         24   0.0000000000000000E+00   1.1782340194594421E-01   7.9983843493257442E-04   7.1008688199004182E-03
         1         25   4.8080975477891362E-05   1.4454236521537357E-04   1.0606138550262831E-04   3.0372661949925568E-05
         1         26   7.0914606025698497E-04   1.6744510195351690E-03   1.3424921537840402E-03   2.7021554815884620E-04
         1         27   0.0000000000000000E+00   5.4853339679432496E-04   4.8918824234109643E-05   1.1979835904367966E-04
         1         28   7.1458123350106911E-04   2.8988424591760804E-03   2.0780582515160153E-03   5.2414012393671374E-04
         1         29   0.0000000000000000E+00   1.8148844374031689E-03   1.5688952598208675E-04   3.8606024791623862E-04
         1         30   0.0000000000000000E+00   2.2849303786486581E-03   9.8350339606152324E-06   1.0715779914260924E-04
         1         31   1.4892822650354744E-04   4.3373787604534034E-04   3.1815667234462886E-04   9.1065360531956851E-05
         1         32   4.0219506797962226E-03   9.2487775728862312E-03   7.4767715518134336E-03   1.4678002695749002E-03
         1         33   0.0000000000000000E+00   3.0305462630596833E-03   2.7169254790767488E-04   6.5773132788470132E-04
         1         34   7.5172170455342397E-04   3.0273633797592695E-03   2.1731243208738043E-03   5.4921772834580788E-04
         1         35   0.0000000000000000E+00   1.8533362398174024E-03   1.6464081695290772E-04   3.9447357279410100E-04
         1         36   0.0000000000000000E+00   2.2184622784054632E-03   1.1341545557416343E-05   1.0837902747683792E-04
         1         37   1.1143704929203174E-04   2.8763385671683813E-04   2.2584657344904279E-04   4.8345027630844206E-05
         1         38   0.0000000000000000E+00   9.3700521240144783E-05   8.2928224801076323E-06   2.0450148930311655E-05
         1         39   3.5348159825506734E-04   1.4369216585712827E-03   1.0291543921906198E-03   2.5961292527450176E-04
         1         40   0.0000000000000000E+00   9.0398962706883068E-04   7.7629549460939162E-05   1.9220121514820071E-04
         1         41   0.0000000000000000E+00   1.1629195015924435E-03   4.7649451694633064E-06   5.3597908198657475E-05
         1         42   1.1258705976848477E-04   3.2533943430389684E-04   2.3862266405011540E-04   6.8293626707686267E-05
         1         43   3.4264224455910976E-03   7.8617625783154541E-03   6.3601259714784310E-03   1.2459351251272292E-03
         1         44   0.0000000000000000E+00   2.5748873237476334E-03   2.3106654615367284E-04   5.5839187554174825E-04
         1         45   3.9062206930742224E-04   1.5654425791544720E-03   1.1242204615484080E-03   2.8486887741001316E-04
         1         46   0.0000000000000000E+00   9.4244142948306405E-04   8.5380840431760154E-05   2.0068178356825279E-04
         1         47   0.0000000000000000E+00   1.0964514013492488E-03   6.2714567662644133E-06   5.5016306432159781E-05
         1         48   8.7973925843085174E-05   3.5832733237607363E-04   2.5608428623379731E-04   6.4680680695290577E-05
         1         49   0.0000000000000000E+00   2.2601720486665336E-04   1.9300846996101465E-05   4.7992361182309711E-05
         1         50   2.4955082208680721E-03   5.7161098206143252E-03   4.6269619260169833E-03   9.0499243141407989E-04
         1         51   1.1262325510512315E-04   4.4450081263398150E-04   3.1924617682138959E-04   8.2103934823498989E-05
         1         52   0.0000000000000000E+00   2.5268974017304087E-04   2.4441001330304955E-05   5.3822087206804916E-05
         1         53   1.3315925120089905E-03   3.0501155053261693E-03   2.4691301720221924E-03   4.8335291030511665E-04
         2          1   4.6850729348206133E-01   6.1881828384306736E-01   5.6111021436669517E-01   5.0117551392186072E-02
         2          2   1.2461983924928560E-01   2.7436953876553494E-01   2.2482112212919250E-01   4.4457135693832278E-02
         2          3   0.0000000000000000E+00   5.0329467595954948E-02   8.4735292148864598E-03   1.5485750105466703E-02
         2          4   0.0000000000000000E+00   6.4701496020064905E-02   1.3706417473048659E-03   5.9091928698948156E-03
         2          5   1.2057847639207064E-01   2.6571558945859042E-01   2.1764373952280031E-01   4.3040350473031092E-02
         2          6   0.0000000000000000E+00   4.8784011440659907E-02   8.2031408805137256E-03   1.4992130655914232E-02
