################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.6191494874911935E-01 a         1     0     1     1     1
  2.0175206414055524E-01 a         2     0     1     1     2
 -2.0176415600188932E-01 a         3     0     1     1     3
  1.5999207878188534E-01 a         4     0     1     1     4
 -2.8928259119466843E-01 a         5     0     1     1     5
 -7.9691068650974584E-02 a         6     0     1     1     6
 -1.7826922511544654E-01 a         7     0     1     1     7
 -2.9068722056027417E-02 a         8     0     1     1     8
 -1.4436457651707085E-01 a         9     0     1     1     9
  1.5353263382479534E-01 a        10     0     1     1    10
 -1.3086856845618353E-01 a        11     0     1     1    11
 -1.6816647321299838E-01 a        12     0     1     1    12
  1.1301854785759721E-01 a        13     0     1     1    13
  1.5273244189172422E-01 a        14     0     1     1    14
  1.5847374766263075E-01 a        15     0     1     1    15
  2.7958194217609322E-01 a        16     0     2     1     1
  1.9947979413247074E-01 a        17     0     2     1     2
 -6.8664674343611579E-02 a        18     0     2     1     3
 -3.1228534997084639E-01 a        19     0     2     1     4
 -2.1792338668342869E-02 a        20     0     2     1     5
 -7.6184649921553646E-02 a        21     0     2     1     6
  1.1780203141391397E-01 a        22     0     2     1     7
  8.7152643069269786E-02 a        23     0     2     1     8
  2.0951490252274355E-01 a        24     0     2     1     9
  6.0287366670247642E-03 a        25     0     2     1    10
 -1.6079016487637987E-01 a        26     0     2     1    11
  2.7716391485236769E-01 a        27     0     2     1    12
  2.7818662295462043E-01 a        28     0     2     1    13
  1.4737678407497284E-01 a        29     0     2     1    14
  1.2275542362056364E-01 a        30     0     2     1    15
  6.7741884980486597E-02 a        31     0     3     1     1
  2.4083488870391895E-01 a        32     0     3     1     2
  1.4112455051804588E-02 a        33     0     3     1     3
  8.7178401636244969E-03 a        34     0     3     1     4
  2.4991512589190046E-01 a        35     0     3     1     5
  3.6667296213528391E-02 a        36     0     3     1     6
 -3.2191332373638354E-01 a        37     0     3     1     7
 -1.3115320737969779E-01 a        38     0     3     1     8
  2.1373483431000187E-01 a        39     0     3     1     9
 -1.4961033221424491E-01 a        40     0     3     1    10
  8.6659803559786350E-02 a        41     0     3     1    11
  6.8953458389252251E-02 a        42     0     3     1    12
  9.0735467665892383E-02 a        43     0     3     1    13
 -2.0919880232280824E-01 a        44     0     3     1    14
 -4.7813748750595450E-02 a        45     0     3     1    15
  5.6034237598775759E-02 a        46     0     4     1     1
 -1.0687902107529877E-01 a        47     0     4     1     2
 -1.8117107348449610E-01 a        48     0     4     1     3
  2.4161486230559828E-01 a        49     0     4     1     4
  2.6907123594595117E-01 a        50     0     4     1     5
 -2.4812347186035219E-01 a        51     0     4     1     6
  9.1547169219238195E-02 a        52     0     4     1     7
  1.6876799981281171E-01 a        53     0     4     1     8
  2.1956451902066848E-01 a        54     0     4     1     9
  1.5406765548703921E-01 a        55     0     4     1    10
 -3.0687440322751514E-01 a        56     0     4     1    11
  3.9586224563040166E-02 a        57     0     4     1    12
  2.8995020881548039E-01 a        58     0     4     1    13
  1.6875025794027956E-01 a        59     0     4     1    14
  1.6595862884335061E-01 a        60     0     4     1    15
 -6.0870157914056651E-02 a        61     0     5     1     1
 -2.6483612315170113E-01 a        62     0     5     1     2
 -2.6053551990311663E-01 a        63     0     5     1     3
 -1.9692928976227597E-01 a        64     0     5     1     4
 -2.6477306197707706E-01 a        65     0     5     1     5
 -1.1006234326799577E-01 a        66     0     5     1     6
 -1.1781422515466813E-01 a        67     0     5     1     7
  4.6706207188567155E-02 a        68     0     5     1     8
 -2.7384447389178840E-01 a        69     0     5     1     9
 -7.1405615606388889E-02 a        70     0     5     1    10
  5.9627840543751677E-02 a        71     0     5     1    11
 -2.7469765073619340E-01 a        72     0     5     1    12
 -9.3967776737111458E-02 a        73     0     5     1    13
  1.7470254691218615E-01 a        74     0     5     1    14
  2.4059200091475641E-01 a        75     0     5     1    15
  4.4881617572298201E-02 a        76     0     6     1     1
 -2.9582410217831329E-01 a        77     0     6     1     2
  3.2044034582400438E-01 a        78     0     6     1     3
 -2.1288465009234953E-01 a        79     0     6     1     4
  2.8668521236273065E-01 a        80     0     6     1     5
 -8.9252766422574278E-02 a        81     0     6     1     6
 -3.2053215010876507E-01 a        82     0     6     1     7
 -1.6090609706522260E-01 a        83     0     6     1     8
 -1.9480248202625505E-02 a        84     0     6     1     9
  2.8170848719543806E-01 a        85     0     6     1    10
  1.0953986272185857E-01 a        86     0     6     1    11
 -1.5831389959990901E-02 a        87     0     6     1    12
 -2.8659517070916957E-01 a        88     0     6     1    13
  1.7862790772573631E-01 a        89     0     6     1    14
  2.6391241981506453E-01 a        90     0     6     1    15
  6.8262621185049818E-02 a        91     0     7     1     1
 -1.5795028768855196E-01 a        92     0     7     1     2
 -3.2652001562565747E-01 a        93     0     7     1     3
 -1.4297802334911175E-01 a        94     0     7     1     4
 -3.4549790463085456E-02 a        95     0     7     1     5
  7.1654614907441849E-02 a        96     0     7     1     6
  3.6095536445822984E-01 a        97     0     7     1     7
 -1.5117443747270615E-01 a        98     0     7     1     8
  5.5705310651552563E-02 a        99     0     7     1     9
 -2.0650293713810636E-01 a       100     0     7     1    10
  2.2611551374747579E-01 a       101     0     7     1    11
 -2.0020290401532345E-02 a       102     0     7     1    12
  4.0436118744962786E-02 a       103     0     7     1    13
  3.5500681801431677E-02 a       104     0     7     1    14
  3.0661265697716716E-01 a       105     0     7     1    15
 -1.0550624725744780E-01 a       106     0     8     1     1
 -2.7355090195349541E-01 a       107     0     8     1     2
 -2.7923881603709216E-01 a       108     0     8     1     3
 -2.9211195712139901E-02 a       109     0     8     1     4
 -2.5268671798172837E-01 a       110     0     8     1     5
 -2.1399356664472899E-01 a       111     0     8     1     6
  1.3453379712495747E-01 a       112     0     8     1     7
  3.5245687474181331E-02 a       113     0     8     1     8
  1.4480906104434244E-01 a       114     0     8     1     9
  2.7286431257594257E-01 a       115     0     8     1    10
 -6.0435382349653980E-03 a       116     0     8     1    11
 -2.6424268168871373E-01 a       117     0     8     1    12
 -1.9904215428226843E-01 a       118     0     8     1    13
