################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.7337678457561294E-02 a         1     0     1     1     1
  2.7105490931005555E-01 a         2     0     1     1     2
 -2.4886857059472092E-01 a         3     0     1     1     3
 -1.6430288393206305E-01 a         4     0     1     1     4
  6.7892284304085754E-02 a         5     0     1     1     5
 -1.5104206803616957E-01 a         6     0     1     1     6
 -2.9248248605725441E-01 a         7     0     1     1     7
  2.1964240226605314E-02 a         8     0     1     1     8
 -7.7257737290702996E-02 a         9     0     1     1     9
 -1.9681597538942486E-01 a        10     0     1     1    10
 -2.3682459026336011E-01 a        11     0     1     1    11
 -1.7795472468333801E-01 a        12     0     1     1    12
 -1.5811211873744319E-01 a        13     0     1     1    13
 -7.1106760671817409E-04 a        14     0     1     1    14
 -4.3858708734360229E-02 a        15     0     1     1    15
  6.3666573556300746E-02 a        16     0     2     1     1
  1.8785902598701773E-01 a        17     0     2     1     2
  2.2877728202693914E-01 a        18     0     2     1     3
 -5.9625478212477517E-02 a        19     0     2     1     4
 -7.3565857762700221E-02 a        20     0     2     1     5
  1.9992712920904626E-02 a        21     0     2     1     6
 -2.1539364068472042E-01 a        22     0     2     1     7
 -1.4386225755196944E-01 a        23     0     2     1     8
 -2.9084081877749729E-01 a        24     0     2     1     9
 -2.5064599200619636E-01 a        25     0     2     1    10
  3.7347146773012936E-02 a        26     0     2     1    11
  5.9357556848358611E-02 a        27     0     2     1    12
 -1.3518057646328502E-01 a        28     0     2     1    13
  4.0628028736902050E-02 a        29     0     2     1    14
 -2.1767247249275468E-01 a        30     0     2     1    15
  3.2684403732055545E-01 a        31     0     3     1     1
  3.0833705406279249E-02 a        32     0     3     1     2
  3.6020098378944106E-02 a        33     0     3     1     3
  1.9097972559295381E-01 a        34     0     3     1     4
  2.2144668237199769E-01 a        35     0     3     1     5
 -2.1618489259971449E-01 a        36     0     3     1     6
  2.6083915243747702E-01 a        37     0     3     1     7
 -2.4082605005156621E-01 a        38     0     3     1     8
  9.7233391461107752E-02 a        39     0     3     1     9
 -1.7824090243559271E-01 a        40     0     3     1    10
  2.1631737744142471E-01 a        41     0     3     1    11
 -1.2635966851862238E-01 a        42     0     3     1    12
 -8.9139417655887274E-02 a        43     0     3     1    13
 -1.6596896267739220E-01 a        44     0     3     1    14
 -2.5740078441459907E-01 a        45     0     3     1    15
  2.6542332579409872E-01 a        46     0     4     1     1
  2.5180553408964501E-01 a        47     0     4     1     2
 -1.4505197791738425E-01 a        48     0     4     1     3
 -1.7126785885802928E-01 a        49     0     4     1     4
 -1.3161066276411837E-01 a        50     0     4     1     5
  9.4514632102142268E-02 a        51     0     4     1     6
  1.8410311188501743E-01 a        52     0     4     1     7
  1.2529422147354549E-01 a        53     0     4     1     8
 -2.7372868997598987E-01 a        54     0     4     1     9
 -2.1866624273683263E-01 a        55     0     4     1    10
  2.4330727372631414E-01 a        56     0     4     1    11
 -1.0479305205752483E-01 a        57     0     4     1    12
 -8.7279194581464992E-02 a        58     0     4     1    13
 -2.1678316741117751E-01 a        59     0     4     1    14
 -1.6075751326553614E-01 a        60     0     4     1    15
  4.7461148324528246E-02 a        61     0     5     1     1
  3.0912825459119428E-02 a        62     0     5     1     2
  9.7908961314339640E-02 a        63     0     5     1     3
  1.3234191119740335E-01 a        64     0     5     1     4
  1.3195771290698896E-01 a        65     0     5     1     5
 -1.4962768728581130E-01 a        66     0     5     1     6
  1.4107092490241704E-01 a        67     0     5     1     7
  1.2989887238481493E-01 a        68     0     5     1     8
 -1.0369038311206295E-01 a        69     0     5     1     9
 -1.4029621055038707E-01 a        70     0     5     1    10
  3.1466488511328009E-02 a        71     0     5     1    11
  1.8359644248523230E-01 a        72     0     5     1    12
 -1.2948174819584582E-01 a        73     0     5     1    13
  2.7120023720094483E-01 a        74     0     5     1    14
 -2.3939578368306538E-01 a        75     0     5     1    15
 -1.0614258029781815E-01 a        76     0     6     1     1
  2.2009605273635696E-01 a        77     0     6     1     2
 -2.0269921548879455E-01 a        78     0     6     1     3
  2.3688680249537095E-01 a        79     0     6     1     4
 -2.5016748615423345E-01 a        80     0     6     1     5
 -6.4649929755795102E-02 a        81     0     6     1     6
 -2.2018764303847765E-01 a        82     0     6     1     7
  7.3094689867758073E-03 a        83     0     6     1     8
 -1.1691439140619901E-01 a        84     0     6     1     9
  1.5075899240214946E-01 a        85     0     6     1    10
 -6.3241119575833893E-02 a        86     0     6     1    11
 -1.1980552236091001E-01 a        87     0     6     1    12
  5.9848326832790642E-02 a        88     0     6     1    13
  1.6679075819862255E-01 a        89     0     6     1    14
  1.2149410453728736E-01 a        90     0     6     1    15
  2.4937191732981989E-01 a        91     0     7     1     1
  2.1892999188495413E-01 a        92     0     7     1     2
 -8.9984488882177596E-02 a        93     0     7     1     3
 -2.2035686815610545E-01 a        94     0     7     1     4
 -5.6850804187061149E-02 a        95     0     7     1     5
 -2.3570627736168526E-02 a        96     0     7     1     6
 -5.3628394691087128E-02 a        97     0     7     1     7
  1.5877021628576565E-01 a        98     0     7     1     8
  1.9127250503669027E-01 a        99     0     7     1     9
  2.7849810331306093E-02 a       100     0     7     1    10
 -2.7482182278092282E-01 a       101     0     7     1    11
  3.0511575800582569E-01 a       102     0     7     1    12
  3.4067523027122792E-01 a       103     0     7     1    13
  1.0790586009230876E-01 a       104     0     7     1    14
  8.2220466989195315E-02 a       105     0     7     1    15
  7.6328879102441544E-02 a       106     0     8     1     1
  2.9154749614887671E-01 a       107     0     8     1     2
 -3.6671516605712572E-02 a       108     0     8     1     3
  3.9386012566176902E-02 a       109     0     8     1     4
  1.5697583127858719E-01 a       110     0     8     1     5
  8.7202143482758565E-02 a       111     0     8     1     6
 -4.1662684499711627E-01 a       112     0     8     1     7
 -2.3919125874735988E-02 a       113     0     8     1     8
  2.2336742861514447E-01 a       114     0     8     1     9
 -1.3552491922185761E-01 a       115     0     8     1    10
 -4.9482511879221223E-02 a       116     0     8     1    11
  1.0544237558960046E-01 a       117     0     8     1    12
  1.9915154833884546E-01 a       118     0     8     1    13
 -2.1265386226665570E-01 a       119     0     8     1    14
 -5.9217402799723699E-02 a       120     0     8     1    15
  4.4991903384955269E-02 a       121     0     9     1     1
 -8.4685656102503740E-02 a       122     0     9     1     2
 -1.4264021864632659E-01 a       123     0     9     1     3
  2.2327260154439790E-01 a       124     0     9     1     4
  1.9073103488079138E-01 a       125     0     9     1     5
 -1.4130924032196671E-01 a       126     0     9     1     6
 -1.1518431830416431E-01 a       127     0     9     1     7
  2.1837459298574630E-01 a       128     0     9     1     8
  2.8467924130890471E-01 a       129     0     9     1     9
  1.3304729301662591E-01 a       130     0     9     1    10
 -2.8907822846874381E-01 a       131     0     9     1    11
  5.7011451091448957E-02 a       132     0     9     1    12
  3.4846580294658802E-01 a       133     0     9     1    13
  1.7844729858973848E-01 a       134     0     9     1    14
  1.1083778534691480E-01 a       135     0     9     1    15
 -1.1723728165982097E-01 a       136     0    10     1     1
 -1.9709377368406769E-01 a       137     0    10     1     2
 -2.6214501093651560E-01 a       138     0    10     1     3
 -1.4597451114866469E-01 a       139     0    10     1     4
 -2.7564452426927599E-01 a       140     0    10     1     5
 -4.3337659759712252E-02 a       141     0    10     1     6
