################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   9.0599751834064462E-06   1.0532468503252377E-04   3.6847021293483695E-05   1.7835227890378932E-05
         1          2   9.7407364273680996E-01   1.3707738052511547E+00   1.1369440745957249E+00   7.8204475954241709E-02
         1          3   7.1848939224232087E-04   4.4674859070114635E-03   2.0895924503338882E-03   7.3120307120467013E-04
         1          4   3.0839567122259073E+00   3.7813435073058117E+00   3.4528586198914479E+00   1.4064243940317567E-01
         1          5   2.2189388498896366E-02   7.9061298236177760E-02   4.6882111087211222E-02   1.1334173255596658E-02
         1          6   3.8952165155842446E+00   4.3441311727516876E+00   4.1103871329683823E+00   1.0081266947910963E-01
         1          7   2.6712677530189693E-01   5.9473970044295343E-01   4.2213464431656134E-01   6.6280004153615041E-02
         1          8   1.7488245369534026E+00   2.9970797892758503E+00   2.4245345856012994E+00   3.3547211267557536E-01
         1          9   1.2449429394722327E+00   1.9865309035277547E+00   1.5467135618608825E+00   1.4014804188096744E-01
         1         10   1.1223156151012463E+00   2.5212331659045928E+00   1.7587293340594636E+00   3.2461918457849548E-01
         1         11   2.1481809886285519E+00   2.6220186753539636E+00   2.3310995299236956E+00   8.8131868940220931E-02
         1         12   1.7776050347753969E+00   2.3809724095942562E+00   2.0364639196570287E+00   1.3155538475628456E-01
         1         13   1.3332847701336623E+00   1.5746629195008046E+00   1.4563536842862854E+00   4.2017894226929468E-02
         1         14   1.2858206220015151E+00   2.0264861435690973E+00   1.6934105509660407E+00   1.7102915724852694E-01
         1         15   2.9294864910145713E-01   4.4946746329067461E-01   3.8841663360361056E-01   2.7956119240281952E-02
         1         16   5.7872135122682389E-01   9.8756180790304138E-01   8.3451027680267298E-01   1.0555635785949488E-01
         1         17   3.8741023011800976E-02   7.2203189636502851E-02   5.8498155834017969E-02   7.5296916290790395E-03
         1         18   2.0277259701907910E-01   3.0112576816621911E-01   2.5147215506855936E-01   2.3499268876717615E-02
         1         19   3.7801436874671274E-02   7.0536882716121616E-02   4.9634849414845909E-02   6.1773772857436219E-03
         1         20   5.0064324676730065E-01   7.4508315795400393E-01   6.0180452708486698E-01   5.1996620314566748E-02
         1         21   2.1149505846062624E+00   3.0086297694152000E+00   2.4747104151629071E+00   1.7292530958618138E-01
         1         22   1.1394588610202364E-01   2.1081557230804168E-01   1.4831150247830033E-01   1.8362267327821234E-02
         1         23   2.7720108269028829E+00   3.8299737046031521E+00   3.2180772088958478E+00   2.3336401126513592E-01
         1         24   3.6286754324115291E+00   5.7694079721003462E+00   4.5677164220944064E+00   4.0055418877080567E-01
         1         25   4.7719054215943890E-05   1.2246818750522625E-04   7.4309480650870677E-05   1.4049426561453405E-05
         1         26   4.4333857694920020E-03   1.0168132968853891E-02   6.4777145172573080E-03   1.0560078551356844E-03
         1         27   1.8935344189773001E-01   2.9276868067133288E-01   2.3061829866368194E-01   1.9869300862039422E-02
         1         28   2.7495263408916379E-02   5.1213942108459864E-02   3.6085221024876483E-02   4.5471765030752828E-03
         1         29   1.5310085616939013E+00   2.1188212216180511E+00   1.7827060035919859E+00   1.2407502507443292E-01
         1         30   9.1939368654489051E-01   1.5687613774310853E+00   1.2194589135682266E+00   1.1985456906858123E-01
         1         31   1.1384194008436651E-02   2.3126249430002542E-02   1.5575425703929389E-02   2.2146366574977514E-03
         1         32   2.0448065764191017E-01   3.1629369745824271E-01   2.5154663060838439E-01   2.3850462668789839E-02
         1         33   1.1626342355721453E+00   1.6596585560150425E+00   1.3609763259982424E+00   9.7025354891777368E-02
         1         34   3.4316641363009756E-02   6.9456153312452168E-02   4.6556693792454314E-02   6.6083772055404314E-03
         1         35   1.2570958839654809E+00   1.7927721704892277E+00   1.4803334101702978E+00   1.1860808472660937E-01
         1         36   1.9184389026233208E+00   3.1127425453883695E+00   2.4371296559244371E+00   2.2052811165981689E-01
         1         37   1.3666602477642234E-05   3.6887119050541202E-05   2.2035946317575084E-05   4.3651698230108264E-06
         1         38   1.5546007659583995E-03   3.7299211557247167E-03   2.3070975415581162E-03   3.9808430326865427E-04
         1         39   9.5479248087773042E-02   1.4915614707917210E-01   1.1672777818282751E-01   1.0800506748273427E-02
         1         40   8.2256292725268500E-03   1.6899821492838266E-02   1.1302096732556745E-02   1.6295481703454669E-03
         1         41   7.1803116051488314E-01   1.0254065821299485E+00   8.4691642411810897E-01   6.5464610909852491E-02
         1         42   4.3595215959198236E-01   7.9518024924121511E-01   5.9831255803436068E-01   6.6317667245823150E-02
         1         43   1.6018052377239511E-06   6.3139472908861473E-06   3.1301163360828333E-06   8.9765713700449726E-07
         1         44   5.5894373857206029E-04   1.2582981249606507E-03   8.3605542167432918E-04   1.3725912741223585E-04
         1         45   1.9834153225893613E-02   3.6953383616309524E-02   2.6655881843534079E-02   3.2893647917617581E-03
         1         46   4.8532464966417669E-06   1.9377662342507579E-05   9.3658745542551994E-06   2.6969170145130577E-06
         1         47   5.7210047587520239E-03   1.1312250481264770E-02   7.9476527861615139E-03   1.1714188135300483E-03
         1         48   3.3967605349763015E-02   6.3249588182648642E-02   4.5545662343088468E-02   5.6959930803432901E-03
         1         49   1.5639262624940832E-09   8.3504433474424355E-09   3.7442340287849444E-09   1.1995146772038509E-09
         1         50   7.8957248103475180E-07   2.9544681844059143E-06   1.5151455992697574E-06   3.9867319456010806E-07
         1         51   7.2498799380692344E-04   1.3809328629292364E-03   9.6644345650243675E-04   1.3123931111184856E-04
         1         52   1.1513160050255675E-06   4.7893410133550682E-06   2.2589402933267828E-06   6.5898376566605286E-07
         1         53   3.6899770288464731E-03   7.1094664560615601E-03   5.0980228781949671E-03   7.3353667640361706E-04
         1         54   4.7965507914503394E-03   9.9638635159889875E-03   6.7789560394143668E-03   9.7722280949141403E-04
         1         55   1.5451956482050935E+00   2.3220436338643187E+00   1.8415448061529174E+00   1.4900811986126986E-01
         1         56   1.0376025533554987E+01   1.3514156671640476E+01   1.1711913234153355E+01   6.9043448028831678E-01
         1         57   1.5701057712031099E+01   2.1962128408086549E+01   1.8503912750199721E+01   1.2048466878386217E+00
         1         58   1.2864599135285186E+00   1.9362796091456056E+00   1.5296352202317260E+00   1.2444939857330058E-01
         1         59   1.0320708418905129E+01   1.3479378639347576E+01   1.1669078130198951E+01   6.9581154676795942E-01
         1         60   1.3090165473148904E+01   1.8879509137434660E+01   1.5695674905250963E+01   1.0931378423265394E+00
         1         61   4.3949671163273263E-01   6.6160243665646212E-01   5.2723334425502644E-01   4.2993883711551627E-02
         1         62   2.9890536869213795E+00   3.9500888865673107E+00   3.3855167809122944E+00   2.0324895614206293E-01
         1         63   4.2275144808489786E+00   6.1612946214333197E+00   5.0958280611414715E+00   3.6862169589362698E-01
         1         64   1.9185607361878140E-01   2.8944064348772180E-01   2.2731439323863328E-01   1.8996742597550752E-02
         1         65   2.9026605370229643E+00   3.8497469707096532E+00   3.3051920388798006E+00   1.9911530882407882E-01
         1         66   2.3438496537639133E+00   3.5204619280878218E+00   2.8884010974233130E+00   2.1832718765519660E-01
         1         67   6.9283609471405916E-01   1.1058987063631822E+00   8.4968265286534050E-01   7.8761639155134011E-02
