################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.6900008035541678E+00   2.2259604289900587E+00   1.9493521422059481E+00   1.5579229204414966E-01
         1          2   1.0410128310754667E+00   1.3043556152657827E+00   1.1688493215424562E+00   7.8031359846775381E-02
         1          3   1.2280898233436623E+00   1.6114844087906770E+00   1.4147961148925041E+00   1.1173161141036288E-01
         1          4   8.1430888309736238E-01   1.0022599361633562E+00   9.0547827297576622E-01   5.5533532542243406E-02
         1          5   6.9673152422506646E-01   9.0691842484151031E-01   7.9711844493010120E-01   6.0510186328114848E-02
         1          6   5.5529449417081223E-01   6.5703392695629204E-01   6.0428322573321391E-01   2.9950445360590706E-02
         1          7   3.6903472083170774E-01   4.7689193569310939E-01   4.2081046429075569E-01   3.0659521367046801E-02
         1          8   3.9399184266218290E-01   4.4840025308216952E-01   4.2018095824879581E-01   1.5981220757951876E-02
         1          9   3.5955271377248699E-01   4.0166904694189770E-01   3.7995997401802850E-01   1.2191776200508229E-02
         1         10   4.5319208714507886E-01   5.8978738938760800E-01   5.1889165336134169E-01   3.9366264399266174E-02
         1         11   2.7049748200285006E-01   2.9466714692862817E-01   2.8168425782597173E-01   6.9651493188761220E-03
         1         12   2.5902051387588709E-01   3.3195263614463549E-01   2.9258455929418614E-01   2.1259186486822363E-02
         1         13   1.8885971591383469E-01   1.9162101947545285E-01   1.8971228336834803E-01   7.6764123844818937E-04
         1         14   1.3849177138125926E-01   1.5165244474459949E-01   1.4369671019189051E-01   3.5125065965853821E-03
         1         15   7.4599291074542787E-02   8.0506568091158720E-02   7.7850024664098086E-02   1.6519218947074078E-03
         1         16   3.8518520811469753E-02   4.7430461889947824E-02   4.3329311927370676E-02   2.3714636765830130E-03
         1         17   1.8064774789736230E-02   2.5433536955657782E-02   2.1613537663958005E-02   2.1425384566113033E-03
         1         18   1.2930895906687136E-02   2.3496789766659656E-02   1.7749299178846864E-02   3.1601469551378212E-03
         1         19   1.4380409247333574E-02   2.3210746922420859E-02   1.8559883422444468E-02   2.5181598665282197E-03
         1         20   1.0948536425214843E-01   1.5426599372769015E-01   1.3040369525248674E-01   1.3249358894624058E-02
         1         21   1.1808203119821696E-02   1.8246299799651519E-02   1.4804350295359411E-02   1.8547927315305762E-03
         1         22   4.9102536901949635E-03   8.2369863458769624E-03   6.4791331467219122E-03   9.6767066223805759E-04
         1         23   6.7279390064288222E-02   9.1058992360694660E-02   7.8451228227226097E-02   6.9850361965658487E-03
         1         24   2.1422534858885080E-03   4.4190570261806944E-03   3.1692664643348939E-03   6.7653155819431907E-04
         1         25   2.8941523825341199E-03   3.9086427983007288E-03   3.3526064938812494E-03   2.9285358033916039E-04
         1         26   2.3004650775783099E-02   2.9058707607752532E-02   2.5783123498319304E-02   1.7788380916810968E-03
         1         27   2.0620086810856776E-03   2.1593185943433054E-03   2.1077397157821674E-03   2.4546099217982610E-05
         2          1   2.0824858419147456E+00   2.6108057271986627E+00   2.3376986430849138E+00   1.5620794224335890E-01
         2          2   6.7922338826070938E-01   9.3814842432512668E-01   8.0324342940239357E-01   7.8235238681482813E-02
         2          3   1.6300191754772582E+00   2.0070118961982075E+00   1.8109565459515291E+00   1.1114586556674698E-01
         2          4   4.6061110971453145E-01   6.4055747257422135E-01   5.4643438746696094E-01   5.4317237122166628E-02
         2          5   1.1116433652200177E+00   1.3143473485701325E+00   1.2085664514664267E+00   5.9935120883696090E-02
         2          6   2.1879695594521345E-01   3.1156464618461965E-01   2.6304611070464023E-01   2.7921433800278839E-02
         2          7   7.8854758458698981E-01   8.9627061977990441E-01   8.4036191649759129E-01   3.1986795944782959E-02
         2          8   8.3126726138367413E-02   1.2778530978137059E-01   1.0439951120109395E-01   1.3425128842612832E-02
         2          9   7.2024278106392581E-01   8.0250617385662248E-01   7.5991994803605611E-01   2.4394424684625139E-02
         2         10   3.5952516627930853E-01   5.0159863887376288E-01   4.2896562015614004E-01   4.2701978188976940E-02
         2         11   5.4167325233664865E-01   5.8881460490160686E-01   5.6336851565194312E-01   1.3934668637768155E-02
         2         12   2.5653023089078242E-01   4.0568103954921553E-01   3.2957847409478336E-01   4.4789301459479271E-02
         2         13   3.7765282193223393E-01   3.8299606062554803E-01   3.7942456673669611E-01   1.5402695440154249E-03
         2         14   1.3441977640514161E-01   2.8830784069297216E-01   2.0661337677044433E-01   4.6282430677179298E-02
         2         15   1.4955565904187587E-01   1.6078773250264197E-01   1.5570004932819614E-01   3.3028232759566732E-03
         2         16   1.9375234603468728E-02   1.0457578830961448E-01   5.3613028568561448E-02   2.5570358918751389E-02
         2         17   1.0788776260195804E-02   1.7762481496479611E-02   1.4036006888768288E-02   2.0825649195271561E-03
         2         18   4.9735930841237491E-04   1.2271001437566256E-03   8.2416186765028735E-04   2.1931479197126108E-04
         2         19   1.2997286793213972E-01   2.0336015004828911E-01   1.6406487278946599E-01   2.1995137721501076E-02
         2         20   3.6934045511950856E-03   9.7152524958876215E-03   6.3381843061444450E-03   1.8120524458095579E-03
         2         21   2.4767421798873295E-02   3.3726226519343636E-02   2.8956836755272441E-02   2.5278001753679369E-03
         2         22   4.2841147808617405E-02   7.2769040214052672E-02   5.6574521887691152E-02   8.8498918654507878E-03
         2         23   4.5004061303030467E-02   5.8878798360966829E-02   5.1573063596754086E-02   4.1091358092797915E-03
         2         24   3.6889476927279151E-03   7.5066312323742081E-03   5.4129591075677058E-03   1.1390185092088423E-03
         2         25   3.7295357546263417E-05   1.6158415592446132E-04   8.7486566899412622E-05   3.7309880624716382E-05
         2         26   3.4357087591547056E-02   5.0356416300135355E-02   4.1682514925831381E-02   4.7369988854008916E-03
