################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.9244900164579871E-01 a         1     0     1     1     1
 -2.9124054870841559E-02 a         2     0     1     1     2
  1.3356693920325599E-01 a         3     0     1     1     3
  2.7822964008341394E-01 a         4     0     1     1     4
 -1.5741088017800156E-01 a         5     0     1     1     5
 -8.9184023515003874E-02 a         6     0     1     1     6
  1.9782127481465853E-02 a         7     0     1     1     7
 -1.3635228144700429E-01 a         8     0     1     1     8
  6.8416509123602837E-02 a         9     0     1     1     9
  3.5311066170999283E-01 a        10     0     1     1    10
  7.3065300723987411E-02 a        11     0     1     1    11
 -1.9401063491249496E-01 a        12     0     1     1    12
  3.3230929974190787E-04 a        13     0     1     1    13
 -2.7591523251944017E-01 a        14     0     1     1    14
  3.0434499691254474E-01 a        15     0     1     1    15
 -3.1954486270379995E-01 a        16     0     2     1     1
 -2.1691767610766996E-01 a        17     0     2     1     2
 -2.5599824879429312E-01 a        18     0     2     1     3
 -8.1898677744046255E-03 a        19     0     2     1     4
  2.4070108072083726E-01 a        20     0     2     1     5
 -2.3009648816618219E-01 a        21     0     2     1     6
  1.1904687117036035E-01 a        22     0     2     1     7
 -5.5200712499840099E-02 a        23     0     2     1     8
  3.6538901883717784E-01 a        24     0     2     1     9
 -3.5463649107458506E-01 a        25     0     2     1    10
 -3.6350984007631543E-01 a        26     0     2     1    11
  1.6688347620720190E-01 a        27     0     2     1    12
 -2.7738812611500030E-01 a        28     0     2     1    13
  1.2884431339515858E-02 a        29     0     2     1    14
 -3.3421351964910417E-01 a        30     0     2     1    15
  3.8971485070032716E-02 a        31     0     3     1     1
  1.7183363284713893E-01 a        32     0     3     1     2
  1.6108662711847452E-01 a        33     0     3     1     3
 -3.7324122388357717E-01 a        34     0     3     1     4
  2.2760090598665136E-01 a        35     0     3     1     5
 -3.0646628862066733E-01 a        36     0     3     1     6
  3.4842452648557509E-01 a        37     0     3     1     7
 -1.9722518921985505E-01 a        38     0     3     1     8
 -1.2099543497723374E-01 a        39     0     3     1     9
 -2.2348184676387919E-01 a        40     0     3     1    10
  2.8341966487657155E-01 a        41     0     3     1    11
 -9.9220471057579751E-02 a        42     0     3     1    12
 -6.3265300133236405E-02 a        43     0     3     1    13
  2.0967732091461928E-02 a        44     0     3     1    14
  1.7386690153943882E-01 a        45     0     3     1    15
 -5.8801072062123358E-02 a        46     0     4     1     1
 -2.3062830031678030E-01 a        47     0     4     1     2
  1.5665268963045187E-01 a        48     0     4     1     3
 -6.5719295281918928E-03 a        49     0     4     1     4
 -8.6571021573645431E-03 a        50     0     4     1     5
  1.2368659642370041E-02 a        51     0     4     1     6
  3.1504113969341535E-01 a        52     0     4     1     7
  2.8043016519728092E-01 a        53     0     4     1     8
 -1.1889869944656710E-01 a        54     0     4     1     9
  2.7059467159664227E-02 a        55     0     4     1    10
  2.8822745406516598E-01 a        56     0     4     1    11
  9.9702683971374911E-02 a        57     0     4     1    12
 -2.8512000367569956E-01 a        58     0     4     1    13
  3.0917209201911883E-01 a        59     0     4     1    14
 -2.4044973012924347E-04 a        60     0     4     1    15
 -4.1488009599398384E-02 a        61     0     5     1     1
  3.3049114094589560E-01 a        62     0     5     1     2
 -1.0273966517369173E-02 a        63     0     5     1     3
  1.8927989180581839E-01 a        64     0     5     1     4
 -2.3238819525382617E-01 a        65     0     5     1     5
 -2.7072677426748393E-01 a        66     0     5     1     6
 -1.2599145865514444E-01 a        67     0     5     1     7
 -1.9229259682994043E-01 a        68     0     5     1     8
  1.5698466088056698E-01 a        69     0     5     1     9
 -8.2747033030891259E-02 a        70     0     5     1    10
  3.6674040883383885E-02 a        71     0     5     1    11
  1.5984334090109403E-01 a        72     0     5     1    12
  2.4775973090791464E-01 a        73     0     5     1    13
 -3.4858233284195300E-01 a        74     0     5     1    14
  2.5530896856596208E-01 a        75     0     5     1    15
  7.2500156380899641E-02 a        76     0     6     1     1
 -2.5972056478539390E-01 a        77     0     6     1     2
 -2.2658344050955934E-01 a        78     0     6     1     3
 -2.0516434135728533E-02 a        79     0     6     1     4
  3.7414179636311162E-01 a        80     0     6     1     5
 -8.9013188019508929E-02 a        81     0     6     1     6
 -1.2552103813404313E-03 a        82     0     6     1     7
 -1.4722746733225389E-01 a        83     0     6     1     8
  1.0706615513302006E-01 a        84     0     6     1     9
 -3.1560067880589371E-01 a        85     0     6     1    10
 -2.4762977712098616E-01 a        86     0     6     1    11
 -1.0270685769094052E-02 a        87     0     6     1    12
 -2.7334059597730781E-01 a        88     0     6     1    13
 -1.1047030480289535E-01 a        89     0     6     1    14
 -3.6427076787306456E-01 a        90     0     6     1    15
  6.2446922777016405E-02 a        91     0     7     1     1
 -3.8952308126787671E-01 a        92     0     7     1     2
 -2.6086210685691551E-02 a        93     0     7     1     3
  1.4560820137449648E-01 a        94     0     7     1     4
 -3.6606154387932982E-01 a        95     0     7     1     5
 -3.6794878525777841E-01 a        96     0     7     1     6
 -1.5245993357872564E-02 a        97     0     7     1     7
  1.8598678089477838E-01 a        98     0     7     1     8
 -5.4561564788332059E-02 a        99     0     7     1     9
  2.5210779504346231E-01 a       100     0     7     1    10
 -1.5790259262779849E-01 a       101     0     7     1    11
 -2.2418275685101396E-01 a       102     0     7     1    12
 -1.1523081822052453E-01 a       103     0     7     1    13
  2.2190236819285827E-01 a       104     0     7     1    14
 -3.5747988123642571E-01 a       105     0     7     1    15
 -1.3199966429626203E-01 a       106     0     8     1     1
 -2.3275549740135018E-01 a       107     0     8     1     2
  5.0093753826968963E-02 a       108     0     8     1     3
 -2.3308312339258733E-01 a       109     0     8     1     4
  3.3187816458153996E-01 a       110     0     8     1     5
 -2.8880667379550062E-01 a       111     0     8     1     6
 -1.5108700276975848E-01 a       112     0     8     1     7
 -1.1803607579637319E-01 a       113     0     8     1     8
 -2.9961643669278398E-01 a       114     0     8     1     9
 -3.2649181636680208E-01 a       115     0     8     1    10
 -6.2516126436670316E-02 a       116     0     8     1    11
 -1.8362959031917092E-01 a       117     0     8     1    12
  2.3289534798905714E-01 a       118     0     8     1    13
 -2.3879947362211645E-01 a       119     0     8     1    14
 -3.4507620502744307E-02 a       120     0     8     1    15
  2.4497268899535923E-01 a       121     0     9     1     1
  3.1546877103417514E-01 a       122     0     9     1     2
 -3.2036977879596479E-01 a       123     0     9     1     3
 -3.0014878066057316E-01 a       124     0     9     1     4
 -1.8760205415688059E-02 a       125     0     9     1     5
  1.4504668511313601E-01 a       126     0     9     1     6
  2.1584027147215029E-01 a       127     0     9     1     7
  1.4124476039566128E-01 a       128     0     9     1     8
 -1.0297597650337942E-01 a       129     0     9     1     9
  7.4424882151288882E-02 a       130     0     9     1    10
 -3.1626779835884566E-01 a       131     0     9     1    11
 -5.0606570458359340E-02 a       132     0     9     1    12
 -2.5817638971958612E-01 a       133     0     9     1    13
 -9.5752917808175381E-02 a       134     0     9     1    14
  2.8962737561812324E-01 a       135     0     9     1    15
  2.4727742178095116E-01 a       136     0    10     1     1
 -2.3130751369166375E-01 a       137     0    10     1     2
  3.7319636226086451E-02 a       138     0    10     1     3
 -3.2545101972809071E-01 a       139     0    10     1     4
  1.1947995996329257E-01 a       140     0    10     1     5
  1.8506698981424038E-01 a       141     0    10     1     6
 -7.2892871827565528E-02 a       142     0    10     1     7
  3.6023362610001941E-01 a       143     0    10     1     8
  3.0388411141645449E-01 a       144     0    10     1     9
  2.4064809605635643E-01 a       145     0    10     1    10
 -6.3318511558701662E-02 a       146     0    10     1    11
 -2.2343260851490462E-01 a       147     0    10     1    12
  1.9975814383806664E-01 a       148     0    10     1    13
  3.1064205083237284E-01 a       149     0    10     1    14
  1.7528473322631971E-01 a       150     0    10     1    15
  3.4153175437430450E-01 a       151     0    11     1     1
 -6.5278130572677534E-02 a       152     0    11     1     2
  3.1873632362649967E-01 a       153     0    11     1     3
  5.7959908582489381E-02 a       154     0    11     1     4
  1.4116680101329228E-02 a       155     0    11     1     5
  1.4307242704356110E-01 a       156     0    11     1     6
  3.1982205914885931E-02 a       157     0    11     1     7
 -2.1351244009607420E-01 a       158     0    11     1     8
  2.1185142539003451E-01 a       159     0    11     1     9
 -2.5167455826089252E-01 a       160     0    11     1    10
 -3.0708512789851605E-01 a       161     0    11     1    11
  2.1674474715370162E-01 a       162     0    11     1    12
 -1.2273846951454523E-03 a       163     0    11     1    13
 -3.2989971193431161E-01 a       164     0    11     1    14
  4.1381017364621901E-02 a       165     0    11     1    15
 -3.4414833171824977E-01 a       166     0    12     1     1
  1.0034811379435717E-01 a       167     0    12     1     2
  1.2148837951272817E-01 a       168     0    12     1     3
  8.1689020890077180E-02 a       169     0    12     1     4
 -1.0044861281441182E-01 a       170     0    12     1     5
  7.9567440479384757E-02 a       171     0    12     1     6
 -1.1039586423078035E-01 a       172     0    12     1     7
  3.1391382952864488E-01 a       173     0    12     1     8
  1.8956056946113978E-01 a       174     0    12     1     9
  2.4877430133516321E-01 a       175     0    12     1    10
 -7.0593046700963377E-02 a       176     0    12     1    11
 -3.5756130313576190E-01 a       177     0    12     1    12
  2.6941951520151847E-01 a       178     0    12     1    13
 -3.2516973404891814E-01 a       179     0    12     1    14
  3.1498609275746964E-01 a       180     0    12     1    15
 -8.8126273135127803E-02 a       181     0    13     1     1
 -4.3323829326033184E-03 a       182     0    13     1     2
  1.6416303353902614E-01 a       183     0    13     1     3
 -3.5830159254071403E-01 a       184     0    13     1     4
  2.4589895368323827E-01 a       185     0    13     1     5
 -1.8355300127609384E-01 a       186     0    13     1     6
  1.6501699148897880E-01 a       187     0    13     1     7
 -1.8921549391082243E-01 a       188     0    13     1     8
  2.2769693213888204E-01 a       189     0    13     1     9
  1.1325793776999396E-01 a       190     0    13     1    10
 -3.6260595447350868E-01 a       191     0    13     1    11
 -2.4708008046219970E-01 a       192     0    13     1    12
 -2.8171894867887095E-02 a       193     0    13     1    13
  5.8052962426254046E-02 a       194     0    13     1    14
  3.1341946266307513E-01 a       195     0    13     1    15
 -3.2971001850950032E-01 a       196     0    14     1     1
 -3.1684100436231466E-01 a       197     0    14     1     2
 -2.0281780515476888E-01 a       198     0    14     1     3
  1.0876743075788954E-01 a       199     0    14     1     4
 -3.1520484387598885E-01 a       200     0    14     1     5
 -1.9609466503724651E-01 a       201     0    14     1     6
 -7.1671282879441536E-02 a       202     0    14     1     7
  3.1519519826833742E-01 a       203     0    14     1     8
 -2.9638366660515791E-01 a       204     0    14     1     9
 -1.4248090495723456E-01 a       205     0    14     1    10
 -5.9282475377453785E-02 a       206     0    14     1    11
  2.5610548809898953E-01 a       207     0    14     1    12
 -1.2958044565827848E-02 a       208     0    14     1    13
  5.4826236974060867E-02 a       209     0    14     1    14
 -2.0987181373108044E-01 a       210     0    14     1    15
 -2.5779196633672274E-01 a       211     0    15     1     1
 -2.1441974430219363E-01 a       212     0    15     1     2
 -2.1114672120454708E-01 a       213     0    15     1     3
  5.2832342860268354E-02 a       214     0    15     1     4
 -3.0911863174583015E-01 a       215     0    15     1     5
 -2.1450403500714280E-01 a       216     0    15     1     6
 -1.9383238846037351E-01 a       217     0    15     1     7
 -1.6761836256303047E-02 a       218     0    15     1     8
 -3.1041165349535021E-01 a       219     0    15     1     9
 -6.1771820023809536E-02 a       220     0    15     1    10
  2.5978544044963381E-01 a       221     0    15     1    11
 -1.1396300409884572E-01 a       222     0    15     1    12
  2.8657209878434431E-01 a       223     0    15     1    13
 -2.0114723327242015E-01 a       224     0    15     1    14
 -1.8517277341149230E-01 a       225     0    15     1    15
 -1.5844718722733900E-01 a       226     0    16     1     1
 -2.1044669905224131E-01 a       227     0    16     1     2
  3.2376720741979703E-01 a       228     0    16     1     3
 -1.2345431462370243E-01 a       229     0    16     1     4
  2.3011884777373165E-01 a       230     0    16     1     5
 -2.2880383451612804E-01 a       231     0    16     1     6
  7.8354982488685873E-02 a       232     0    16     1     7
 -1.6484594544135370E-01 a       233     0    16     1     8
  2.3471412677758393E-03 a       234     0    16     1     9
  1.3065854401321414E-01 a       235     0    16     1    10
  3.5971734996085458E-01 a       236     0    16     1    11
  1.9524029935102094E-01 a       237     0    16     1    12
 -7.3536415258948551E-02 a       238     0    16     1    13
  2.2932888451025449E-01 a       239     0    16     1    14
 -1.9615458956917606E-01 a       240     0    16     1    15
 -3.3904508319217413E-01 a       241     0    17     1     1
 -1.8188321378875405E-01 a       242     0    17     1     2
  4.7876824761509465E-02 a       243     0    17     1     3
 -2.0961009565504526E-01 a       244     0    17     1     4
  2.2937680725999243E-01 a       245     0    17     1     5
 -2.2130391501521934E-01 a       246     0    17     1     6
  6.9345751245004750E-02 a       247     0    17     1     7
 -3.3174019470955045E-02 a       248     0    17     1     8
  1.9315707567264831E-01 a       249     0    17     1     9
  1.8754161748495340E-01 a       250     0    17     1    10
  6.2251435472201423E-03 a       251     0    17     1    11
 -4.0204875188198666E-02 a       252     0    17     1    12
  2.6793673711516469E-01 a       253     0    17     1    13
 -3.5861170452406263E-02 a       254     0    17     1    14
 -1.4167840495375164E-01 a       255     0    17     1    15
 -3.7368565754473354E-01 a       256     0    18     1     1
 -2.5392841452878290E-01 a       257     0    18     1     2
  3.4512814859333690E-01 a       258     0    18     1     3
 -1.5049536330344782E-01 a       259     0    18     1     4
 -1.2329302134864052E-01 a       260     0    18     1     5
 -2.9404275753044712E-01 a       261     0    18     1     6
  1.0501182517585342E-01 a       262     0    18     1     7
 -2.0612081470545757E-01 a       263     0    18     1     8
 -1.3519220857395492E-01 a       264     0    18     1     9
 -3.3490636155867709E-01 a       265     0    18     1    10
  7.2781500861866341E-02 a       266     0    18     1    11
  2.8371127103080801E-01 a       267     0    18     1    12
  3.5334798047801186E-01 a       268     0    18     1    13
  3.9561900579467518E-01 a       269     0    18     1    14
 -1.8563523227270232E-01 a       270     0    18     1    15
 -8.3770313771856036E-02 a       271     0    19     1     1
  1.0830320975826485E-01 a       272     0    19     1     2
 -3.5259692374029766E-01 a       273     0    19     1     3
 -3.3117767538958863E-02 a       274     0    19     1     4
  3.1514205765578135E-01 a       275     0    19     1     5
  9.9570652302385793E-02 a       276     0    19     1     6
  6.4044003783132977E-02 a       277     0    19     1     7
  1.1525599068361847E-01 a       278     0    19     1     8
 -3.6117722905120331E-01 a       279     0    19     1     9
 -3.4901728958331096E-01 a       280     0    19     1    10
 -1.6921893455146400E-01 a       281     0    19     1    11
 -1.6041636003978482E-01 a       282     0    19     1    12
 -1.1671628401042471E-01 a       283     0    19     1    13
  6.2004258299196764E-02 a       284     0    19     1    14
 -8.3043977659806228E-02 a       285     0    19     1    15
  3.6560616442006016E-01 a       286     0    20     1     1
  5.1632558496942415E-03 a       287     0    20     1     2
 -1.6657313572870519E-01 a       288     0    20     1     3
  1.7355406121599551E-01 a       289     0    20     1     4
  3.1262020690945791E-01 a       290     0    20     1     5
  2.0578707563772627E-01 a       291     0    20     1     6
 -9.1095375069030260E-02 a       292     0    20     1     7
  3.1355813636472038E-02 a       293     0    20     1     8
 -1.2947163432129138E-01 a       294     0    20     1     9
  1.1874412366535526E-01 a       295     0    20     1    10
  3.7315286491348409E-01 a       296     0    20     1    11
  3.4247153423899346E-01 a       297     0    20     1    12
  8.0498514252662037E-02 a       298     0    20     1    13
 -1.3309422741048424E-01 a       299     0    20     1    14
  1.9400472544900332E-01 a       300     0    20     1    15
 -9.0230286955585604E-02 a       301     0    21     1     1
  4.4503661041164030E-02 a       302     0    21     1     2
 -1.3653349073680218E-01 a       303     0    21     1     3
  7.4436956721906733E-04 a       304     0    21     1     4
  2.6325624816188126E-01 a       305     0    21     1     5
  1.6198853743120648E-01 a       306     0    21     1     6
 -1.2189824013389940E-01 a       307     0    21     1     7
 -3.4247780384323867E-01 a       308     0    21     1     8
  2.2181473689036968E-01 a       309     0    21     1     9
 -3.5505566465906901E-01 a       310     0    21     1    10
  5.3238278939155462E-02 a       311     0    21     1    11
  2.7735342312496208E-01 a       312     0    21     1    12
  1.3110630597328904E-01 a       313     0    21     1    13
 -3.3447047250852391E-01 a       314     0    21     1    14
 -1.7950181183704497E-01 a       315     0    21     1    15
 -2.1646117315816021E-01 a       316     0    22     1     1
 -1.1701505984139125E-01 a       317     0    22     1     2
 -1.8517801480809837E-01 a       318     0    22     1     3
 -3.3780463794711374E-01 a       319     0    22     1     4
 -3.0407929584144905E-01 a       320     0    22     1     5
  3.8159564828079149E-03 a       321     0    22     1     6
 -1.1843285298101669E-02 a       322     0    22     1     7
 -4.8022047602739169E-02 a       323     0    22     1     8
 -2.5377083446977561E-01 a       324     0    22     1     9
  1.7714765802970261E-01 a       325     0    22     1    10
 -1.1800022583720672E-01 a       326     0    22     1    11
  1.4878993397438187E-01 a       327     0    22     1    12
 -1.3597406620974334E-01 a       328     0    22     1    13
