################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.0770318149875953E+01   1.9986398163731312E+01   1.5743821889794004E+01   1.1811294669196695E+00
         1          2   7.8312775891892521E+00   1.9026924919587330E+01   1.4627464272348128E+01   1.3991210665860847E+00
         1          3   5.2287534502987143E-01   3.8141380911012730E+00   2.1103743851065158E+00   4.9579949887052388E-01
         1          4  -1.5543122344752192E-15   1.6579324287122832E-01   9.7841041210104777E-03   1.2416965578542126E-02
         1          5   8.4632164887299410E-07   4.4379506330220853E-01   5.4373317731267461E-02   5.5899533822951500E-02
         1          6   2.4394543912101829E-02   4.3142690427210102E+00   1.3623025761500003E+00   7.7237303355901965E-01
         1          7   6.8706479057903946E-03   1.3131159448690370E+00   3.2700091023303485E-01   2.0503436165401862E-01
         1          8   1.0764675633144916E-01   2.3291770324719794E+00   8.9267237397895693E-01   3.5317824974029721E-01
         1          9   1.4002302154398407E+00   1.1823007840905614E+01   6.2160038099819497E+00   1.2813554811197465E+00
         1         10   5.3477351451739341E-01   3.5853960625993455E+00   1.7886120377963679E+00   4.8170446482741447E-01
         1         11   6.6938877197329925E+00   2.2780154923081366E+01   1.4782862949083480E+01   2.0707727502900801E+00
         1         12   1.3710541859538115E+00   5.2505979592825911E+00   3.0846141976198549E+00   5.9443102844654661E-01
         1         13   1.5294754831709664E+01   3.7168763545438878E+01   2.5581652815073703E+01   2.5858200899069512E+00
         1         14   1.2477248736782487E-01   3.2139666520467502E-01   2.2970627086661496E-01   1.8189956271748162E-02
         1         15   2.4905992117991849E-01   5.1266970165686565E-01   3.8621741665909887E-01   2.4695561666683425E-02
         1         16   9.1801484475507888E-01   3.7779547390997159E+00   1.6779701612264089E+00   4.3215618195327871E-01
         1         17   4.8661658599089908E-01   1.2464130664796027E+00   7.5090321062817023E-01   9.8266020690496919E-02
         1         18   7.0400649123739278E-01   2.4455378972814081E+00   1.2721638193766069E+00   2.4653618676208328E-01
         1         19   6.8332227390056133E-01   1.3437659977418182E+01   5.4176102967321000E+00   1.5869769209226949E+00
         1         20   9.3159811724544406E-01   3.9761713203949642E+00   2.0763674220555082E+00   4.3227796058287543E-01
         1         21   3.9381864829255417E+00   2.3315215132150293E+01   1.3615207680921213E+01   2.3955922018341669E+00
         1         22   1.4629405570046021E+00   5.8816319844481075E+00   3.2515379213034152E+00   6.1714112456700509E-01
         1         23   9.6939336001263943E+00   3.7833644465588371E+01   2.2462397581257605E+01   3.7382525941196265E+00
         1         24  -1.7763568394002505E-15   2.3772083001581290E-02   4.5574528426809303E-04   8.4339525841937448E-04
         1         25  -1.3322676295501878E-15   8.6562277422057909E-02   6.1653384914609685E-03   8.2740351239212282E-03
         1         26  -1.7763568394002505E-15   1.4100891851342134E+00   2.5526522806996405E-01   2.5588897734458743E-01
         1         27  -1.7763568394002505E-15   3.4737367978637013E-01   5.6028203142713374E-02   5.6676976983962048E-02
         1         28  -1.7763568394002505E-15   7.0475929803101289E-01   1.5718079528286294E-01   1.2992173607677063E-01
         1         29  -6.6613381477509392E-16   3.1532460601819374E+00   9.3536514194868059E-01   6.0612705388964983E-01
         1         30   1.5217856355420611E-04   1.0734899430352809E+00   2.9802357783586103E-01   2.0608975869846163E-01
         1         31   7.1599490789923115E-03   5.5610710668407730E+00   1.7639889122304782E+00   8.4913036627713445E-01
         1         32   5.6970389119334053E-03   1.4409094458787184E+00   4.8152001401516226E-01   2.7249634580370724E-01
         1         33   8.8369361932250423E-02   7.5425872037501200E+00   3.2324969019432173E+00   1.1371343181324518E+00
         1         34   8.2462306757590866E+00   2.8131309654034975E+01   1.7583309322271525E+01   2.7005875435417090E+00
         1         35   2.4810270446417945E+01   8.3490428787600052E+01   5.1620630730954467E+01   7.8229298428358893E+00
         1         36   3.8213403872742390E+01   1.3399268389366674E+02   8.3246853700356624E+01   1.2511495098191897E+01
         1         37   2.5021268785945132E+01   9.2397701025516398E+01   5.7272511119926826E+01   8.6213290037298904E+00
         1         38   2.2382339587123724E+01   8.5219923089860103E+01   5.2534552017576075E+01   7.9141348319530103E+00
         1         39   8.0370241695844733E+00   3.2601601950582371E+01   2.0057198216375767E+01   3.0702602026469581E+00
         1         40   1.6931535944862880E+01   5.6926564890258909E+01   3.7240473570311671E+01   4.7996180186619348E+00
         1         41   4.0370492753359905E+01   1.5410483087625499E+02   9.8248656902031058E+01   1.4373967265800120E+01
         1         42   6.0192683916505828E+01   2.4432953738558845E+02   1.5662973142499033E+02   2.2959395052994211E+01
         1         43   3.9262302330503424E+01   1.6810298743867904E+02   1.0706582546429206E+02   1.5831911907435323E+01
         1         44   3.5116594977863414E+01   1.5265580990243916E+02   9.7952251583358944E+01   1.4450444578712318E+01
         1         45   1.1673995895577544E+01   5.9724259491508924E+01   3.7109991415166355E+01   5.5768149391062281E+00
         1         46   1.0023330902681222E+00   1.1018150106971305E+01   5.4389215137885794E+00   1.4347579555551704E+00
         1         47   3.0023752082446449E+00   2.9319739423061648E+01   1.4454614912557457E+01   3.9515939375152818E+00
         1         48   4.4790551699643633E+00   4.5130417192290643E+01   2.2620748561081665E+01   6.0983333793997243E+00
         1         49   2.8443760013673307E+00   3.0439954665741482E+01   1.5282937103388720E+01   4.1299452901682825E+00
         1         50   2.6787250892029832E+00   2.7767190694014843E+01   1.3997588949576697E+01   3.8079081624772653E+00
         1         51   1.1234250425775465E+00   1.1440947317424198E+01   5.3542205933772751E+00   1.5089020912310827E+00
         1         52   5.9623853546519481E+00   2.9745510915059722E+01   1.7393370201945430E+01   2.9639834287452183E+00
         1         53   1.2452345268593449E+01   7.3038089055790920E+01   4.1894061392626533E+01   8.0818649939351612E+00
         1         54   1.9214002650447274E+01   1.1662543448321061E+02   6.9572298302767308E+01   1.3706892801651017E+01
         1         55   1.2503287178082664E+01   8.6095623597928807E+01   4.8965357813195126E+01   1.0090617512341291E+01
         1         56   1.0722871603838465E+01   7.9870675361271097E+01   4.5142560174570939E+01   9.2847750886499298E+00
         1         57   3.4010841446956124E+00   3.1639561628297159E+01   1.7370383938901863E+01   3.6947401150542811E+00
         1         58   1.3457874073380038E+00   9.6584542522569308E+00   5.2617009319517640E+00   1.2486638117293218E+00
         1         59   2.1097632571102398E+00   2.5263460375296415E+01   1.2916669268854649E+01   3.3676066832457940E+00
         1         60   3.4708533375902597E+00   4.0514761912452641E+01   2.0609412772851503E+01   5.3780915323067608E+00
         1         61   2.5075666662412552E+00   2.9767124572793993E+01   1.4135657918879614E+01   3.8360059105354818E+00
         1         62   2.3978670830272164E+00   2.7910683974979150E+01   1.2975661589425545E+01   3.4995598981769214E+00
         1         63   7.6458186209218426E-01   1.0060858125847639E+01   4.9882380253470195E+00   1.4276024237913671E+00
         1         64   3.2259144583412377E-03   5.7339332488173567E-01   1.4306397927264281E-01   8.8608699648347597E-02
         1         65   2.7736049077714441E-02   2.6579677980696803E+00   6.9754204374623163E-01   3.7478277834420881E-01
         1         66   7.0684973204101331E-02   4.5755775380305019E+00   1.3150951302257565E+00   6.5981115172504401E-01
         1         67   5.4367825162013592E-02   3.6111397565896737E+00   9.7985203575016511E-01   5.2184210313273549E-01
