################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -8.0080144822938362E+00 a         1     0     1     1     1
  2.2090435882245330E+00 a         2     0     1     1     2
  1.0290693704206223E+01 a         3     0     1     1     3
 -2.8417139830274922E+00 a         4     0     1     1     4
 -2.8526241158413090E+00 a         5     0     1     1     5
 -9.4645546531270219E-01 a         6     0     1     1     6
  6.1415566370839629E+00 a         7     0     1     1     7
  2.1363851070147483E-01 a         8     0     1     1     8
  3.2617069746963709E+00 a         9     0     1     1     9
 -1.4182211548670178E+00 a        10     0     1     1    10
  2.3693590116344461E+00 a        11     0     1     1    11
 -9.9221711756408730E+00 a        12     0     1     1    12
  7.2400551171497032E+00 a        13     0     1     1    13
  3.6169275386382185E+00 a        14     0     1     1    14
 -7.7499761466918766E+00 a        15     0     1     1    15
 -8.0210653620027728E+00 a        16     0     1     1    16
  1.4764781202734159E+01 a        17     0     1     1    17
  3.6295756480079904E+00 a        18     0     1     1    18
 -9.9800220940048778E-01 a        19     0     1     1    19
 -8.9417148805152831E+00 a        20     0     1     1    20
 -2.0043699908613175E+00 a        21     0     1     1    21
 -4.2354066441247538E+00 a        22     0     1     1    22
 -2.1699482246785680E+00 a        23     0     1     1    23
 -5.3961515631073578E+00 a        24     0     1     1    24
 -6.3863026277481305E+00 a        25     0     1     1    25
  1.9683476771876054E+00 a        26     0     1     1    26
 -2.4678358791451966E+00 a        27     0     1     1    27
 -2.9543614115730654E+00 a        28     0     1     1    28
  1.7876871592822536E+00 a        29     0     1     1    29
  4.9212749063860795E+00 a        30     0     1     1    30
  1.2232210673279283E+01 a        31     0     2     1     1
  2.2234640406788384E+00 a        32     0     2     1     2
  2.7351745986105289E+00 a        33     0     2     1     3
  1.6970146042135649E+01 a        34     0     2     1     4
  7.4548210825054708E+00 a        35     0     2     1     5
  1.6530956814050821E+01 a        36     0     2     1     6
 -6.0142405997336796E+00 a        37     0     2     1     7
  1.8279819708033389E+00 a        38     0     2     1     8
  1.0853195826121659E+01 a        39     0     2     1     9
 -6.9179658889049422E+00 a        40     0     2     1    10
 -1.5994297647508591E+00 a        41     0     2     1    11
 -4.2234425106452962E+00 a        42     0     2     1    12
 -8.7863042344507980E-01 a        43     0     2     1    13
  1.2827967448991356E-01 a        44     0     2     1    14
  8.9851668670358933E+00 a        45     0     2     1    15
 -7.9497422120021344E-01 a        46     0     2     1    16
 -4.7953859667281795E-01 a        47     0     2     1    17
  3.9826550416012960E+00 a        48     0     2     1    18
  7.0634136051966812E-01 a        49     0     2     1    19
  1.4776961948906658E-01 a        50     0     2     1    20
 -5.4659569321985069E-01 a        51     0     2     1    21
 -1.2350049156730551E+00 a        52     0     2     1    22
 -4.6965060905626803E+00 a        53     0     2     1    23
 -1.3266788411411850E+00 a        54     0     2     1    24
 -7.1499990025827698E-01 a        55     0     2     1    25
  7.3631503451048124E+00 a        56     0     2     1    26
 -3.7356137649714438E-01 a        57     0     2     1    27
 -1.7661859900775281E+00 a        58     0     2     1    28
  3.1663704824029693E+00 a        59     0     2     1    29
 -6.1130719891691800E+00 a        60     0     2     1    30
 -1.9714017978728338E+00 a        61     0     3     1     1
 -1.3923278425298147E+00 a        62     0     3     1     2
 -9.8697683471843345E-01 a        63     0     3     1     3
 -7.1262652365963808E-01 a        64     0     3     1     4
  9.5400275950841209E+00 a        65     0     3     1     5
  8.6566030566285301E-01 a        66     0     3     1     6
 -1.4577949159722980E+00 a        67     0     3     1     7
  1.9145227638310052E+00 a        68     0     3     1     8
  1.0102518694345802E-01 a        69     0     3     1     9
  8.3730751826762404E+00 a        70     0     3     1    10
  1.2934817062433470E+00 a        71     0     3     1    11
 -7.2972061645521373E+00 a        72     0     3     1    12
 -6.9463656226862271E+00 a        73     0     3     1    13
  3.2266910507204791E+00 a        74     0     3     1    14
 -6.7352174258563453E+00 a        75     0     3     1    15
 -6.1733813127176884E-01 a        76     0     3     1    16
 -3.0415277002146959E+00 a        77     0     3     1    17
  3.7231122957607155E+00 a        78     0     3     1    18
  8.0659351427534243E-01 a        79     0     3     1    19
 -4.2003427419630155E+00 a        80     0     3     1    20
  3.7180335792394539E+00 a        81     0     3     1    21
 -1.0826907486576876E+00 a        82     0     3     1    22
  4.4742316238978108E-01 a        83     0     3     1    23
 -3.6373590333193730E+00 a        84     0     3     1    24
  1.2041213393086658E+00 a        85     0     3     1    25
 -3.6420223199326411E+00 a        86     0     3     1    26
 -3.3015813808266917E-02 a        87     0     3     1    27
  2.1280403639259569E+00 a        88     0     3     1    28
 -3.9736837562465079E+00 a        89     0     3     1    29
 -4.8546639832441185E-01 a        90     0     3     1    30
  5.2320718082075706E+00 a        91     0     4     1     1
 -8.8780125725376244E+00 a        92     0     4     1     2
  4.5055017557061321E+00 a        93     0     4     1     3
  3.2189948005008420E-02 a        94     0     4     1     4
 -6.9674283793363967E-01 a        95     0     4     1     5
 -4.9368938023767353E+00 a        96     0     4     1     6
  9.8848239189178280E+00 a        97     0     4     1     7
 -8.4271360804483941E-01 a        98     0     4     1     8
  1.3814708496581870E+01 a        99     0     4     1     9
  3.4563008794579542E-01 a       100     0     4     1    10
 -1.1660179130342160E+01 a       101     0     4     1    11
 -3.6078324205347827E+00 a       102     0     4     1    12
 -1.0140943818455446E+01 a       103     0     4     1    13
  3.3378874927013000E+00 a       104     0     4     1    14
  1.0499040166073681E+00 a       105     0     4     1    15
 -7.9595288052838309E-01 a       106     0     4     1    16
  4.0177970917741606E+00 a       107     0     4     1    17
  1.4279057564434673E+01 a       108     0     4     1    18
 -6.6143506420987750E+00 a       109     0     4     1    19
  6.5031679277173895E+00 a       110     0     4     1    20
  8.4261623458506882E+00 a       111     0     4     1    21
  6.5973670699895957E+00 a       112     0     4     1    22
  1.7952236757057543E+00 a       113     0     4     1    23
 -4.0997307846352466E+00 a       114     0     4     1    24
 -7.1490342645013607E+00 a       115     0     4     1    25
 -3.8258530117236647E+00 a       116     0     4     1    26
  1.4746764108933247E+01 a       117     0     4     1    27
  1.3410884642563792E+01 a       118     0     4     1    28
 -4.9218470183282941E+00 a       119     0     4     1    29
  2.4513490821111339E+00 a       120     0     4     1    30
  3.1707232322979810E+00 a       121     0     5     1     1
 -5.5252362210164039E+00 a       122     0     5     1     2
  4.8292808737997399E+00 a       123     0     5     1     3
 -1.7032006109102142E+00 a       124     0     5     1     4
 -3.2289525763128579E+00 a       125     0     5     1     5
 -5.2423765825138329E+00 a       126     0     5     1     6
 -7.1212017151819902E+00 a       127     0     5     1     7
  3.1064862941893150E+00 a       128     0     5     1     8
 -4.5455982693018226E+00 a       129     0     5     1     9
 -1.7479603287029191E+00 a       130     0     5     1    10
  9.0759137918162143E+00 a       131     0     5     1    11
  2.9317524176534939E+00 a       132     0     5     1    12
  3.0415352735528582E+00 a       133     0     5     1    13
 -3.9751923118222514E+00 a       134     0     5     1    14
 -9.3788894458025087E+00 a       135     0     5     1    15
  1.7409434120762894E+00 a       136     0     5     1    16
  2.4689108484712881E+00 a       137     0     5     1    17
 -3.6143831986559488E-01 a       138     0     5     1    18
 -9.0206010285339104E+00 a       139     0     5     1    19
 -3.1877193212757695E+00 a       140     0     5     1    20
 -1.2285170334331985E+00 a       141     0     5     1    21
 -6.4870668516790806E+00 a       142     0     5     1    22
  2.7510935781920414E+00 a       143     0     5     1    23
  1.9775510181580627E+00 a       144     0     5     1    24
  1.0853157702741956E+00 a       145     0     5     1    25
  5.8212943959309822E+00 a       146     0     5     1    26
 -1.7583290384967469E+01 a       147     0     5     1    27
 -8.4056337232549438E+00 a       148     0     5     1    28
  2.5876247569103659E+00 a       149     0     5     1    29
  4.3231252240823403E+00 a       150     0     5     1    30
  3.1376841339809280E-01 a       151     0     6     1     1
 -4.0709405518169319E+00 a       152     0     6     1     2
 -9.0925283988613899E+00 a       153     0     6     1     3
 -8.1627333612751158E+00 a       154     0     6     1     4
  6.8972209327054719E+00 a       155     0     6     1     5
  6.0980595616682907E+00 a       156     0     6     1     6
  8.4207708244030055E+00 a       157     0     6     1     7
 -3.6116814572330966E+00 a       158     0     6     1     8
  1.1001805935188463E+01 a       159     0     6     1     9
 -9.1371431502944844E+00 a       160     0     6     1    10
 -1.7937957484714335E+00 a       161     0     6     1    11
 -1.2364603018198645E+01 a       162     0     6     1    12
 -6.7837986173810974E+00 a       163     0     6     1    13
  7.5687054828742495E+00 a       164     0     6     1    14
 -1.0190046111263671E+01 a       165     0     6     1    15
 -1.8744230991177147E+00 a       166     0     6     1    16
 -5.0630008992543010E+00 a       167     0     6     1    17
  3.0195621521490055E+00 a       168     0     6     1    18
 -1.6687355857311825E+01 a       169     0     6     1    19
  2.0123528506264918E+00 a       170     0     6     1    20
  1.2760730993527252E+00 a       171     0     6     1    21
  3.1398227250523947E+00 a       172     0     6     1    22
  5.2013611160693278E+00 a       173     0     6     1    23
  3.9320637613434717E+00 a       174     0     6     1    24
 -7.0014488025663946E+00 a       175     0     6     1    25
 -3.5251046645010140E+00 a       176     0     6     1    26
  7.2788988953483260E+00 a       177     0     6     1    27
  5.1689065560904339E+00 a       178     0     6     1    28
 -1.3955318316854722E+01 a       179     0     6     1    29
 -5.6497312184518238E+00 a       180     0     6     1    30
  1.0814323960244585E+00 a       181     0     7     1     1
 -3.6716853847794244E+00 a       182     0     7     1     2
  1.4554998835752404E+00 a       183     0     7     1     3
 -5.3564841979605218E+00 a       184     0     7     1     4
 -1.7402501581840562E+00 a       185     0     7     1     5
 -2.2242597075361639E+00 a       186     0     7     1     6
 -9.1525009709232066E+00 a       187     0     7     1     7
  2.2103822633840098E+00 a       188     0     7     1     8
 -9.6513004817900292E+00 a       189     0     7     1     9
 -2.5061749372792392E+00 a       190     0     7     1    10
  8.2668806955377896E+00 a       191     0     7     1    11
  7.4998353023785869E-01 a       192     0     7     1    12
  3.8220834217640403E+00 a       193     0     7     1    13
 -3.0647929034661296E+00 a       194     0     7     1    14
 -6.7767820725873689E+00 a       195     0     7     1    15
  1.7638123522437366E+00 a       196     0     7     1    16
  7.7653012440164582E-01 a       197     0     7     1    17
 -2.8085376700842435E+00 a       198     0     7     1    18
  2.0278077122949789E+01 a       199     0     7     1    19
 -6.6976054956098459E+00 a       200     0     7     1    20
 -1.0233671396856754E+00 a       201     0     7     1    21
 -5.6823195481636350E+00 a       202     0     7     1    22
  3.3281140330170927E-01 a       203     0     7     1    23
  3.8925713547823624E+00 a       204     0     7     1    24
 -9.7585882994033668E-01 a       205     0     7     1    25
  2.6598156785563916E+00 a       206     0     7     1    26
 -1.0864032439151687E+01 a       207     0     7     1    27
 -1.2212311858007501E+01 a       208     0     7     1    28
  3.6641150198755010E+00 a       209     0     7     1    29
 -6.5297673914992025E+00 a       210     0     7     1    30
  7.2065877741791073E+00 a       211     0     8     1     1
 -1.4934468810542021E+00 a       212     0     8     1     2
 -1.1175905157698898E+00 a       213     0     8     1     3
 -6.0065196302021944E+00 a       214     0     8     1     4
  2.3029180490095142E+00 a       215     0     8     1     5
  7.8709629023473537E+00 a       216     0     8     1     6
 -8.3396870418766529E+00 a       217     0     8     1     7
  3.4319790411440918E+00 a       218     0     8     1     8
 -3.6281451021775069E+00 a       219     0     8     1     9
 -8.8876497180545826E+00 a       220     0     8     1    10
  1.3477583425742103E+00 a       221     0     8     1    11
  7.8337033082206027E+00 a       222     0     8     1    12
