################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.5369504107014866E+00 a         1     0     1     1     1
  2.5396762681640106E+00 a         2     0     1     1     2
  5.3737086807515388E-01 a         3     0     1     1     3
  3.3181932998498191E+00 a         4     0     1     1     4
  3.3981664467635913E+00 a         5     0     1     1     5
  3.2465972875061313E+00 a         6     0     1     1     6
 -1.2403935054144948E+00 a         7     0     1     1     7
  1.1307419369244407E+00 a         8     0     1     1     8
  8.4866583151700026E-01 a         9     0     1     1     9
  7.6140092891142785E-01 a        10     0     1     1    10
  3.3739810113376794E+00 a        11     0     1     1    11
 -3.5028092681158909E+00 a        12     0     1     1    12
  1.4745993853393073E+00 a        13     0     1     1    13
  1.1081649365446951E+00 a        14     0     1     1    14
 -3.6522674441852532E-01 a        15     0     1     1    15
  1.8013731727753872E+00 a        16     0     1     1    16
  6.4473949657733931E-01 a        17     0     1     1    17
 -1.8897655255018206E+00 a        18     0     1     1    18
 -2.8797270652304743E+00 a        19     0     1     1    19
  4.7358582495094304E+00 a        20     0     1     1    20
  8.9497367876562617E-01 a        21     0     1     1    21
 -5.9979238386008715E-01 a        22     0     1     1    22
 -6.2029062408324993E+00 a        23     0     1     1    23
  1.4841013053889547E+00 a        24     0     1     1    24
 -4.2337402404705848E-01 a        25     0     1     1    25
 -4.8423132565005034E-01 a        26     0     2     1     1
 -4.9549149754103644E-01 a        27     0     2     1     2
  9.3104303701160596E-01 a        28     0     2     1     3
  1.9540960757003016E+00 a        29     0     2     1     4
  4.2376922693734755E+00 a        30     0     2     1     5
 -2.7271027313772609E+00 a        31     0     2     1     6
  2.1582732186477331E+00 a        32     0     2     1     7
 -1.4332564004991794E-01 a        33     0     2     1     8
 -2.3619676627300470E-01 a        34     0     2     1     9
  2.6898227423718629E-01 a        35     0     2     1    10
  3.7452186602811608E+00 a        36     0     2     1    11
 -1.9374213998844403E+00 a        37     0     2     1    12
  1.6164305649583353E+00 a        38     0     2     1    13
  4.7856650305411037E+00 a        39     0     2     1    14
  5.9317731612542834E-01 a        40     0     2     1    15
 -1.1748391855770293E+00 a        41     0     2     1    16
 -7.9204542293086622E-01 a        42     0     2     1    17
  1.5991077119236101E+00 a        43     0     2     1    18
 -1.6410056375191431E+00 a        44     0     2     1    19
  2.0394598945410802E-01 a        45     0     2     1    20
  1.5177999824312389E+00 a        46     0     2     1    21
 -2.8449242418852638E-01 a        47     0     2     1    22
  1.7158339717498070E+00 a        48     0     2     1    23
 -8.2576714725380340E-01 a        49     0     2     1    24
 -6.0384305773984115E-01 a        50     0     2     1    25
 -1.6615228926257042E+00 a        51     0     3     1     1
  2.1019980813239825E-01 a        52     0     3     1     2
  2.8976731747304645E+00 a        53     0     3     1     3
  5.1591873279295344E+00 a        54     0     3     1     4
  2.9578519581752793E+00 a        55     0     3     1     5
  1.5922593170366808E+00 a        56     0     3     1     6
  1.9708021381212191E+00 a        57     0     3     1     7
  1.7522264377470143E-01 a        58     0     3     1     8
 -7.2744693304019725E-01 a        59     0     3     1     9
  5.6864048834071079E-01 a        60     0     3     1    10
  2.1185073757589721E+00 a        61     0     3     1    11
  2.2137675460624312E-01 a        62     0     3     1    12
  1.5004000701801765E+00 a        63     0     3     1    13
  3.3376862065889976E+00 a        64     0     3     1    14
  7.5809549958819689E-01 a        65     0     3     1    15
  8.3661664872419966E-02 a        66     0     3     1    16
  9.6849074314036177E-01 a        67     0     3     1    17
  7.4521614669691527E-01 a        68     0     3     1    18
 -1.2359085834555514E+00 a        69     0     3     1    19
  5.8994870842785452E-01 a        70     0     3     1    20
 -1.6261704189098432E+00 a        71     0     3     1    21
 -1.3407155465071025E-01 a        72     0     3     1    22
 -2.2788980414484157E+00 a        73     0     3     1    23
  5.9726184489456058E-01 a        74     0     3     1    24
  2.7859367291242004E-01 a        75     0     3     1    25
