################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.2546559757006401E+01   2.2343237809189908E+01   1.7734001143187928E+01   1.5596535256693718E+00
         1          2   8.4533975944444197E+00   2.1378779062642725E+01   1.4885243204618567E+01   1.5871257822529075E+00
         1          3   7.9657391793830357E-12   1.0513500116637253E-01   1.1261160053477924E-02   1.2038805389511614E-02
         1          4   3.2997737249129688E-04   3.1113020951761805E-01   6.0626282023127649E-02   5.4291529654562604E-02
         1          5   1.5720242124501316E-01   4.7256846191877742E+00   1.5556007191186063E+00   8.1649964464959968E-01
         1          6   3.5752850090918997E-02   1.1592433021208004E+00   3.7312762322190912E-01   2.1349296622080433E-01
         1          7   2.6206282443333084E-01   2.4378489559361651E+00   1.0449960051979448E+00   4.0805586442113517E-01
         1          8   2.5821153643652530E+00   1.2794766759988073E+01   7.5130296376665928E+00   1.4891343054266262E+00
         1          9   6.9778339100918063E-01   3.9769851182683120E+00   2.1015392604699823E+00   6.0101308833116851E-01
         1         10   8.5324837037667152E+00   2.3546437703374927E+01   1.5918683552428156E+01   2.2759350502150575E+00
         1         11   1.5119723535932765E+00   5.9038933591739546E+00   3.5934926372302365E+00   7.7524836078321291E-01
         1         12   1.6580918248956802E+01   4.0274494709533137E+01   2.8547335650502522E+01   2.9444637993862446E+00
         1         13   1.5221829849547830E-01   2.9838454964920813E-01   2.2872753891630551E-01   1.7508427448017064E-02
         1         14   2.8906994167262723E-01   4.7884690846049305E-01   3.8897782076968046E-01   2.2160473442697660E-02
         1         15   1.2372708366562235E+00   3.9050979054798409E+00   1.8736489455075844E+00   2.9250480103403287E-01
         1         16   5.9435951834012546E-01   1.2554307977700960E+00   7.9127552044115068E-01   6.8871393296862454E-02
         1         17   9.0641050046735971E-01   2.6629626722354978E+00   1.3745239054093017E+00   1.9158056413794630E-01
         1         18   1.4518879387119599E+00   1.4304905990949930E+01   5.6516688787416589E+00   1.6455028258248543E+00
         1         19   1.3082280042611956E+00   4.5267890533831912E+00   2.2297170718049215E+00   3.6884535265454182E-01
         1         20   5.0222131059497048E+00   2.4997839839437475E+01   1.3374858966201369E+01   2.6607953227781573E+00
         1         21   1.8771357878995758E+00   6.5988113977254068E+00   3.4362059203438395E+00   5.6597320336964529E-01
         1         22   7.0153315416294948E+00   3.7193435117007851E+01   2.2751999873847460E+01   3.8708970076340701E+00
         1         23   1.0466011331190366E+01   3.5920230473543590E+01   2.3123927695433384E+01   3.9744229289012516E+00
         1         24   3.1407729274565483E+01   1.0401738843325803E+02   6.6105737514679220E+01   1.1722348997880802E+01
         1         25   5.1953808005467771E+01   1.6792456174664284E+02   1.0568808481727804E+02   1.8738756250124165E+01
         1         26   3.6631405125687685E+01   1.1595656018025753E+02   7.2461531813491845E+01   1.2897889522962057E+01
         1         27   3.3368267044783970E+01   1.0752473124808681E+02   6.6428912601389229E+01   1.1798125884415610E+01
         1         28   1.2739493368476229E+01   4.0384642180645791E+01   2.5361590401427087E+01   4.5573289045654350E+00
         1         29   2.5373693987483545E+01   6.9415090420987568E+01   4.3712011981856847E+01   6.2170040677462817E+00
         1         30   5.2707593124605211E+01   1.8922530072300341E+02   1.1262852164121868E+02   1.8663230872909676E+01
         1         31   7.8477865443126134E+01   3.0064453633619149E+02   1.7885807885739868E+02   2.9661861098635576E+01
         1         32   5.2065809714239450E+01   2.0502422468819088E+02   1.2199893212779403E+02   2.0375669964423579E+01
         1         33   4.5700092472036665E+01   1.8735557891995970E+02   1.1163419548335656E+02   1.8581186681569751E+01
         1         34   1.5522877800033205E+01   7.4164525762651607E+01   4.2340699411936740E+01   7.2297823507150341E+00
         1         35   7.8464158105759463E+00   3.8593508365228693E+01   1.8693809315894406E+01   3.4511236204372473E+00
         1         36   1.2488805050471340E+01   9.4608712603725749E+01   4.3630475935501650E+01   9.6608999490772263E+00
         1         37   2.0905688982633144E+01   1.4542304333167073E+02   7.1757206248228655E+01   1.6219012471416441E+01
         1         38   1.3334306098988312E+01   1.0043870807947989E+02   5.0336264423895003E+01   1.1872214246052058E+01
         1         39   1.0616706120903871E+01   9.3332037497405821E+01   4.6435673854453121E+01   1.0906242354818291E+01
         1         40   3.3889235540003240E+00   3.8661250616489326E+01   1.7854023513103343E+01   4.3946058502183885E+00
         1         41  -6.4369109024905057E-19   1.6445624201060316E-03   2.1026341793914263E-04   3.2342937211760715E-04
         1         42  -3.0594259008690694E-18   1.4548204566661713E-02   1.1690267211096135E-03   1.7696416796497026E-03
         1         43   0.0000000000000000E+00   2.2146299805505150E-02   1.3206171560634047E-03   2.0430000265411921E-03
         1         44   0.0000000000000000E+00   2.1769350304090843E-02   5.3236669988874650E-04   1.1336721414443791E-03
         1         45   0.0000000000000000E+00   2.2179573493440123E-02   4.7053145108945078E-04   1.1199771849501501E-03
         1         46  -5.1075201666984216E-20   1.3751905556960925E-02   2.1159854666204548E-04   6.4253806310641387E-04
         1         47   1.5138498305898993E-09   3.4601506432543609E-02   5.5820465985605286E-03   6.1679672004732351E-03
         1         48   4.0319148082154855E-07   2.4729939260894374E-01   3.4333405523974701E-02   3.7484843225019868E-02
         1         49   6.5892911618642728E-05   3.8762882820672118E-01   4.9522386907086234E-02   5.1731428038941298E-02
         1         50   4.0520506500407146E-05   3.1613431077511872E-01   2.9175465042555700E-02   3.1824568818230842E-02
         1         51   7.2889364232276555E-05   3.0399333429488035E-01   2.5752715455774660E-02   2.9323673555592088E-02
         1         52   7.5964116631821895E-06   1.4051223480825670E-01   1.0016118122947563E-02   1.3724531338194240E-02
         1         53   2.6083280383815220E-04   1.9720923525963810E-01   4.8571046697338270E-02   3.5309409102935306E-02
         1         54   1.7405381105677423E-03   1.1981040832923155E+00   2.4287411417687402E-01   1.9159260384263760E-01
         1         55   1.4326896009393309E-02   1.8671439020136209E+00   3.7777694427533209E-01   2.8486518989755732E-01
         1         56   9.1675664967257788E-03   1.4075238990124990E+00   2.4470099440134480E-01   1.8376648749543767E-01
         1         57   1.0892682080305045E-02   1.3052542323371481E+00   2.1988645408623148E-01   1.6584404833108735E-01
         1         58   2.6961280704837914E-03   5.7294615830939477E-01   8.4522654939658798E-02   7.0327655468921293E-02
         1         59   1.1707643670648969E-01   1.0330736647842006E+01   3.3349411417241677E+00   1.4534416636890315E+00
         1         60   6.6585679925327956E-01   3.4501206484900599E+01   1.1456585133335579E+01   4.7666638680566491E+00
         1         61   1.7942187257523878E+00   5.4045045265068872E+01   1.8553637867128007E+01   7.5503799099127695E+00
         1         62   1.5385445116634804E+00   3.7892479630869417E+01   1.2841571582300940E+01   5.2501272939742849E+00
         1         63   1.5373743457312383E+00   3.4360077781694031E+01   1.1878879073033742E+01   4.8067539012628799E+00
         1         64   3.5585890522366720E-01   1.2772059661863997E+01   4.6027601996319376E+00   1.9200552755526270E+00
         1         65   1.3038743147928944E-02   6.9422755135590608E-01   2.3519400005093749E-01   1.2512682717514029E-01
         1         66   4.3032557345656038E-02   3.1218800567276586E+00   9.4526224280026105E-01   5.5365072534674631E-01
         1         67   1.2442752171322150E-01   5.2196904498452215E+00   1.4998834744787473E+00   8.4729854917684855E-01
         1         68   1.1162428428665291E-01   3.7722287968065631E+00   1.0037234405334878E+00   5.5902038913904917E-01
         1         69   1.1113265795097929E-01   3.4489359134464559E+00   9.1308827385426783E-01   5.0452452317000640E-01
         1         70   2.8286725600118197E-02   1.4004804828845114E+00   3.5167817887335340E-01   2.0640060676515160E-01
         1         71   5.1138317074537856E+00   3.8408583386156167E+01   1.7660916607978784E+01   5.2093955435920902E+00
         1         72   1.1740412260770380E+01   1.1813132009555655E+02   5.3559485757544024E+01   1.5498044683406425E+01
         1         73   2.1188885893761928E+01   1.8659768249020874E+02   8.5463658051982449E+01   2.4609398939388853E+01
         1         74   1.6023736173052860E+01   1.2588472502903002E+02   5.8509954138677458E+01   1.6935780660511149E+01
