################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -8.5559815049257306E+00 a         1     0     1     1     1
  2.4455922401502130E+00 a         2     0     1     1     2
  4.7522987330844790E+00 a         3     0     1     1     3
 -1.0544783349437394E+00 a         4     0     1     1     4
  1.5860148045724824E+01 a         5     0     1     1     5
  5.2740934002911546E+00 a         6     0     1     1     6
 -9.5856767902945546E+00 a         7     0     1     1     7
  2.0208327915361588E+00 a         8     0     1     1     8
 -1.9221356432217263E-01 a         9     0     1     1     9
  7.5509300171317122E+00 a        10     0     1     1    10
  6.2488419702363194E+00 a        11     0     1     1    11
  2.6500993233507542E+00 a        12     0     1     1    12
 -5.2976905163930770E+00 a        13     0     1     1    13
 -4.8296586807394855E+00 a        14     0     1     1    14
  1.0750476036231758E+00 a        15     0     1     1    15
 -5.5679934068210435E-01 a        16     0     1     1    16
  6.4518972784428490E+00 a        17     0     1     1    17
 -7.1327132812553842E+00 a        18     0     1     1    18
 -4.0392860056000508E+00 a        19     0     1     1    19
  5.8010102453890440E+00 a        20     0     1     1    20
 -8.9590987302254632E+00 a        21     0     1     1    21
  1.0731310874487839E+01 a        22     0     1     1    22
  5.1548460695436893E-01 a        23     0     1     1    23
  6.1343221569693815E+00 a        24     0     1     1    24
  1.4235283083426873E+00 a        25     0     1     1    25
 -4.9169480836061492E+00 a        26     0     2     1     1
 -7.9769803801795396E+00 a        27     0     2     1     2
 -1.4353198359731416E+00 a        28     0     2     1     3
  2.5859753346393188E+00 a        29     0     2     1     4
  1.2998899000677383E+01 a        30     0     2     1     5
 -3.0058509859378448E+00 a        31     0     2     1     6
  2.3428175954307708E+01 a        32     0     2     1     7
 -5.2965336655135999E+00 a        33     0     2     1     8
  1.0429193716860453E+01 a        34     0     2     1     9
  7.6452203557715643E+00 a        35     0     2     1    10
  2.1156153724827798E+00 a        36     0     2     1    11
 -9.5104829181514425E+00 a        37     0     2     1    12
 -1.1260896921327607E+01 a        38     0     2     1    13
 -7.4313861462858000E-01 a        39     0     2     1    14
 -1.2099211359122032E+01 a        40     0     2     1    15
 -3.8078794322987894E+00 a        41     0     2     1    16
  6.5263320236671598E+00 a        42     0     2     1    17
 -7.0181738280440555E+00 a        43     0     2     1    18
  1.2754346067739859E+00 a        44     0     2     1    19
 -1.2160813658403619E+01 a        45     0     2     1    20
  1.7046398372248357E+00 a        46     0     2     1    21
 -5.1466591039032084E+00 a        47     0     2     1    22
 -4.0322403609694053E+00 a        48     0     2     1    23
  2.8446741865839238E+00 a        49     0     2     1    24
 -5.6755848432248941E+00 a        50     0     2     1    25
  3.0569416997418963E-01 a        51     0     3     1     1
 -2.0339726363366561E+00 a        52     0     3     1     2
  5.4275862953199927E-01 a        53     0     3     1     3
  8.4247361446310143E-01 a        54     0     3     1     4
 -2.0096270087087298E+00 a        55     0     3     1     5
  3.5457341879134208E+00 a        56     0     3     1     6
  6.2493448144074373E+00 a        57     0     3     1     7
  4.4367957430080218E-01 a        58     0     3     1     8
  7.5249083597456607E+00 a        59     0     3     1     9
 -5.2983749425939477E+00 a        60     0     3     1    10
 -1.1447204380018845E+00 a        61     0     3     1    11
  2.0371105291844023E+00 a        62     0     3     1    12
  4.9460343173087198E+00 a        63     0     3     1    13
 -2.5324198443863527E-01 a        64     0     3     1    14
 -6.8210242278387163E+00 a        65     0     3     1    15
  5.2913525991079347E-01 a        66     0     3     1    16
 -1.1858834803588463E+01 a        67     0     3     1    17
  2.0281285870296055E+00 a        68     0     3     1    18
 -7.4323083735041240E-01 a        69     0     3     1    19
 -3.6630569048996651E+00 a        70     0     3     1    20
  5.5559397845550196E+00 a        71     0     3     1    21
 -3.4351264830745003E+00 a        72     0     3     1    22
  6.1768023469299504E-01 a        73     0     3     1    23
  2.0749818921593999E+00 a        74     0     3     1    24
 -2.5626468655688139E+00 a        75     0     3     1    25
 -1.3202441000101630E+00 a        76     0     4     1     1
  2.8538550305518856E-02 a        77     0     4     1     2
 -9.6019553345805086E-01 a        78     0     4     1     3
  3.4022479966873895E+00 a        79     0     4     1     4
  5.4968466118466992E+00 a        80     0     4     1     5
 -6.0087214708032732E+00 a        81     0     4     1     6
 -6.1882809075966945E+00 a        82     0     4     1     7
 -6.8184722309183643E-01 a        83     0     4     1     8
 -1.3375705013665093E+00 a        84     0     4     1     9
  9.7521840098765082E+00 a        85     0     4     1    10
  9.3680139667398663E+00 a        86     0     4     1    11
  3.0574474852324185E+00 a        87     0     4     1    12
 -6.3422643036360196E+00 a        88     0     4     1    13
 -1.6227424970545004E+00 a        89     0     4     1    14
  4.1353881168607126E-01 a        90     0     4     1    15
  1.3316483852554977E+00 a        91     0     4     1    16
  4.3136543409627164E+00 a        92     0     4     1    17
  6.7723830444559008E+00 a        93     0     4     1    18
  6.5621518357273692E+00 a        94     0     4     1    19
  8.6800897939306132E-01 a        95     0     4     1    20
 -7.8877300531312589E-01 a        96     0     4     1    21
 -3.8698963042552945E+00 a        97     0     4     1    22
 -3.8319416333295337E+00 a        98     0     4     1    23
  2.6260680834500723E+00 a        99     0     4     1    24
  1.6251295723207098E+00 a       100     0     4     1    25
 -5.5735377514171125E-01 a       101     0     5     1     1
  2.0051785182859159E+00 a       102     0     5     1     2
  6.6962545646613005E+00 a       103     0     5     1     3
  2.5425548387171437E+00 a       104     0     5     1     4
 -3.6794366823752940E+00 a       105     0     5     1     5
  1.2030172764726759E+00 a       106     0     5     1     6
  2.0203803082009184E+00 a       107     0     5     1     7
  1.0689292000624320E+01 a       108     0     5     1     8
 -8.4440010346032490E-01 a       109     0     5     1     9
 -2.2600549082739501E+00 a       110     0     5     1    10
 -5.7875718744057583E+00 a       111     0     5     1    11
  5.5007380754678952E+00 a       112     0     5     1    12
  1.7024864471041243E+00 a       113     0     5     1    13
 -1.3032359113338730E+01 a       114     0     5     1    14
 -5.0066376932295418E+00 a       115     0     5     1    15
  2.1400235856255891E+00 a       116     0     5     1    16
  1.5291487496222489E+00 a       117     0     5     1    17
  4.4059464236330657E+00 a       118     0     5     1    18
  1.1144657471482894E+01 a       119     0     5     1    19
 -1.1090276935753343E+01 a       120     0     5     1    20
 -7.0209977418309144E+00 a       121     0     5     1    21
  1.1634459160603861E+00 a       122     0     5     1    22
 -9.4122451424860731E+00 a       123     0     5     1    23
  3.3283319340176551E+00 a       124     0     5     1    24
 -9.4962875505863149E+00 a       125     0     5     1    25
 -1.0753583381496806E+01 a       126     0     6     1     1
 -5.4609514294287917E+00 a       127     0     6     1     2
 -4.1128791813129792E+00 a       128     0     6     1     3
 -1.2980505992952660E+01 a       129     0     6     1     4
 -8.4319528116278004E+00 a       130     0     6     1     5
  2.6916323811332741E+00 a       131     0     6     1     6
  4.1173114753271172E+00 a       132     0     6     1     7
  1.4517070606227620E+00 a       133     0     6     1     8
 -2.8477398086114674E+00 a       134     0     6     1     9
  1.7355015630613344E+00 a       135     0     6     1    10
  1.7250558320974116E+00 a       136     0     6     1    11
 -7.9970276305450856E+00 a       137     0     6     1    12
 -4.7779842556284198E+00 a       138     0     6     1    13
 -8.7207557780373648E+00 a       139     0     6     1    14
 -4.8205523949638431E+00 a       140     0     6     1    15
  6.7245143009176700E-01 a       141     0     6     1    16
  2.8340887554933003E-01 a       142     0     6     1    17
  3.3497438610027888E+00 a       143     0     6     1    18
  2.8804821120795681E+00 a       144     0     6     1    19
 -5.9041335162935935E+00 a       145     0     6     1    20
 -1.4848002578011865E+00 a       146     0     6     1    21
 -6.2591669115254245E-01 a       147     0     6     1    22
  2.1192308145691118E+01 a       148     0     6     1    23
  8.8285210993609908E-01 a       149     0     6     1    24
 -6.3130574310312175E+00 a       150     0     6     1    25
 -1.5704937470015987E+00 a       151     0     7     1     1
  6.7611809515041987E-01 a       152     0     7     1     2
  8.1559863031612867E+00 a       153     0     7     1     3
  3.9270115239514021E+00 a       154     0     7     1     4
  8.0365319137990561E+00 a       155     0     7     1     5
  1.1408379765434110E-01 a       156     0     7     1     6
 -2.4154698368651717E+00 a       157     0     7     1     7
 -6.4185058527317249E+00 a       158     0     7     1     8
 -6.3530147117874556E+00 a       159     0     7     1     9
 -1.0300638522442572E+01 a       160     0     7     1    10
 -2.5171111984091286E+00 a       161     0     7     1    11
  1.4346366450085095E+00 a       162     0     7     1    12
 -1.3304527621670990E+01 a       163     0     7     1    13
  5.3440054715077174E+00 a       164     0     7     1    14
 -4.7752111845859284E+00 a       165     0     7     1    15
  5.6996056931561228E+00 a       166     0     7     1    16
 -7.9407992418087998E+00 a       167     0     7     1    17
 -6.8536026180721965E+00 a       168     0     7     1    18
 -1.0711888650381090E+01 a       169     0     7     1    19
  2.4505342833618038E-01 a       170     0     7     1    20
 -4.3922395588198606E+00 a       171     0     7     1    21
  5.5178492498544873E-01 a       172     0     7     1    22
 -4.8792817141000047E+00 a       173     0     7     1    23
 -5.1325176047438585E+00 a       174     0     7     1    24
 -5.4022673676284061E+00 a       175     0     7     1    25
 -1.7450986580904615E+00 a       176     0     8     1     1
 -2.0857681787602300E+00 a       177     0     8     1     2
  3.3767537084375467E+00 a       178     0     8     1     3
 -1.2182668398329699E+00 a       179     0     8     1     4
 -4.4813014658077348E+00 a       180     0     8     1     5
  3.4420996861792021E+00 a       181     0     8     1     6
  3.2454815776290897E+00 a       182     0     8     1     7
 -4.5227047921354613E+00 a       183     0     8     1     8
  6.7799419181386513E+00 a       184     0     8     1     9
 -1.1903584323039825E+01 a       185     0     8     1    10
 -2.7223908495259308E+00 a       186     0     8     1    11
 -4.7321011194404500E-01 a       187     0     8     1    12
 -6.1092257950544511E+00 a       188     0     8     1    13
  5.4895492716221366E+00 a       189     0     8     1    14
 -1.6338164188681257E+00 a       190     0     8     1    15
  1.1277139003032529E+01 a       191     0     8     1    16
 -3.3604518374573411E-01 a       192     0     8     1    17
  5.0324773412481543E+00 a       193     0     8     1    18
  5.5190045818889044E-01 a       194     0     8     1    19
 -8.0739653112982630E+00 a       195     0     8     1    20
  2.3182343608141337E-01 a       196     0     8     1    21
 -7.2752730220072390E+00 a       197     0     8     1    22
 -3.6054885240998058E-01 a       198     0     8     1    23
 -1.3142640398422461E+01 a       199     0     8     1    24
  7.1465780543501847E+00 a       200     0     8     1    25
  7.5183831819176081E+00 a       201     0     9     1     1
  2.9478878274850411E+00 a       202     0     9     1     2
 -8.1539641377180487E+00 a       203     0     9     1     3
  1.6331939279698631E+00 a       204     0     9     1     4
  3.3670818176037733E+00 a       205     0     9     1     5
 -1.8919172818695511E+00 a       206     0     9     1     6
  3.7866941325142678E+00 a       207     0     9     1     7
 -2.1688455257165606E+00 a       208     0     9     1     8
 -2.8769808982541201E+00 a       209     0     9     1     9
 -8.1245314227365206E+00 a       210     0     9     1    10
  1.4805493121030247E+00 a       211     0     9     1    11
  3.2509793154226454E+00 a       212     0     9     1    12
  2.1041498098520948E+00 a       213     0     9     1    13
  7.9799571475096975E+00 a       214     0     9     1    14
 -2.1949901731590886E+00 a       215     0     9     1    15
 -8.0908749194256935E-01 a       216     0     9     1    16
 -7.3129676794482235E+00 a       217     0     9     1    17
 -1.0319589334641524E+01 a       218     0     9     1    18
 -2.0389800124914292E+00 a       219     0     9     1    19
  6.9525158971063590E+00 a       220     0     9     1    20
  4.2115246519100769E+00 a       221     0     9     1    21
  2.2370277559006819E+00 a       222     0     9     1    22
 -4.8393467643934969E+00 a       223     0     9     1    23
 -5.1214408194652217E+00 a       224     0     9     1    24
  5.0160134560600929E+00 a       225     0     9     1    25
  1.0638615105610261E+00 a       226     0    10     1     1
  9.7818550481210265E-01 a       227     0    10     1     2
 -1.1563523862737251E+00 a       228     0    10     1     3
  9.8453512388483189E-01 a       229     0    10     1     4
 -5.1528565685883754E+00 a       230     0    10     1     5
 -4.7337879400034666E+00 a       231     0    10     1     6
  8.9788972890266692E+00 a       232     0    10     1     7
  4.2652882359018096E-01 a       233     0    10     1     8
 -1.0302258172803562E+01 a       234     0    10     1     9
  5.4999420894932536E+00 a       235     0    10     1    10
  5.3923145094191502E+00 a       236     0    10     1    11
 -3.7232850508430002E+00 a       237     0    10     1    12
 -6.8970489437888620E+00 a       238     0    10     1    13
 -1.5840794804287139E+00 a       239     0    10     1    14
  1.7169188089004842E-01 a       240     0    10     1    15
  1.9648502314459890E+01 a       241     0    10     1    16
 -8.0744717790128995E+00 a       242     0    10     1    17
 -1.3433935923744658E-01 a       243     0    10     1    18
  8.9210187496738076E+00 a       244     0    10     1    19
 -9.0342893458165907E+00 a       245     0    10     1    20
  7.3462053868897463E+00 a       246     0    10     1    21
 -1.2703699286654917E+00 a       247     0    10     1    22
 -5.6864959717654184E-01 a       248     0    10     1    23
 -1.3644263450370872E+01 a       249     0    10     1    24
  6.3185108276854578E+00 a       250     0    10     1    25
  1.7047220426091605E+00 a       251     0    11     1     1
 -7.5015113906764616E-02 a       252     0    11     1     2
 -4.1380405892273213E+00 a       253     0    11     1     3
  5.4695988995005540E-01 a       254     0    11     1     4
 -1.1278081605956256E+01 a       255     0    11     1     5
  3.6090085862829835E-01 a       256     0    11     1     6
  6.1879661688405774E+00 a       257     0    11     1     7
  1.0482472293870837E+01 a       258     0    11     1     8
 -1.4635289295140994E-01 a       259     0    11     1     9
 -1.6705933901074963E+00 a       260     0    11     1    10
  1.6804893710750135E+00 a       261     0    11     1    11
 -4.2124688096850349E+00 a       262     0    11     1    12
  1.5883344670486316E+01 a       263     0    11     1    13
  3.4013163945483607E+00 a       264     0    11     1    14
  1.5496837480731045E+00 a       265     0    11     1    15
 -1.4898982067373119E+00 a       266     0    11     1    16
  1.1818736714544111E+00 a       267     0    11     1    17
 -7.2587779385475129E+00 a       268     0    11     1    18
  3.7418398478882966E+00 a       269     0    11     1    19
  9.4909666560050141E+00 a       270     0    11     1    20
  4.8822251465574400E+00 a       271     0    11     1    21
  3.8343007691231787E+00 a       272     0    11     1    22
  3.3507977123295727E+00 a       273     0    11     1    23
 -4.7784555511545879E+00 a       274     0    11     1    24
  1.2313460849612209E+01 a       275     0    11     1    25
  8.5469297882344544E-02 a       276     0    12     1     1
 -1.7985607003836032E-01 a       277     0    12     1     2
  2.1156873293655036E+00 a       278     0    12     1     3
 -1.6810220192239533E+00 a       279     0    12     1     4
 -8.3646273469893000E+00 a       280     0    12     1     5
 -3.5599078542902398E+00 a       281     0    12     1     6
  7.9528065619694921E-01 a       282     0    12     1     7
 -1.5005964907145810E+00 a       283     0    12     1     8
 -8.3713112710538198E+00 a       284     0    12     1     9
  7.9893166136497511E+00 a       285     0    12     1    10
  6.8328876094405384E+00 a       286     0    12     1    11
  3.8718827991647267E+00 a       287     0    12     1    12
  1.6016434828923782E+00 a       288     0    12     1    13
  4.3197777296180071E+00 a       289     0    12     1    14
  8.4689518622586828E+00 a       290     0    12     1    15
 -6.1406288315193187E+00 a       291     0    12     1    16
 -1.6164718716221598E+00 a       292     0    12     1    17
 -4.6079492966177513E+00 a       293     0    12     1    18
  7.0589020945161538E+00 a       294     0    12     1    19
  3.9902699890259017E+00 a       295     0    12     1    20
 -3.4302429028301744E+00 a       296     0    12     1    21
  9.3558325285731865E+00 a       297     0    12     1    22
  4.3035541883723460E-01 a       298     0    12     1    23
 -4.7392101275216820E+00 a       299     0    12     1    24
  1.1777555495090788E-01 a       300     0    12     1    25
 -5.1599444770423126E+00 a       301     0    13     1     1
  2.1491302342388305E+01 a       302     0    13     1     2
  1.7258796601499700E+01 a       303     0    13     1     3
  1.3204184665898046E+01 a       304     0    13     1     4
  3.7294218639518677E+00 a       305     0    13     1     5
 -5.0347138427096114E+00 a       306     0    13     1     6
 -1.1496048868283449E+01 a       307     0    13     1     7
  1.3162049468074905E+01 a       308     0    13     1     8
  1.9621331491404386E+00 a       309     0    13     1     9
  1.2094039146266361E-02 a       310     0    13     1    10
  3.4776261540699949E+00 a       311     0    13     1    11
 -2.3542958825434643E-01 a       312     0    13     1    12
  1.0138899544106179E-01 a       313     0    13     1    13
  1.0191220361998733E+01 a       314     0    13     1    14
  5.3644654432543177E+00 a       315     0    13     1    15
  2.1565480116426872E+00 a       316     0    13     1    16
 -1.0640752972499753E+01 a       317     0    13     1    17
 -1.0254584187066330E+01 a       318     0    13     1    18
 -3.3662272439317520E-01 a       319     0    13     1    19
  1.2309323322805200E+01 a       320     0    13     1    20
 -1.8674516948497140E+00 a       321     0    13     1    21
 -3.0438894853091893E+00 a       322     0    13     1    22
 -9.2110073816335341E+00 a       323     0    13     1    23
 -1.7454436576153969E+00 a       324     0    13     1    24
  1.3875880190723578E+01 a       325     0    13     1    25
  4.2714792278991460E+00 a       326     0    14     1     1
 -2.4047867324006184E+01 a       327     0    14     1     2
 -1.5068366888504755E+01 a       328     0    14     1     3
 -1.0718516144299814E+01 a       329     0    14     1     4
 -6.1456679538313450E+00 a       330     0    14     1     5
 -8.7870139536169090E-01 a       331     0    14     1     6
  8.1435764359571809E+00 a       332     0    14     1     7
 -9.8139906542893485E+00 a       333     0    14     1     8
  4.6374912416407428E+00 a       334     0    14     1     9
 -3.4812519277404426E+00 a       335     0    14     1    10
 -4.4182524336812099E+00 a       336     0    14     1    11
  2.0615051360221144E+00 a       337     0    14     1    12
  3.7343660151910201E+00 a       338     0    14     1    13
 -1.0253938495539794E+01 a       339     0    14     1    14
 -6.3321909640929626E+00 a       340     0    14     1    15
 -1.6094361761928215E+00 a       341     0    14     1    16
  1.2547767943792820E+01 a       342     0    14     1    17
  1.5975230644797847E+01 a       343     0    14     1    18
  4.4832150405520671E-01 a       344     0    14     1    19
 -1.2005390245412865E+01 a       345     0    14     1    20
  7.1970988381625778E-01 a       346     0    14     1    21
  4.8268359634670546E+00 a       347     0    14     1    22
  8.5335182308370836E+00 a       348     0    14     1    23
  1.0140470720926098E+00 a       349     0    14     1    24
 -1.7409555512056173E+01 a       350     0    14     1    25
 -9.4895043825037302E+00 a       351     0    15     1     1
  1.6423015042293191E+01 a       352     0    15     1     2
  1.7866111086453291E+00 a       353     0    15     1     3
 -9.3406595045438827E+00 a       354     0    15     1     4
  2.0188260104983788E+00 a       355     0    15     1     5
 -8.6037386278562344E+00 a       356     0    15     1     6
  8.9420295753983225E-01 a       357     0    15     1     7
  8.4530089615785311E+00 a       358     0    15     1     8
  6.1686629371702306E+00 a       359     0    15     1     9
  6.6184845665849750E+00 a       360     0    15     1    10
  1.2205453535179284E+01 a       361     0    15     1    11
  3.1953979618855444E+00 a       362     0    15     1    12
 -6.2852723188387249E-01 a       363     0    15     1    13
  1.3299564007644172E+01 a       364     0    15     1    14
 -1.1379620651484029E+01 a       365     0    15     1    15
  1.2347889228647459E+01 a       366     0    15     1    16
 -4.8199387739810522E+00 a       367     0    15     1    17
 -1.0675611835319826E+01 a       368     0    15     1    18
  4.2066981425615610E+00 a       369     0    15     1    19
  4.6164226325670761E+00 a       370     0    15     1    20
  1.0878062411537085E+01 a       371     0    15     1    21
  6.8817322977816131E+00 a       372     0    15     1    22
  2.0431633929421302E+01 a       373     0    15     1    23
 -3.6496584543911443E+00 a       374     0    15     1    24
  3.6256014666413590E+00 a       375     0    15     1    25
  8.5340556120436659E+00 a       376     0    16     1     1
  6.9278355411130628E+00 a       377     0    16     1     2
  4.0158257983490628E+00 a       378     0    16     1     3
  6.6373123340836813E+00 a       379     0    16     1     4
  9.5282086574769256E+00 a       380     0    16     1     5
 -6.3700568732453986E+00 a       381     0    16     1     6
 -2.1058859806050195E-01 a       382     0    16     1     7
 -1.4766318271734595E+00 a       383     0    16     1     8
  3.4570622370079249E+00 a       384     0    16     1     9
  1.7624026535386013E+00 a       385     0    16     1    10
 -2.0641395324723333E+00 a       386     0    16     1    11
  1.5650320992033663E+01 a       387     0    16     1    12
  4.9691264980366556E+00 a       388     0    16     1    13
  9.6072618808570320E-01 a       389     0    16     1    14
 -6.4942045784985529E+00 a       390     0    16     1    15
  1.2609996219858328E+01 a       391     0    16     1    16
  3.0641150142299649E+00 a       392     0    16     1    17
  1.2687927766968190E+00 a       393     0    16     1    18
  5.9459765035234859E+00 a       394     0    16     1    19
  1.4630398111749759E-01 a       395     0    16     1    20
 -4.9980983927754652E+00 a       396     0    16     1    21
  6.5267948490495264E+00 a       397     0    16     1    22
 -2.1534791990433096E+01 a       398     0    16     1    23
  1.0315104314631700E+00 a       399     0    16     1    24
 -4.0705137454522502E+00 a       400     0    16     1    25
  1.7555438172115210E+01 a       401     0    17     1     1
 -1.6273351086562933E+01 a       402     0    17     1     2
 -3.1236334087420672E+00 a       403     0    17     1     3
  1.5440518298558468E+01 a       404     0    17     1     4
  3.9824876327934131E+00 a       405     0    17     1     5
  1.7071433035716932E+01 a       406     0    17     1     6
  3.8857013961867657E+00 a       407     0    17     1     7
 -1.5032401347789524E+01 a       408     0    17     1     8
 -5.2831187684416587E+00 a       409     0    17     1     9
  2.5046711335730293E-01 a       410     0    17     1    10
 -2.3494108500033737E+00 a       411     0    17     1    11
 -7.5300731535918519E+00 a       412     0    17     1    12
  5.3529050240736229E+00 a       413     0    17     1    13
 -6.6984591476355000E+00 a       414     0    17     1    14
  2.3486125828660751E+00 a       415     0    17     1    15
 -8.7088588255100996E-01 a       416     0    17     1    16
  3.6931137768732554E+00 a       417     0    17     1    17
  2.5735606305299483E+00 a       418     0    17     1    18
 -1.0572108061222783E+01 a       419     0    17     1    19
  7.0939367746046518E+00 a       420     0    17     1    20
 -1.4023652195269284E+01 a       421     0    17     1    21
  4.7272399894459856E+00 a       422     0    17     1    22
  6.1885279360818393E+00 a       423     0    17     1    23
  6.2389095770231604E+00 a       424     0    17     1    24
 -3.6930075520087451E+00 a       425     0    17     1    25
  1.2766867645210855E+01 a       426     0    18     1     1
  8.4234072104761886E+00 a       427     0    18     1     2
  2.7858456822569559E+00 a       428     0    18     1     3
  3.1396444023214065E+00 a       429     0    18     1     4
  6.1903851941801662E+00 a       430     0    18     1     5
