################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.0603925015903508E+00   9.4965695104242709E+00   2.3170049685689307E+00   6.0291714647628103E-01
         1          2   6.7796114362233972E-01   4.9479235550030474E+00   1.3516388250000126E+00   3.0132099735988388E-01
         1          3   7.2920094626195009E-01   7.0577178720222475E+00   1.6834256403163406E+00   4.5040991998204222E-01
         1          4   5.1373593943747675E-01   3.7289832753466952E+00   1.0351608390526674E+00   2.2481295470908944E-01
         1          5   3.9539412587303108E-01   4.1045353053466718E+00   9.3097859431809005E-01   2.6291145927474097E-01
         1          6   3.5804940311939948E-01   2.2554909574121358E+00   6.6092691006837234E-01   1.3080089483157395E-01
         1          7   1.8919103878435897E-01   2.2165691039158446E+00   4.6830619635729820E-01   1.4026352904964970E-01
         1          8   2.6704178695764313E-01   1.3252854646485042E+00   4.3069258596333004E-01   7.0698192491763540E-02
         1          9   2.3432552582413152E-01   9.5985894006838979E-01   3.6743404992714473E-01   4.7432783101305803E-02
         1         10   2.2248910067848982E-01   2.7482551313965367E+00   5.5345454298508212E-01   1.7663490137583926E-01
         1         11   1.3374237955415089E-01   5.7555780466104955E-01   2.6990104908476592E-01   2.4553366433103990E-02
         1         12   1.2079214864210941E-01   1.7161109364147793E+00   3.0087930171836863E-01   1.0103080388436764E-01
         1         13   4.8458872613975419E-02   3.7352302087895262E-01   1.8498122968279135E-01   1.9469353470254566E-02
         1         14   2.7024966891331988E-02   9.0698364912022389E-01   1.4929129615023826E-01   4.6843428338165509E-02
         1         15   2.4543106515324499E-03   2.8537946241644763E-01   7.5788154289220699E-02   1.8743382725519665E-02
         1         16   2.2422507599479169E-04   3.1547402145398762E-01   4.4027433743690288E-02   2.2165000790726617E-02
         1         17   1.4524293730525610E-04   1.3987663656796817E-01   1.8541276177581546E-02   8.5897803459035141E-03
         1         18   4.2080717513700025E-03   5.7034297600008665E-01   2.4522940310061470E-02   3.1439097986530745E-02
         1         19   1.6305025910327636E-04   2.1823891010342389E-01   1.7848825079488349E-02   1.1897287697748784E-02
         1         20   4.8122777334757713E-02   1.6493827087912631E+00   1.4955099057474797E-01   9.2003659726696427E-02
