################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -6.3780078762439345E+00 a         1     0     1     1     1
  2.3773369945677036E+01 a         2     0     1     1     2
 -3.8139555435352124E+00 a         3     0     1     1     3
 -9.5424036326425155E-01 a         4     0     1     1     4
  1.7821800681402571E+01 a         5     0     1     1     5
 -8.4392286556085438E-01 a         6     0     1     1     6
  3.2493961859122908E+00 a         7     0     1     1     7
  2.6377364663380639E+01 a         8     0     1     1     8
 -1.2987868086347396E+01 a         9     0     1     1     9
 -7.8410794639204022E+00 a        10     0     1     1    10
 -1.3660766455442957E+01 a        11     0     1     1    11
  2.5174880447358605E-01 a        12     0     1     1    12
  1.9268511255181164E+00 a        13     0     1     1    13
 -5.3191081245397012E+00 a        14     0     1     1    14
 -1.0841952754031464E+01 a        15     0     1     1    15
  1.9685040390484183E+01 a        16     0     1     1    16
 -1.0263609953724213E+00 a        17     0     1     1    17
  3.3356876786626257E+00 a        18     0     1     1    18
 -2.2972054219576568E+00 a        19     0     1     1    19
  3.3304662730814683E-01 a        20     0     1     1    20
  3.6355195170168035E+00 a        21     0     1     1    21
 -7.6990815586334649E-01 a        22     0     1     1    22
 -3.1521366584858916E+00 a        23     0     1     1    23
 -2.2846109427068225E+01 a        24     0     1     1    24
 -6.7009215014957435E-01 a        25     0     1     1    25
  2.9826953050799920E+00 a        26     0     2     1     1
 -1.4105728198036749E+01 a        27     0     2     1     2
 -1.2000628387792615E+01 a        28     0     2     1     3
  1.1663548719924959E+00 a        29     0     2     1     4
  2.4333557480888057E+01 a        30     0     2     1     5
  1.4642793321974557E+00 a        31     0     2     1     6
  2.4434740578963368E+00 a        32     0     2     1     7
 -9.6289049017379469E+00 a        33     0     2     1     8
  2.4953842447517498E+01 a        34     0     2     1     9
 -2.2624269979697885E+01 a        35     0     2     1    10
  1.8079034186217537E+01 a        36     0     2     1    11
  6.0915109243082730E+00 a        37     0     2     1    12
  3.9912069593122115E+00 a        38     0     2     1    13
 -4.9122119665710162E+00 a        39     0     2     1    14
  1.7679188111537286E+01 a        40     0     2     1    15
 -1.1877700776861971E+01 a        41     0     2     1    16
  2.0915603724854005E+01 a        42     0     2     1    17
  2.5501225380287099E+01 a        43     0     2     1    18
 -8.3295522466913834E+00 a        44     0     2     1    19
 -4.2160603433079400E+00 a        45     0     2     1    20
 -1.9048648045787665E+01 a        46     0     2     1    21
  7.7271263224423876E+00 a        47     0     2     1    22
 -8.6489381272015144E+00 a        48     0     2     1    23
 -1.9116655827817772E-01 a        49     0     2     1    24
  4.5684437002451261E+00 a        50     0     2     1    25
  9.1557069106866233E+00 a        51     0     3     1     1
 -2.9061723151507916E+01 a        52     0     3     1     2
  1.1307368787272564E+01 a        53     0     3     1     3
  9.9043309020797086E+00 a        54     0     3     1     4
 -3.9087062961981893E+01 a        55     0     3     1     5
  2.8426275164666288E+00 a        56     0     3     1     6
 -1.2470884412627495E+01 a        57     0     3     1     7
 -3.9352894282272764E+01 a        58     0     3     1     8
  1.7605672025737977E+01 a        59     0     3     1     9
  2.8617901837718808E+01 a        60     0     3     1    10
  1.6516078227442666E+01 a        61     0     3     1    11
  2.4118074285236477E+00 a        62     0     3     1    12
 -1.4546214078449188E+01 a        63     0     3     1    13
  2.1751109080731222E+01 a        64     0     3     1    14
  8.6312266971847666E+00 a        65     0     3     1    15
 -2.3613862832670236E+01 a        66     0     3     1    16
 -5.7133210160705179E+00 a        67     0     3     1    17
 -9.9306631106203387E+00 a        68     0     3     1    18
  7.0787116396540064E+00 a        69     0     3     1    19
 -1.5411011372400438E+00 a        70     0     3     1    20
 -5.6847900102036775E+00 a        71     0     3     1    21
  1.0578047430611633E+01 a        72     0     3     1    22
 -2.1521277627084929E+00 a        73     0     3     1    23
  4.1848774970838349E+01 a        74     0     3     1    24
 -2.5670277823654182E+00 a        75     0     3     1    25
 -6.4059000479256598E+00 a        76     0     4     1     1
  1.4730472283425639E+01 a        77     0     4     1     2
  1.8757027682423345E+01 a        78     0     4     1     3
 -9.0964217267654544E+00 a        79     0     4     1     4
 -4.9506479795109385E+01 a        80     0     4     1     5
  4.3054323101656520E+00 a        81     0     4     1     6
  6.1524898394371359E+00 a        82     0     4     1     7
  1.5475762057283893E+01 a        83     0     4     1     8
 -4.5888063651658811E+01 a        84     0     4     1     9
  3.3174250983766392E+01 a        85     0     4     1    10
 -2.6828466219262019E+01 a        86     0     4     1    11
 -1.7242027676806049E+00 a        87     0     4     1    12
 -2.9244684262663458E+00 a        88     0     4     1    13
 -3.4454550460383939E+00 a        89     0     4     1    14
 -2.3366176452612699E+01 a        90     0     4     1    15
  1.3077076318035862E+01 a        91     0     4     1    16
 -3.8190994948044761E+01 a        92     0     4     1    17
 -4.5051340331767399E+01 a        93     0     4     1    18
  1.7387138877565128E+01 a        94     0     4     1    19
  1.1893509899616017E+01 a        95     0     4     1    20
  3.5314150105704478E+01 a        96     0     4     1    21
 -1.7840111344764107E+01 a        97     0     4     1    22
  3.0964131309352748E+01 a        98     0     4     1    23
  2.9485141529036385E+00 a        99     0     4     1    24
 -1.0426461158512687E+01 a       100     0     4     1    25
 -4.6387923893607928E-02 a       101     0     5     1     1
  2.9572398679533219E+01 a       102     0     5     1     2
 -1.8179348230305887E+01 a       103     0     5     1     3
 -1.3703632607271238E+01 a       104     0     5     1     4
  4.0526028640457525E+01 a       105     0     5     1     5
 -3.3292162024249703E+00 a       106     0     5     1     6
  1.6289428691520705E+01 a       107     0     5     1     7
  2.3832410390867416E+01 a       108     0     5     1     8
 -1.3634053206875484E+01 a       109     0     5     1     9
 -2.3162618347718734E+01 a       110     0     5     1    10
  3.0115817144350510E-01 a       111     0     5     1    11
 -1.1722252008217136E+01 a       112     0     5     1    12
  1.5198643270978648E+01 a       113     0     5     1    13
 -2.1724439257997037E+01 a       114     0     5     1    14
  7.1413064098810182E+00 a       115     0     5     1    15
  9.5578143437162346E+00 a       116     0     5     1    16
  1.2901314705783225E+01 a       117     0     5     1    17
  1.0687041045957567E+01 a       118     0     5     1    18
 -1.2931585521212867E+01 a       119     0     5     1    19
 -4.5717404333256679E+00 a       120     0     5     1    20
 -2.5281998456929968E+00 a       121     0     5     1    21
 -2.7810613164994912E+01 a       122     0     5     1    22
 -1.0530324297221780E+00 a       123     0     5     1    23
 -3.2216404093914988E+01 a       124     0     5     1    24
  4.1307162097570762E+00 a       125     0     5     1    25
  1.5876446975567866E+01 a       126     0     6     1     1
 -1.4727678724383864E+01 a       127     0     6     1     2
  2.6861500382585457E-01 a       128     0     6     1     3
  8.1905195056506361E+00 a       129     0     6     1     4
  4.9569086328139470E+01 a       130     0     6     1     5
 -1.8898370890574331E+01 a       131     0     6     1     6
 -2.5954219215388040E+01 a       132     0     6     1     7
 -2.8631653652960225E+01 a       133     0     6     1     8
  4.8822753684694945E+01 a       134     0     6     1     9
 -1.4955470505754223E+01 a       135     0     6     1    10
  1.1462905078616538E+01 a       136     0     6     1    11
 -1.5174123803750103E+01 a       137     0     6     1    12
  2.4581796714626765E+00 a       138     0     6     1    13
 -4.0233310684581154E+00 a       139     0     6     1    14
 -5.8552025996710855E+00 a       140     0     6     1    15
 -3.7822184917316598E-01 a       141     0     6     1    16
  2.4869005373777785E+01 a       142     0     6     1    17
  3.1865268628221877E+01 a       143     0     6     1    18
 -1.5777526870311965E+01 a       144     0     6     1    19
 -5.0544190621753540E+00 a       145     0     6     1    20
 -2.3760944157609440E+01 a       146     0     6     1    21
  1.6688000842046716E+01 a       147     0     6     1    22
 -2.2205086012352801E+01 a       148     0     6     1    23
 -5.4459908639704837E+00 a       149     0     6     1    24
  1.1946028349687355E+01 a       150     0     6     1    25
 -3.8832144159755417E+00 a       151     0     7     1     1
 -2.9196417172133877E+01 a       152     0     7     1     2
  1.8174895997028983E+01 a       153     0     7     1     3
  7.8853173268352572E+00 a       154     0     7     1     4
 -1.1763385386650775E+01 a       155     0     7     1     5
  4.8236957583148898E+00 a       156     0     7     1     6
 -1.7272611475536245E+01 a       157     0     7     1     7
 -1.5856666657048040E+01 a       158     0     7     1     8
 -4.6578232506695043E+00 a       159     0     7     1     9
  9.4632281004119871E+00 a       160     0     7     1    10
 -7.1491517195983318E+00 a       161     0     7     1    11
  4.0809580456950840E+00 a       162     0     7     1    12
 -4.5017361584887956E+00 a       163     0     7     1    13
  1.6792691553447522E+01 a       164     0     7     1    14
 -1.5088761208666748E+01 a       165     0     7     1    15
  3.1514121277095644E+00 a       166     0     7     1    16
 -1.3190502812359421E+01 a       167     0     7     1    17
 -1.4146899071920757E+01 a       168     0     7     1    18
  1.1234115466104665E+01 a       169     0     7     1    19
  2.0837389189280247E+00 a       170     0     7     1    20
  6.4824707863401869E+00 a       171     0     7     1    21
  1.9487497948108643E+01 a       172     0     7     1    22
 -4.2678499402889418E+00 a       173     0     7     1    23
  1.5579249591845839E+01 a       174     0     7     1    24
  2.8513170039037612E+00 a       175     0     7     1    25
 -1.1083167075710467E+01 a       176     0     8     1     1
 -2.6211075337313481E+01 a       177     0     8     1     2
  2.5692590672671617E+01 a       178     0     8     1     3
  4.6584067925085657E+00 a       179     0     8     1     4
 -2.3847903298610571E+01 a       180     0     8     1     5
  1.3015021454408487E+01 a       181     0     8     1     6
  9.3714550095733991E+00 a       182     0     8     1     7
  9.5544138642373273E+00 a       183     0     8     1     8
 -1.5603648014208529E+01 a       184     0     8     1     9
  5.6839459196457387E+00 a       185     0     8     1    10
  1.4091955560565500E+01 a       186     0     8     1    11
  2.1756045723884302E+01 a       187     0     8     1    12
  5.7278275898566724E+00 a       188     0     8     1    13
  5.4343293488697797E-01 a       189     0     8     1    14
  4.1273488035518984E+00 a       190     0     8     1    15
 -4.7403807703807548E+00 a       191     0     8     1    16
 -5.3708725320164730E+00 a       192     0     8     1    17
 -1.2134551408707452E+01 a       193     0     8     1    18
  1.5809865207457655E+01 a       194     0     8     1    19
  1.0738576841806220E+01 a       195     0     8     1    20
  1.2312400820387158E+01 a       196     0     8     1    21
  1.1754338539981443E+01 a       197     0     8     1    22
 -1.7455748644106308E+01 a       198     0     8     1    23
  1.9156763390545837E+01 a       199     0     8     1    24
 -1.4316011781482411E+01 a       200     0     8     1    25
  2.8043537302472994E+00 a       201     0     9     1     1
  1.8063522016486470E+01 a       202     0     9     1     2
 -2.6054829017489878E+00 a       203     0     9     1     3
 -8.1406966183134504E+00 a       204     0     9     1     4
  5.0707860252527359E-01 a       205     0     9     1     5
  4.4090304246345093E+00 a       206     0     9     1     6
  1.1170785155519619E+01 a       207     0     9     1     7
  4.8565268789015494E+00 a       208     0     9     1     8
 -2.7363321660248299E+00 a       209     0     9     1     9
  8.0089524326114298E-02 a       210     0     9     1    10
 -1.4859319737354582E-01 a       211     0     9     1    11
  6.6002183051455834E+00 a       212     0     9     1    12
 -9.4257850363257152E+00 a       213     0     9     1    13
  1.6377527991025846E+00 a       214     0     9     1    14
  1.2481532758615383E+01 a       215     0     9     1    15
 -2.0557355309430494E+00 a       216     0     9     1    16
  4.9669057794251126E+00 a       217     0     9     1    17
  1.0480867432827122E+01 a       218     0     9     1    18
 -2.0583521052493299E+00 a       219     0     9     1    19
 -2.7234448919803511E+00 a       220     0     9     1    20
 -1.6080600822957138E+01 a       221     0     9     1    21
 -5.9575586848518753E+00 a       222     0     9     1    22
  4.2303914069579660E+00 a       223     0     9     1    23
 -9.7945704277288606E+00 a       224     0     9     1    24
 -3.0716064785468151E+00 a       225     0     9     1    25
  7.1600576027638446E-02 a       226     0    10     1     1
  2.1490451995429602E+01 a       227     0    10     1     2
 -2.4598769216599987E+01 a       228     0    10     1     3
 -2.5718582520034521E+00 a       229     0    10     1     4
 -6.4529853077591746E+00 a       230     0    10     1     5
  5.3550970369776598E+00 a       231     0    10     1     6
  1.5696602415506534E+01 a       232     0    10     1     7
  1.6526027465820420E+01 a       233     0    10     1     8
 -7.9182242875308022E+00 a       234     0    10     1     9
 -3.5414101690396835E+00 a       235     0    10     1    10
 -6.7029064420217201E+00 a       236     0    10     1    11
  9.8252800315778437E+00 a       237     0    10     1    12
 -1.7008842600279579E+00 a       238     0    10     1    13
  7.1908468449253844E+00 a       239     0    10     1    14
  8.1737617229133619E+00 a       240     0    10     1    15
  5.1859106740563421E+00 a       241     0    10     1    16
  1.2203700722179378E+00 a       242     0    10     1    17
  5.5253785848209720E+00 a       243     0    10     1    18
 -5.4176249662241176E+00 a       244     0    10     1    19
 -3.2496902507562822E+00 a       245     0    10     1    20
 -4.8342534267707453E+00 a       246     0    10     1    21
 -2.8179044893446790E+00 a       247     0    10     1    22
  1.0778620913133075E+01 a       248     0    10     1    23
 -8.2940103144378927E+00 a       249     0    10     1    24
  1.4025806351410330E+00 a       250     0    10     1    25
 -6.1829090162290443E+00 a       251     0    11     1     1
 -5.5315305668970343E+00 a       252     0    11     1     2
  8.7800188433251558E-01 a       253     0    11     1     3
 -3.5593423586856976E-01 a       254     0    11     1     4
  1.2367104190915779E+00 a       255     0    11     1     5
 -1.8023038103829063E+00 a       256     0    11     1     6
 -6.0306043747612863E+00 a       257     0    11     1     7
 -2.6952486737174741E+00 a       258     0    11     1     8
 -2.7769906014327770E+00 a       259     0    11     1     9
 -3.9081315004171295E+00 a       260     0    11     1    10
 -2.3291053756863551E+00 a       261     0    11     1    11
 -6.0725156937185947E+00 a       262     0    11     1    12
  6.7189139508777780E+00 a       263     0    11     1    13
  1.6796004446853788E-01 a       264     0    11     1    14
 -5.8382968532970247E+00 a       265     0    11     1    15
 -1.9699759093819162E+00 a       266     0    11     1    16
 -1.9262492787365988E+00 a       267     0    11     1    17
 -9.5747242447150356E+00 a       268     0    11     1    18
  6.6354558143756026E-01 a       269     0    11     1    19
  9.7236204144413807E-01 a       270     0    11     1    20
  4.9207185001391229E+00 a       271     0    11     1    21
 -2.4890981052748554E-01 a       272     0    11     1    22
  8.2984388267394782E-01 a       273     0    11     1    23
  2.6542841957686258E+00 a       274     0    11     1    24
  2.0608387286206761E-01 a       275     0    11     1    25
  3.1105403391449724E+00 a       276     0    12     1     1
 -5.5335709591451643E+00 a       277     0    12     1     2
  6.5916258587413630E+00 a       278     0    12     1     3
 -2.0861649504246360E+00 a       279     0    12     1     4
  3.9775155041520454E+00 a       280     0    12     1     5
 -8.2771770390861530E+00 a       281     0    12     1     6
 -9.0090754786207903E+00 a       282     0    12     1     7
 -9.1499799066047860E+00 a       283     0    12     1     8
  2.5744981030818903E+00 a       284     0    12     1     9
 -1.1103310551275980E+00 a       285     0    12     1    10
 -2.6628581507144391E+00 a       286     0    12     1    11
 -1.2794535634124214E+01 a       287     0    12     1    12
 -3.1868857597786695E+00 a       288     0    12     1    13
 -6.9357319916745768E+00 a       289     0    12     1    14
 -6.2286686236808464E+00 a       290     0    12     1    15
 -3.7475519322423860E+00 a       291     0    12     1    16
 -8.1636266667175816E-01 a       292     0    12     1    17
 -1.0752706798074039E+01 a       293     0    12     1    18
 -1.6870488913737232E+00 a       294     0    12     1    19
 -2.6852554099507446E+00 a       295     0    12     1    20
  4.5912565916682020E+00 a       296     0    12     1    21
 -3.1839808434958745E+00 a       297     0    12     1    22
 -1.4780330372905153E+00 a       298     0    12     1    23
  3.9508606675859448E+00 a       299     0    12     1    24
 -2.8001061573040298E+00 a       300     0    12     1    25
  2.9747251528152496E+00 a       301     0    13     1     1
  2.3191684206574044E+00 a       302     0    13     1     2
 -3.0161557789478475E+00 a       303     0    13     1     3
 -7.7110510641323959E-01 a       304     0    13     1     4
 -1.2237099462359007E+00 a       305     0    13     1     5
  2.5415099248895370E+00 a       306     0    13     1     6
  4.4099985630327341E+00 a       307     0    13     1     7
  2.1180559230529303E-01 a       308     0    13     1     8
 -2.4385547026815624E-01 a       309     0    13     1     9
  4.3952987012630945E-01 a       310     0    13     1    10
 -1.1334149636343337E-01 a       311     0    13     1    11
 -3.3327736817042475E-01 a       312     0    13     1    12
 -1.8129394769606211E+00 a       313     0    13     1    13
 -5.0344183084519434E-01 a       314     0    13     1    14
  3.1506900660086981E+00 a       315     0    13     1    15
  2.0679456312485145E-01 a       316     0    13     1    16
  1.4559123596106778E+00 a       317     0    13     1    17
  2.9172510865463090E+00 a       318     0    13     1    18
 -1.1998862330770277E+00 a       319     0    13     1    19
 -1.0750851738944063E-01 a       320     0    13     1    20
 -1.7256623808978397E+00 a       321     0    13     1    21
 -1.4433864930876936E+00 a       322     0    13     1    22
 -5.1938760624719349E-01 a       323     0    13     1    23
 -1.7317076146390671E+00 a       324     0    13     1    24
 -2.9100883670668520E-01 a       325     0    13     1    25
  1.3838465410375924E+00 a       326     0    14     1     1
  4.7790486579720142E+00 a       327     0    14     1     2
 -7.9274248387069672E+00 a       328     0    14     1     3
  2.0319799848650932E+00 a       329     0    14     1     4
  3.0831359753158166E-01 a       330     0    14     1     5
  1.9669103056620871E+00 a       331     0    14     1     6
  3.1894799389774873E+00 a       332     0    14     1     7
  3.0867989059502086E+00 a       333     0    14     1     8
 -1.4917860353213299E+00 a       334     0    14     1     9
 -6.2757407967183965E-01 a       335     0    14     1    10
  1.1920862610940846E+00 a       336     0    14     1    11
  4.0783105887594822E+00 a       337     0    14     1    12
  3.5148563294166317E+00 a       338     0    14     1    13
  3.5251529431928552E+00 a       339     0    14     1    14
