################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.0139920811417777E+00   9.4977580910223161E+00   2.2603947375875837E+00   7.2917921615978920E-01
         1          2   6.8639888681304784E-01   4.9504853613627828E+00   1.3238211075580624E+00   3.6434689365904976E-01
         1          3   7.1341916857589449E-01   7.0591216814523277E+00   1.6440474597147767E+00   5.4236777436756145E-01
         1          4   5.3022482894128020E-01   3.7334888482543862E+00   1.0164037225981479E+00   2.7047255535792897E-01
         1          5   3.8068389663107222E-01   4.1085315343122639E+00   9.1344601272927439E-01   3.1366034245622826E-01
         1          6   3.6209352253798233E-01   2.2581437871512726E+00   6.5376753757281358E-01   1.5558515057408684E-01
         1          7   1.8919103878435897E-01   2.2208902755745816E+00   4.6347173198472152E-01   1.6558095671706519E-01
         1          8   2.6704178695764308E-01   1.3165499962653218E+00   4.3006152417867660E-01   8.2524577564005289E-02
         1          9   2.3432552582413180E-01   9.4744522639629492E-01   3.6965740609827991E-01   5.3217971488250207E-02
         1         10   2.2248910067848976E-01   2.7541033700513253E+00   5.5215780526487013E-01   2.0687626999491870E-01
         1         11   1.3374237955415058E-01   5.6384631031683308E-01   2.7069878187908808E-01   2.6696058605315133E-02
         1         12   1.2079214864210941E-01   1.7204357571854254E+00   3.0249171900250166E-01   1.1773155627500735E-01
         1         13   4.8458872613975142E-02   3.5942380169808319E-01   1.8386453271773848E-01   2.0155336184978227E-02
         1         14   2.7024966891331988E-02   9.0926173158416757E-01   1.4826162886702932E-01   5.2882935044636349E-02
         1         15   2.4543106515324568E-03   2.8537946241644740E-01   7.4223588075560523E-02   1.8915314556467201E-02
         1         16   2.2422507599479186E-04   3.1547402145398790E-01   4.1860830002911242E-02   2.1825843780429340E-02
         1         17   2.1854219731237961E-04   1.3831176227811709E-01   1.9018235302043045E-02   9.6923971515768016E-03
         1         18   4.4901398644641138E-03   5.7051242285921910E-01   2.4964676138172499E-02   3.8058259818075438E-02
         1         19   2.7002790915257668E-04   2.1672023165088039E-01   1.8218200796318008E-02   1.3981346922046915E-02
         1         20   5.1394921007966061E-02   1.6534022015443939E+00   1.5020874224913386E-01   1.1090825110094138E-01
         1         21   3.4073471604482270E-03   3.1549770082510104E-01   1.8995158449171292E-02   2.0234498359001558E-02
         1         22   1.3121382132811785E-04   1.0256295213721282E-01   6.8811414313411836E-03   6.6213295919552058E-03
         1         23   3.4213548306919424E-02   9.0691679969751671E-01   8.4412203692533147E-02   5.8153501743683181E-02
         1         24   4.1201879956648322E-04   1.5669952770939763E-01   4.9421419783389660E-03   9.8425761308934545E-03
         1         25   8.6889007793241658E-04   5.9139541103707262E-02   3.7908389775993868E-03   3.2747112446898418E-03
         1         26   8.7040247660959361E-03   1.9376799602864136E-01   2.4817287521716011E-02   1.0864140676357050E-02
         1         27   1.6279340881271008E-04   9.8215755603321513E-03   1.9671395959884683E-03   5.5886688381775725E-04
