################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.9442574313162528E-01 a         1     0     1     1     1
 -1.7117015148757753E+00 a         2     0     1     1     2
 -6.2994909353826856E+00 a         3     0     1     1     3
  1.1627499433425228E+01 a         4     0     1     1     4
 -6.0219169637828420E+00 a         5     0     1     1     5
 -2.9223097250964734E+00 a         6     0     1     1     6
  1.1702548523541207E+01 a         7     0     1     1     7
 -3.3114536763717579E+00 a         8     0     1     1     8
 -5.0711292392231639E+00 a         9     0     1     1     9
  3.4429945526141261E+00 a        10     0     1     1    10
  1.6718625920290851E+01 a        11     0     1     1    11
  9.7363080135101754E-01 a        12     0     1     1    12
  8.2993838599779546E-01 a        13     0     1     1    13
  2.4900895467502608E+00 a        14     0     1     1    14
  3.2680344169676723E-01 a        15     0     1     1    15
 -5.5066104008259060E+00 a        16     0     1     1    16
 -4.4481864397096382E+00 a        17     0     1     1    17
  2.5653733215502430E+00 a        18     0     1     1    18
  1.5826241018506206E+01 a        19     0     1     1    19
 -1.1217024562117681E+01 a        20     0     1     1    20
 -9.7815453171201998E+00 a        21     0     1     1    21
  1.1852021936516874E+00 a        22     0     1     1    22
  1.1921403232929260E+01 a        23     0     1     1    23
  8.9046315642032692E+00 a        24     0     1     1    24
  2.5840701626710079E+00 a        25     0     1     1    25
 -2.9868463405583594E+01 a        26     0     2     1     1
  3.2913264409866763E+00 a        27     0     2     1     2
 -5.2588058407721636E+00 a        28     0     2     1     3
 -1.1208964560609063E+01 a        29     0     2     1     4
  9.7379059423090037E+00 a        30     0     2     1     5
 -4.9659425953500769E+00 a        31     0     2     1     6
 -1.7267862502605237E+01 a        32     0     2     1     7
 -1.5410787530782722E+01 a        33     0     2     1     8
  3.8461293613159326E+00 a        34     0     2     1     9
  2.7740389628829334E+00 a        35     0     2     1    10
 -1.4099386838734130E+01 a        36     0     2     1    11
 -8.2401268623938406E-01 a        37     0     2     1    12
 -3.1237366192656717E+00 a        38     0     2     1    13
 -9.1323684221985104E+00 a        39     0     2     1    14
 -8.5412447633582875E+00 a        40     0     2     1    15
  4.9379427089451751E+00 a        41     0     2     1    16
  4.7761380020152142E+00 a        42     0     2     1    17
 -1.0884630161294250E+01 a        43     0     2     1    18
  7.3595288421646563E+00 a        44     0     2     1    19
 -1.7290406607417498E+01 a        45     0     2     1    20
  1.0432307361265176E+00 a        46     0     2     1    21
 -1.8769446744669867E+01 a        47     0     2     1    22
 -1.6382462429710110E+01 a        48     0     2     1    23
 -1.5723209809648685E+01 a        49     0     2     1    24
 -1.4664587900224365E+01 a        50     0     2     1    25
  1.1692317720365732E+01 a        51     0     3     1     1
  7.2759516959241228E+00 a        52     0     3     1     2
 -1.5972481354256223E+00 a        53     0     3     1     3
 -1.1565593706613393E+01 a        54     0     3     1     4
  8.3306711089308472E+00 a        55     0     3     1     5
  6.2416672752907028E+00 a        56     0     3     1     6
 -1.9938506171751662E+01 a        57     0     3     1     7
  1.4875165910058591E+01 a        58     0     3     1     8
  4.0774605012454792E+00 a        59     0     3     1     9
 -8.3061958124353055E+00 a        60     0     3     1    10
 -2.5493769536084251E+01 a        61     0     3     1    11
  5.3463914196544229E+00 a        62     0     3     1    12
  2.4189714734858252E+00 a        63     0     3     1    13
 -1.9922564708166397E+00 a        64     0     3     1    14
 -3.2559831960137604E+00 a        65     0     3     1    15
  3.6143621434445423E+00 a        66     0     3     1    16
  7.3592875014803836E+00 a        67     0     3     1    17
 -4.0626290140308132E+00 a        68     0     3     1    18
 -3.2080951770255723E+01 a        69     0     3     1    19
  2.9254358275583098E+01 a        70     0     3     1    20
  1.1149242791796743E+01 a        71     0     3     1    21
  1.5669808257375651E+01 a        72     0     3     1    22
 -1.9039102125976985E+01 a        73     0     3     1    23
 -4.0076437050770997E+00 a        74     0     3     1    24
  5.0214539955141835E-01 a        75     0     3     1    25
  5.2565045479373609E+01 a        76     0     4     1     1
 -1.5751719446393293E+01 a        77     0     4     1     2
  2.1301168620905450E+01 a        78     0     4     1     3
  1.4584697523018791E+01 a        79     0     4     1     4
 -1.2451938428375618E+01 a        80     0     4     1     5
 -6.4591150312018142E+00 a        81     0     4     1     6
  3.5297958281679186E+01 a        82     0     4     1     7
  2.0368243983778687E+01 a        83     0     4     1     8
  2.9710472432226065E-01 a        84     0     4     1     9
 -1.0641151157555706E+01 a        85     0     4     1    10
  1.9231171064662526E+01 a        86     0     4     1    11
  4.0797878871408004E+00 a        87     0     4     1    12
 -5.6499104773945277E+00 a        88     0     4     1    13
  1.5534775056298058E+01 a        89     0     4     1    14
  2.3577165668931844E+01 a        90     0     4     1    15
 -5.4888660392612980E+00 a        91     0     4     1    16
 -1.1813334524253591E+01 a        92     0     4     1    17
  1.4082922709491250E+01 a        93     0     4     1    18
 -7.5797250523718045E+00 a        94     0     4     1    19
  2.7836469918562521E+01 a        95     0     4     1    20
  2.1901006593812178E+00 a        96     0     4     1    21
  1.2911551434609532E+01 a        97     0     4     1    22
  2.7892410004851349E+01 a        98     0     4     1    23
  2.2162282175843377E+01 a        99     0     4     1    24
  1.8471624790861675E+01 a       100     0     4     1    25
 -1.8112540148179818E+01 a       101     0     5     1     1
 -7.9492633480455863E+00 a       102     0     5     1     2
 -1.1878150542752610E+00 a       103     0     5     1     3
 -4.1766926481693725E+00 a       104     0     5     1     4
