################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   3.4361916657281655E-01   9.6166419119419100E+00   2.1748938205013815E+00   7.4191537350143255E-01
         1          2   3.4529815436471312E-01   5.0028559321574209E+00   1.2804622920635331E+00   3.7071908637882900E-01
         1          3   2.8520969887279690E-01   7.1427942966219833E+00   1.5793173662073601E+00   5.5089665606785165E-01
         1          4   3.2106553524354248E-01   3.7661771168267735E+00   9.8302452767030468E-01   2.7493168206863750E-01
         1          5   2.1847521231954450E-01   4.1469832401668656E+00   8.7356549550189477E-01   3.1799617245982070E-01
         1          6   2.9005448794053190E-01   2.2678239402766067E+00   6.3211068767406797E-01   1.5843713831593564E-01
         1          7   1.5918983206892320E-01   2.2292652677252818E+00   4.4111837121817354E-01   1.6746450287127876E-01
         1          8   2.4633535429997927E-01   1.3208742362468955E+00   4.1644010985653657E-01   8.4618882074047566E-02
         1          9   2.3871167441164690E-01   9.4751160662053013E-01   3.5914192368456149E-01   5.4745363609973736E-02
         1         10   2.1652029474256546E-01   2.7596216013647377E+00   5.2188946540215375E-01   2.0883824915382329E-01
         1         11   1.5067117763308999E-01   5.5599270746969265E-01   2.6705603669763078E-01   2.6376911892691524E-02
         1         12   9.7653543774030530E-02   1.7265405335201478E+00   2.8990244629916084E-01   1.1771952395941644E-01
         1         13   6.5409396084418633E-02   3.4521757733971214E-01   1.8533634716653088E-01   1.9775928443295971E-02
         1         14   2.4184019750917187E-02   9.1293170125596157E-01   1.4963205627085510E-01   5.3539509680440162E-02
         1         15   2.9202821602466616E-03   2.6979289245531668E-01   7.6738984090206838E-02   1.8938717481778840E-02
         1         16   3.2145385719803388E-04   2.8780215825669969E-01   4.6238660370711539E-02   2.3962334337404946E-02
         1         17   5.0392116747274588E-06   1.3848731138266301E-01   1.7020481224750382E-02   1.0169953682386894E-02
         1         18   1.0425744959269357E-05   5.8319173651547451E-01   2.2542533637215204E-02   3.8158386232402343E-02
         1         19   1.0951118212822256E-05   2.1613962298381931E-01   1.6279905267385222E-02   1.4368183768220794E-02
         1         20   2.7226867767020099E-02   1.6851617426880208E+00   1.3952230537109159E-01   1.1164326068924128E-01
         1         21   2.7649487017544112E-03   3.1637071808861683E-01   1.7613747259739253E-02   2.0338310598344466E-02
         1         22   8.6041113770643713E-08   1.0258348935693720E-01   6.0738398643095850E-03   6.7161946735046175E-03
         1         23   2.9580298017842507E-02   9.1618560879938982E-01   7.8768837751373832E-02   5.8691541702176615E-02
         1         24   8.1998395094105461E-08   1.5785966980407007E-01   4.4192213837265810E-03   9.9187977374992995E-03
         1         25   6.3691481700312361E-04   5.9225627251012963E-02   3.6207977466753321E-03   3.3285565254801124E-03
         1         26   8.5719260938176087E-03   1.9426085555380745E-01   2.3781897053519751E-02   1.1059437239915933E-02
         1         27   2.1228022180417685E-04   9.9652427991033278E-03   2.0643892927967276E-03   6.0091382870397926E-04
         2          1   7.4846323117439106E-01   1.0005711988560005E+01   2.5609245841270658E+00   7.4052854972999604E-01
         2          2   2.8392799730020232E-02   4.6195409357987103E+00   9.1994396468770367E-01   3.6736041790976043E-01
         2          3   6.7685342163101270E-01   7.5323544094345039E+00   1.9660490553406171E+00   5.4848444066384971E-01
         2          4   1.1679710302485411E-02   3.3862131032504501E+00   6.2716450389037237E-01   2.7017344295584866E-01
         2          5   5.9315564577324476E-01   4.5356481255168566E+00   1.2642213753481335E+00   3.1436043504428773E-01
         2          6   1.6454718489766968E-03   1.8909877539194524E+00   2.9130816377975016E-01   1.5054185740505774E-01
         2          7   5.2283356591555663E-01   2.6154328621607870E+00   8.3288021971307002E-01   1.6495240221433055E-01
         2          8   8.9551627260546967E-05   9.3641034200657924E-01   1.0579949198861999E-01   7.2445732966072485E-02
         2          9   5.1853195813177000E-01   1.8545341781448565E+00   7.1828384736912010E-01   1.0111710195641380E-01
         2         10   1.8186844343484924E-04   2.9121456897811351E+00   4.5000976037755164E-01   2.4764503945970923E-01
         2         11   3.5263905013513863E-01   1.0714592032613124E+00   5.3411207339525857E-01   4.5487441246439289E-02
         2         12   1.2543484979231332E-06   2.5277642768509319E+00   3.0041142012990529E-01   2.1789986008284259E-01
         2         13   1.5980022688828241E-01   6.6348817066386456E-01   3.7067269433306532E-01   3.0732108926417149E-02
         2         14   7.0744532503554468E-11   2.3030057819082543E+00   1.6936053010502419E-01   1.8915868497783078E-01
         2         15   9.5641036809349898E-03   4.1268754969500288E-01   1.5347796818041393E-01   2.8128837590643170E-02
         2         16   1.7690275765523711E-23   2.0367068825281991E+00   5.2646616242243434E-02   1.4348700224919952E-01
         2         17   6.3111206149137360E-06   3.4335400617385070E-01   1.5865526632271986E-02   2.2142642023896247E-02
