################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -9.1143913304911983E+00 a         1     0     1     1     1
  7.1337760328721667E-01 a         2     0     1     1     2
 -5.7748613150534407E+00 a         3     0     1     1     3
  1.0850639783007801E+00 a         4     0     1     1     4
 -1.0260659816523784E+01 a         5     0     1     1     5
 -1.2811971318150503E+00 a         6     0     1     1     6
  5.5886913912483056E+00 a         7     0     1     1     7
 -7.9388405531724819E+00 a         8     0     1     1     8
  1.1262820481786660E+01 a         9     0     1     1     9
  8.9443626756653529E+00 a        10     0     1     1    10
  3.1675484182177822E+00 a        11     0     1     1    11
 -2.6141155104283254E+01 a        12     0     1     1    12
 -6.0500623843897596E+00 a        13     0     1     1    13
  1.8946982199503002E+00 a        14     0     1     1    14
  1.2578839877176113E+01 a        15     0     1     1    15
  7.3769307178107457E-01 a        16     0     1     1    16
  8.4234881165673485E+00 a        17     0     1     1    17
  2.7820635048589720E-01 a        18     0     1     1    18
 -6.5776118717549688E+00 a        19     0     1     1    19
  2.5833138711474435E+00 a        20     0     1     1    20
  6.6472423084087078E+00 a        21     0     1     1    21
  2.0253727900732130E+00 a        22     0     1     1    22
  1.5709370986391862E+00 a        23     0     1     1    23
 -1.8747709266736472E+00 a        24     0     1     1    24
 -1.9234262413744815E+01 a        25     0     1     1    25
  1.2694021167495222E+01 a        26     0     2     1     1
 -9.8516927111118910E+00 a        27     0     2     1     2
  7.4521111471876909E+00 a        28     0     2     1     3
  1.1814112100017807E+01 a        29     0     2     1     4
  1.2651166432245091E+01 a        30     0     2     1     5
  1.7163065578207994E+00 a        31     0     2     1     6
  2.7257767723523068E+00 a        32     0     2     1     7
 -3.7932084710569409E+00 a        33     0     2     1     8
 -1.5668318556426462E+01 a        34     0     2     1     9
 -3.1155716549649703E+00 a        35     0     2     1    10
 -9.7953996251491873E+00 a        36     0     2     1    11
  2.9348329629948854E+01 a        37     0     2     1    12
 -1.0794040861830019E+00 a        38     0     2     1    13
 -7.9618258579850503E+00 a        39     0     2     1    14
 -8.9590585751802276E+00 a        40     0     2     1    15
  1.0063282974973005E+00 a        41     0     2     1    16
  6.4338769362774890E+00 a        42     0     2     1    17
 -1.2643063616314767E+00 a        43     0     2     1    18
  5.8694289979095826E+00 a        44     0     2     1    19
 -5.7173733498639576E+00 a        45     0     2     1    20
 -9.8112393475471347E+00 a        46     0     2     1    21
 -7.0997344443364225E+00 a        47     0     2     1    22
  8.0489172311170947E+00 a        48     0     2     1    23
 -9.1162902456405579E+00 a        49     0     2     1    24
  3.5391462588174313E+01 a        50     0     2     1    25
  1.1899170897245195E+01 a        51     0     3     1     1
 -4.7926226378542408E-01 a        52     0     3     1     2
  1.0132799630793809E+01 a        53     0     3     1     3
 -1.2928641172301191E+01 a        54     0     3     1     4
  9.2392024313726235E+00 a        55     0     3     1     5
  3.0954848253143172E+00 a        56     0     3     1     6
