################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.5786677169066263E+00   2.9758419589573286E+00   2.1224999538006837E+00   2.7439352170154901E-01
         1          2   9.9515021500988665E-01   1.6802467751856567E+00   1.2541773445975402E+00   1.3785248431656913E-01
         1          3   1.1043928811922203E+00   2.1647788593801995E+00   1.5402979922729310E+00   2.0433393899590122E-01
         1          4   7.3787915586817754E-01   1.2738097560957280E+00   9.6352211673694987E-01   1.0229585420650956E-01
         1          5   5.5215475571367056E-01   1.1972112026083201E+00   8.5035864936817174E-01   1.1739716672274990E-01
         1          6   4.4952788568462371E-01   7.8997544000548481E-01   6.2068953416689976E-01   5.9527613830773568E-02
         1          7   2.4379483975807717E-01   6.0398446705497910E-01   4.2770281665209109E-01   6.1500602587350808E-02
         1          8   2.9912003070946147E-01   4.9408830391357972E-01   4.1031915351818399E-01   3.5796866258383228E-02
         1          9   2.6908569041808639E-01   4.4221849029454052E-01   3.5564750633744890E-01   3.1200046349130758E-02
         1         10   2.6515346512372084E-01   7.6478076962082198E-01   5.0371835842172241E-01   7.9054218236098206E-02
         1         11   2.1089242702243149E-01   3.2942892039361421E-01   2.6569479158439530E-01   1.9175578475478683E-02
         1         12   1.4632365293285482E-01   4.4597475893496857E-01   2.7763625244783002E-01   4.5266567923560277E-02
         1         13   1.3811375706001616E-01   2.5246132690074202E-01   1.8491241318038470E-01   1.7145762413662897E-02
         1         14   5.3370536355022619E-02   2.7236387191079448E-01   1.4506727829230465E-01   2.6982473247418870E-02
         1         15   3.4703416701796753E-02   1.5615904728338240E-01   7.6906570974674460E-02   1.6898194785541196E-02
         1         16   4.9400588167428060E-03   1.4655028920930799E-01   4.6448621597829240E-02   2.0295111418310672E-02
         1         17   1.9497091228438414E-03   2.8881804545502310E-02   1.6452980204336075E-02   5.3593840058804437E-03
         1         18   9.2162103212901549E-03   3.5963838205366527E-02   1.8292303139335081E-02   5.0247146710682760E-03
         1         19   1.9715067550771679E-03   2.9287024508166507E-02   1.4975923024238707E-02   5.0222453202779802E-03
         1         20   7.5948227073239866E-02   1.9487515290321528E-01   1.2822037252902330E-01   2.1731872831956493E-02
         1         21   4.5182377286390359E-03   3.1924248506614135E-02   1.5411098851672498E-02   4.2090657756339465E-03
         1         22   4.1216019735566318E-04   1.1890048105518138E-02   5.4353258732289097E-03   2.1263211303149958E-03
         1         23   4.2183344548595347E-02   1.0642796328518571E-01   7.2766696750229648E-02   1.1448747629066933E-02
