################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.3221693617312411E+00   2.6431829268494309E+00   2.1712109289368211E+00   1.8491740949754865E-01
         1          2   8.8165507590121150E-01   1.5021513119899590E+00   1.2778122580628937E+00   9.2610524821423193E-02
         1          3   9.5063170525557483E-01   1.9645434630136041E+00   1.5754555245780282E+00   1.4788592306892495E-01
         1          4   6.8720926352748557E-01   1.1734596705047000E+00   9.8013669175527418E-01   7.3842159315803318E-02
         1          5   5.3114680346458376E-01   1.1735104787393884E+00   8.6903918776136291E-01   9.7965057245763557E-02
         1          6   4.5446803146192011E-01   7.7208808607104440E-01   6.2874675223192622E-01   4.9613886357228562E-02
         1          7   2.7732917100342269E-01   6.5610689623748530E-01   4.3632718893459976E-01   5.9842739811322473E-02
         1          8   3.0248121122588545E-01   5.0262343273858556E-01   4.1296646104933438E-01   3.3605991719978266E-02
         1          9   2.7091763975787958E-01   4.3771867263061898E-01   3.5532262189207031E-01   3.0837550827151866E-02
         1         10   3.0607810460301704E-01   8.2737294952385632E-01   5.1367846789526717E-01   8.2396345907449139E-02
         1         11   1.6781481618321603E-01   3.3262544522941584E-01   2.6405877879038225E-01   2.0079773509946830E-02
         1         12   1.5199899860595487E-01   5.1758403256923147E-01   2.8216876544103786E-01   5.3030699298770759E-02
         1         13   7.9964213161399539E-02   2.7810985736196053E-01   1.8323412046338658E-01   2.0256908897343304E-02
         1         14   5.0022559628496853E-02   3.1251552588862541E-01   1.4532438879262641E-01   3.5408976290196639E-02
